id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId
2475363427,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-10-22T13:15:14.799Z,2022-10-22T14:00:02Z,3861869099,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3861869105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861869111,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861869107,194,75c432elegprf4f6hn72icset,3861869109,197,4888,3861869101,59,"1, 22, 6, 5, 14, 2, 8, 28, 32, 9, 30, 3, 7, 16, 19, 20, 23, 36",3861869103,130,18,3861869097,30,"dtl2jirk97xct4idsoj2vxbs9, 9em8141j1bdvykowhmoyeob85, ab7t8dk9884hrwa88o41wq8dl, af7cmpeqlk4lcxz3bxgzjh8lx, 552cgdv8qya776at130r2d0mi, 75c432elegprf4f6hn72icset, 61allnul4qlvl9s6wf0nehped, 75lptyj9mjvb2zyupi4fnnox5, cjwflve6ukph4h2az1irm099l, cqcwoymcrgf7wdi6091zplecp, 1nvaqc5633cmmgqu2bpvly5ex, eslpks0nl5y4vnn6xi13iuqqx, ea28jq8w3nc9koizvgffy5a7d, c0e79rr75bz36j1v4lr28aa96, 8e7i5qtbmz3ikj050mf4ef4h6, 9fdbjgbp780ql3ugygbuhie3t, btlomqnhw2ft72iwg7xbaoh2i, 8ceatyytb6gk5odzls21u2w2x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475363553,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-10-22T13:15:25.049Z,2022-10-22T13:15:25Z,3861869895,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3861869905,197,4823,3861869897,59,"1, 2, 37, 4, 5, 8, 12, 23, 14, 7, 10, 3, 6, 11, 17, 19, 24, 39",3861869907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861869901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861869903,194,8nudzikxeestbjz4yww8r13v9,3861869893,30,"3yamg9wboimwxyklpekdxgxxx, 8nudzikxeestbjz4yww8r13v9, a6sikfu3j1pp7mlfcdte2inoq, 5n4yyffs5f8b7exry819c4xxx, 2di9tk08yuqcb4wn9dvmwh97t, 5kdcg5tlzqdsmqdvyvxf49rrp, d41ua67591gafg6gb9iwg3p7u, b0hjaqg0on2lrpfcjxfyz7uqy, d866x81xlp0h24rtpg9jbczbp, 8wnv741y7ghjolf8g5c7psru1, 7mcxkeo8701m9cs3hfy6towrt, dt6qnodvlkioltvbbhn08tqs5, bk1tvg8t79kbsmnf2i39or6c5, 5djouum2kdazpcjf79gbk2ju1, 89kgqq1cfzs1r7zxltf5ls82x, dqk7nicp3ufef4hyus1begdii, 268os78lzi8fggnve9n15h5ux, 39gerw0vkyeriats1e0rgdn56",3861869899,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405287,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-10-22T14:00:12.196Z,2022-10-25T04:58:15Z,3862082391,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405277,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-10-22T14:00:12.196Z,2022-10-22T14:00:12Z,3862082359,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405335,3,1,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,49.9,50.1,2022-10-22T14:00:12.225Z,2022-10-25T06:45:07Z,3862082579,56,Back,3862082581,140,31.1,3862082589,212,19.9,3862082593,213,3.0,3862082597,279,S,3871008467,178,,3862082585,141,53.3,,,,61allnul4qlvl9s6wf0nehped,L. Sercombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405367,4,1,1,0,2,fvr504m6gaxsfmtx4fwm7iq1,0,33,52.7,2022-10-22T14:00:14.205Z,2022-10-25T06:45:18Z,3862082745,140,81.5,3871008639,178,,3862082747,141,82.7,3862082757,1,,3862082741,157,,3862082751,213,0.4,3862082743,56,Left,3862082749,212,54.9,af7cmpeqlk4lcxz3bxgzjh8lx,C. Raglan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405391,3,1,1,0,4,8mbtyq0has0uu0565fm9t5cdo,0,24.2,20.9,2022-10-22T14:00:16.939Z,2022-10-25T06:45:25Z,3862082857,140,38.5,3862082855,56,Back,3871008711,388,,3862082861,212,15.3,3862082863,213,0.2,3862082853,3,,3862082859,141,25.2,,,,2di9tk08yuqcb4wn9dvmwh97t,S. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405415,5,1,1,0,6,fvr504m6gaxsfmtx4fwm7iq1,0,59.3,75.9,2022-10-22T14:00:18.616Z,2022-10-25T06:45:29Z,3862082969,212,17.0,3862082963,56,Center,3862082961,3,,3871008743,388,,3862082971,213,5.0,3862082965,140,64.4,3862082967,141,52.2,,,,75lptyj9mjvb2zyupi4fnnox5,T. Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405445,4,1,1,0,8,8mbtyq0has0uu0565fm9t5cdo,0,28.9,50,2022-10-22T14:00:20.504Z,2022-10-25T06:45:32Z,3862083121,141,46.9,3862083123,212,26.2,3862083119,140,53.8,3862083117,56,Center,3871008825,388,,3862083115,3,,3862083125,213,6.2,,,,7mcxkeo8701m9cs3hfy6towrt,D. Keillor-Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405515,6,1,1,0,10,fvr504m6gaxsfmtx4fwm7iq1,0,47.9,66.7,2022-10-22T14:00:23.140Z,2022-10-25T06:45:39Z,3862083397,141,58.2,3871008951,178,,3862083395,140,62.8,3862083401,213,5.9,3862083403,1,,3862083393,56,Center,3862083399,212,16.7,3862083391,157,,af7cmpeqlk4lcxz3bxgzjh8lx,C. Raglan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
