id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2486658281,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2022-11-19T14:15:12.987Z,2022-11-19T15:12:41Z,3921230139,194,ex186m2z3yp666b1g219a8ted,3921230141,197,16167,3921230143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3921230135,130,8,3921230129,30,"1sw0ywyl0cgn97mu65tnzv0t1, f5zei3x0mg1i5q3soziuy579, 1kw6qz2pi7wlam068oeirztud, 40wbrqny2ekenyy37ver8dyol, ex186m2z3yp666b1g219a8ted, 4uywqjm0i2ik5cwhulbmzxi39, 4oogur7f8tfx3z011ap58ao5x, 7pia2vfewavgyc8d7pvgr7owl, am0ggkrw8rzw5shdvaceyr3kl, bbrx2s4fcp7uplly4hpbt3xed, 7yqdri2a1wz80jfzbcyfc904p, 93kxb8ch3auv9li22mh1aidey, corxqfn0yjgdo7vdctaraxv8q, 90bk4lcfnlqtvwlttwybhs4wl, 99uiqjteov3qby19bs8kozill, dbev6jhnro87n6ghueorfz27d, 7khs4gdkzgpejvrskcvrcw0h6, 7fvj3ev8ov0cnalck9x48z3kl",3921230133,59,"1, 2, 23, 22, 20, 6, 12, 28, 9, 7, 11, 10, 13, 17, 18, 19, 21, 26",3921230137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921230131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486658377,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-11-19T14:15:29.576Z,2022-11-19T15:06:59Z,3921230683,130,18,3921230687,194,75c432elegprf4f6hn72icset,3921230681,59,"1, 32, 3, 2, 14, 5, 23, 8, 36, 9, 10, 4, 7, 16, 18, 20, 22, 30",3921230679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3921230685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3921230677,30,"dtl2jirk97xct4idsoj2vxbs9, cjwflve6ukph4h2az1irm099l, eslpks0nl5y4vnn6xi13iuqqx, 75c432elegprf4f6hn72icset, 552cgdv8qya776at130r2d0mi, af7cmpeqlk4lcxz3bxgzjh8lx, btlomqnhw2ft72iwg7xbaoh2i, 61allnul4qlvl9s6wf0nehped, 8ceatyytb6gk5odzls21u2w2x, cqcwoymcrgf7wdi6091zplecp, 7617zihboc2wywyoyou6nhuqd, 6n2iaeukutepfiee2nvfpvofe, ea28jq8w3nc9koizvgffy5a7d, c0e79rr75bz36j1v4lr28aa96, dz4l89zgzj6zidxaerceesiga, 9fdbjgbp780ql3ugygbuhie3t, 9em8141j1bdvykowhmoyeob85, 1nvaqc5633cmmgqu2bpvly5ex",3921230689,197,4843,3921230691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670481,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-11-19T15:03:16.550Z,2022-11-21T19:32:35Z,3921291833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670493,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2022-11-19T15:03:16.550Z,2022-11-19T15:03:19Z,3921291883,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670531,3,1,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,50.1,50.1,2022-11-19T15:03:16.554Z,2022-11-22T05:11:45Z,3921292065,56,Back,3921292067,140,26.2,3921292073,213,3.2,3921292071,212,25.2,3921292069,141,46.6,3923755889,178,,3921292075,279,S,,,,40wbrqny2ekenyy37ver8dyol,N. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670625,4,1,1,0,4,jv3jh5m5t7qy5t37vwwmnj16,1,28.1,36,2022-11-19T15:03:21.095Z,2022-11-22T05:11:49Z,3923755919,178,,3921292539,213,5.1,3921292533,140,35.7,3921292537,212,20.7,3921292531,56,Back,3921292535,141,7.9,,,,,,,ex186m2z3yp666b1g219a8ted,A. Mawson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670677,5,1,1,0,6,jv3jh5m5t7qy5t37vwwmnj16,0,36.4,5.2,2022-11-19T15:03:23.447Z,2022-11-22T05:11:52Z,3921292833,212,50.7,3921292837,1,,3921292831,141,69.6,3921292829,140,60.8,3921292835,213,1.0,3923755925,178,,3921292827,56,Center,3921292823,155,,f5zei3x0mg1i5q3soziuy579,J. Grimmer,3921292825,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670719,3,1,1,0,9,fvr504m6gaxsfmtx4fwm7iq1,0,37.2,26.8,2022-11-19T15:03:25.747Z,2022-11-22T04:03:18Z,3923756581,178,,3921293059,140,54.0,3921293065,213,6.2,3921293057,56,Center,3921293061,141,23.9,3921293055,3,,3921293063,212,17.7,,,,cjwflve6ukph4h2az1irm099l,R. Broom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670755,6,1,1,0,11,jv3jh5m5t7qy5t37vwwmnj16,0,44.8,69.4,2022-11-19T15:03:28.086Z,2022-11-22T04:03:24Z,3921293223,212,13.5,3921293207,3,,3923756621,388,,3921293227,213,5.5,3921293213,140,54.3,3921293209,56,Center,3921293219,141,56.1,,,,1kw6qz2pi7wlam068oeirztud,J. Obita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486670825,4,1,1,0,13,fvr504m6gaxsfmtx4fwm7iq1,1,43.7,46.8,2022-11-19T15:03:30.313Z,2022-11-22T04:03:28Z,3921293541,213,0.6,3921293527,3,,3921293531,140,63.0,3921293537,212,23.8,3921293533,141,65.1,3923756657,388,,3921293529,56,Center,,,,btlomqnhw2ft72iwg7xbaoh2i,E. Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
