id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/value
2509077287,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-02-18T14:10:11.021Z,2023-02-18T14:10:11Z,4039379623,194,4y3hm9ljv62c5jswanl0gk5,4039379619,130,18,4039379615,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4039379627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039379617,59,"1, 7, 27, 5, 6, 15, 14, 23, 8, 20, 19, 10, 11, 13, 22, 24, 25, 33",4039379625,197,4680,4039379613,30,"41lv87i23sxmdyrs4xxh96m3u, 6ln898p7stih8l7ikzloet0b9, 8nzkkwhmox9lgbmwomq1rruju, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, agvyoqarq5zhflge7bm1hn36d, 4y3hm9ljv62c5jswanl0gk5, aclrl318d420oqe1fjgl1m3xm, 5lngv6xyqc7xanqv8ytifc3px, 1yzyn48jb8yd8bc0xywrhg0r9, a1muz32ocg2650ll5kjc02u39, 5ozfcga88glwzazkg65ahwa8l, 71pv32h5sxhopm6aetxjm50ph, bojsqjfaoi810xuyz0qeqs0r9, 8tjvmh45ea9wy42siytdtkmzu, 1etperk4v88ohoddjdb5dj2l1, 1788amerrk9fg3f9qddyxz8x5",4039379621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509080651,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-02-18T14:13:51.117Z,2023-02-18T14:13:51Z,4039398423,197,16182,4039398419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039398415,59,"33, 16, 2, 5, 14, 26, 6, 8, 9, 23, 10, 3, 7, 11, 12, 15, 18, 27",4039398411,30,"8hiqkrsoskyhhoc0n0wp7lql1, enfxh6b65c9hx1rs0scszi2y2, 7qnu4sb2a2vj7nw8gkvv1pxw5, eg2xijdgtcaa44x57pjezy3ft, 35f2se8cf2zmpxl45zulorpat, 4qg1mpymeaajx8gu7jycw5wph, ev42016zwnwiow3lbefukrbvt, 3j78tgfptah530cydckvfsauh, adfgsbp3tv9wgatujcr9mfuju, 34ur42uwxdk48v051z05no9gp, 81d38h08s97e8kl7kxew6si5l, c1hj1hth3xj2f0ax3x6fdwj8q, dj5ho4am5u4ew23hchm4g549h, awx668jrec0gnqk5gyg7o0oyy, 56zd7s72x7izgeiybmmgc8acq, 2nvu4o5lbowvig5ddb4563n8q, 3swij7ntrn9x9voc9clilgmvp, f4p7kokn0a6epac4icy01l9lh",4039398417,130,18,4039398425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039398413,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4039398421,194,35f2se8cf2zmpxl45zulorpat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121967,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-02-18T15:00:57.187Z,2023-02-18T15:00:59Z,4039615515,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121941,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-02-18T15:00:57.187Z,2023-02-21T06:10:37Z,4039615417,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122111,3,1,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,50,50,2023-02-18T15:00:57.222Z,2023-02-21T08:02:50Z,4039616157,213,3.3,4039616141,56,Back,4039616145,140,29.9,4039616153,212,21.5,4039616149,141,44.3,4039616159,279,S,4047227499,178,,,,,5lngv6xyqc7xanqv8ytifc3px,M. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122197,4,1,1,0,3,ejm092fnt9zoxbpuklzd52ji8,1,37.3,50.1,2023-02-18T15:01:01.006Z,2023-02-21T08:02:57Z,4047227589,178,,4039616599,212,15.5,4039616595,140,46.0,4039616597,141,31.6,4039616593,56,Back,4039616601,213,5.3,,,,,,,5n4s7vdp0dx0ndkph7oyg7v1l,W. Forrester,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122265,5,1,1,0,7,ejm092fnt9zoxbpuklzd52ji8,0,62,18.8,2023-02-18T15:01:04.240Z,2023-02-21T08:02:59Z,4039616949,140,86.1,4047227613,178,,4039616953,212,38.7,4039616945,155,,4039616947,56,Center,4039616959,1,,4039616955,213,0.9,4039616951,141,61.8,4y3hm9ljv62c5jswanl0gk5,T. Pett,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122331,3,12,1,0,9,dv9l02o316cd9hbkxaho2u12f,1,10.3,49.1,2023-02-18T15:01:06.883Z,2023-02-21T08:03:06Z,4039617197,212,18.0,4047227719,388,,4039617265,15,,4039617193,140,18.8,4039617191,56,Back,4039617199,213,1.1,4039617195,141,72.1,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122381,4,49,1,0,12,dv9l02o316cd9hbkxaho2u12f,1,20.1,75.4,2023-02-18T15:01:09.589Z,2023-02-21T08:03:09Z,,,,,,,,,,,,,,,,,,,,,,,,,7qnu4sb2a2vj7nw8gkvv1pxw5,J. Caprice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122581,5,1,1,0,17,dv9l02o316cd9hbkxaho2u12f,1,31.2,95.1,2023-02-18T15:01:14.798Z,2023-02-21T08:03:11Z,4039618469,141,90.0,4047227793,178,,4039618467,140,18.1,4039618475,212,14.2,4039618463,56,Back,4039618479,213,3.4,,,,,,,7qnu4sb2a2vj7nw8gkvv1pxw5,J. Caprice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
