id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2498065855,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-01-16T19:15:56.101Z,2023-01-16T19:42:30Z,3981583381,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3981583375,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3981583369,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3981583371,59,"25, 7, 11, 3, 6, 2, 8, 23, 26, 21, 19, 1, 14, 15, 17, 24, 27, 33",3981583367,30,"1etperk4v88ohoddjdb5dj2l1, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 5yfb390wjjfdjhdf0jzaf1kgl, 6xjftfuwhkbs39xfc3phdbyl1, a2gluxzt6a3z5xwgu2q482rqh, aclrl318d420oqe1fjgl1m3xm, 4y3hm9ljv62c5jswanl0gk5, 4m9vn1q30f1c8ksiyxtei63ft, ef2y32lrxfsagikwuhjrovy3u, 1yzyn48jb8yd8bc0xywrhg0r9, 41lv87i23sxmdyrs4xxh96m3u, agvyoqarq5zhflge7bm1hn36d, 5n4s7vdp0dx0ndkph7oyg7v1l, bybpo6v76mntngcl9xwpil7u1, 8tjvmh45ea9wy42siytdtkmzu, 8nzkkwhmox9lgbmwomq1rruju, 1788amerrk9fg3f9qddyxz8x5",3981583373,130,18,3981583379,197,4680,3981583377,194,4y3hm9ljv62c5jswanl0gk5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498065897,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-01-16T19:16:02.568Z,2023-01-16T20:07:41Z,3981583577,197,16179,3981583579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3981583565,30,"4s848k6xkf7jqp11jkoit2a51, 93hm64q02lz37wj7xzbkv1m1h, 2k02tiy3x2a7o11h0kxw33fmd, ewtroels9b5fc9hv9c2laj90q, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, kxfjnow9ky2mxefjujv392ol, 4y9ghbncgfgpv4qd604g8jw15, dxndu5lwom3srja7xhiadmdw5, 37ea7qzvbzt3zr4y2q4o5boq, 6ictgtdi9ogl7n8dqh4dm1fxl, 9ofz3mgz4077lbkuba1l3kru1, azp9bk80ozwjy2xx7tvqot5gp, e8whj7tdfmuk66shr30htmhud, czsjz7u9u01z5a4pyue7tu5wq, 3e79d5436l57bfj3ywbjvfr6y, 1zpxu396rz1b3gymuheg69h3p, 45i2fz3wya2x8gsa1hn8yd65m",3981583573,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3981583567,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3981583571,130,8,3981583569,59,"1, 12, 3, 22, 6, 4, 23, 8, 9, 11, 10, 15, 5, 14, 16, 17, 24, 28",3981583575,194,dxndu5lwom3srja7xhiadmdw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075387,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-01-16T20:00:27.513Z,2023-01-16T20:00:27Z,3981636173,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075389,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-01-16T20:00:27.513Z,2023-01-18T18:32:01Z,3981636175,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075399,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,49.4,50.1,2023-01-16T20:00:27.546Z,2023-01-18T19:38:50Z,3981636219,279,S,3981636217,213,2.5,3981636209,56,Back,3981636213,141,69.1,3981636211,140,32.4,3983880163,178,,3981636215,212,22.0,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075407,4,1,1,0,2,5jjqm8h6qm1w4s5f93uubhdrj,0,31,72.4,2023-01-16T20:00:30.510Z,2023-01-18T19:38:58Z,3981636271,213,5.6,3981636269,212,56.3,3981636267,141,19.5,3983880417,178,,3981636263,56,Right,3981636261,157,,3981636265,140,72.2,3981636273,1,,2k02tiy3x2a7o11h0kxw33fmd,D. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498534799,872,67,1,0,6,ejm092fnt9zoxbpuklzd52ji8,1,29.3,87.2,2023-01-16T20:00:33.994Z,2023-01-18T21:50:11Z,3984046249,233,825,,,,,,,,,,,,,,,,,,,,,,5yfb390wjjfdjhdf0jzaf1kgl,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498534797,825,67,1,0,6,5jjqm8h6qm1w4s5f93uubhdrj,0,70.7,12.8,2023-01-16T20:00:33.995Z,2023-01-18T21:05:54Z,3984046253,233,872,,,,,,,,,,,,,,,,,,,,,,dxndu5lwom3srja7xhiadmdw5,J. Clarke-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075411,3,8,1,0,6,ejm092fnt9zoxbpuklzd52ji8,1,33.8,85.6,2023-01-16T20:00:34.058Z,2023-01-18T21:50:12Z,3981636281,56,Back,3983880641,178,,3982031673,384,,,,,,,,,,,,,,,,,5yfb390wjjfdjhdf0jzaf1kgl,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075423,4,1,1,0,7,ejm092fnt9zoxbpuklzd52ji8,1,35,82.4,2023-01-16T20:00:35.507Z,2023-01-18T19:39:19Z,3981636327,141,71.2,3981636329,212,8.8,3981636323,56,Back,3983880867,178,,3981636331,213,5.2,3981636325,140,39.2,,,,,,,4y3hm9ljv62c5jswanl0gk5,T. Pett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
