id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2494647401,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-02T14:15:00.513Z,2023-01-02T14:25:39Z,3963547365,197,16113,3963547357,59,"19, 21, 14, 6, 15, 18, 16, 22, 20, 10, 9, 2, 4, 5, 7, 8, 11, 24",3963547363,194,8zcwhxcdh09wxdn29kzpox591,3963547355,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3963547359,130,18,3963547361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963547367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963547353,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, dxk79tuyij7y3gg7j1ad651t6, do0vklx8voqfr05b3j04ilex, 35f2se8cf2zmpxl45zulorpat, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, 8zcwhxcdh09wxdn29kzpox591, b1yok7nf3a2fu9voe0oy7o6ad, 7h6eazahfe5epf6zgx1b1urpx, 9eaozqsxv2347nryh9pkmg251, 9bpm5m1tsplxq77m3cbpfm4t1, aqu903olqgqkljzwr658cogd1, 4qafo1hp52b8lqsqkxym0d8lx, 7iruezvsore21eboc96g7oqtx, 4luphb29oi2p9ftkag6xb69jp, az767vfe6ig8vwir9uu2eu3th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494647425,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-01-02T14:15:04.854Z,2023-01-02T14:15:05Z,3963547489,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3963547499,197,16169,3963547495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963547493,130,19,3963547501,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963547497,194,49ca952ot1c3ytut2s281ds6h,3963547487,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, 49ca952ot1c3ytut2s281ds6h, d25ilw75uqbnk15v383e1kxrd, dwrnys3htjlb3asfou6425g16, 1wpc3b44r2w9m2wallf1xcmlm, canpue729cozt0cw6a1dpi7ai, 1r9aj50371x6f0xf7mmvldz9x, 32crcj18u4qnf8f07fbsopvpx, 1iy0goeaf5btyw09tr2ywbe8l, a97lovkim5o3xqd92bc80l5ux, 4nph9aqyr2kz1gmdh7v9n3w89, 23gglwejp456bifnwkk9xi0a, 18loyx03olyhtkt6scybwr8q1, 5zl4j36i5nxwrct70lgxh0oru, i1bzoqwi1u382l4yx3n864x6, 2evuc5me085gt0aeky191cduc",3963547491,59,"40, 2, 7, 6, 24, 5, 33, 48, 9, 44, 8, 1, 10, 14, 15, 18, 26, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655971,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-02T15:03:24.935Z,2023-01-02T15:03:25Z,3963589347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655977,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-01-02T15:03:24.935Z,2023-02-01T10:03:14Z,3963589373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494656001,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,50.1,49.7,2023-01-02T15:03:24.969Z,2023-01-04T06:50:11Z,3963589491,141,50.3,3963589487,56,Back,3963589497,279,S,3963589495,213,3.1,3963589489,140,35.5,3963589493,212,15.3,3965129465,178,,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494656267,5,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,31.1,49.1,2023-01-02T15:03:27.723Z,2023-02-01T10:18:28Z,3963590739,140,76.3,3963590745,213,5.7,3963590741,141,0.0,3963590737,56,Right,3963590747,1,,3963590743,212,58.6,4006386031,155,,,,,canpue729cozt0cw6a1dpi7ai,L. Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494656335,3,5,1,0,6,69t8imcdaqlgfbds2p58596my,1,23,101.8,2023-01-02T15:03:31.873Z,2023-01-04T06:53:28Z,3963590967,56,Back,3963590971,233,4,3963590969,347,,,,,,,,,,,,,,,,,7h6eazahfe5epf6zgx1b1urpx,J. Böðvarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494656235,4,5,1,0,6,9db4t34qy4owglhvvgwf5l22i,0,77,-1.8,2023-01-02T15:03:31.873Z,2023-01-04T06:53:27Z,3963590591,347,,3963590589,56,Right,3963590997,233,3,,,,,,,,,,,,,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494656353,4,1,1,0,22,69t8imcdaqlgfbds2p58596my,0,24.2,100,2023-01-02T15:03:47.033Z,2023-01-04T06:54:30Z,3963591043,213,6.1,3963591033,107,,3963591039,141,91.8,3963591035,56,Left,3963591045,1,,3963591041,212,33.8,3963591037,140,55.7,,,,dxk79tuyij7y3gg7j1ad651t6,J. Iredale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494656381,7,1,1,0,24,9db4t34qy4owglhvvgwf5l22i,1,44.2,8.9,2023-01-02T15:03:49.193Z,2023-01-04T06:54:48Z,3963591191,213,0.0,3963591187,141,9.5,3963591181,3,,3963591189,212,20.8,3963591185,140,64.0,3963591183,56,Right,3965131225,388,,,,,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
