id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2478673821,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-10-29T13:15:03.039Z,2022-10-31T09:24:23Z,3879416249,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3879416259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3879416271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879416253,59,"40, 2, 11, 5, 16, 50, 4, 28, 8, 7, 10, 1, 14, 17, 18, 22, 25, 42",3879416247,30,"1aq6osi0b0c580dlu9ugnjaei, 2asjeedy6igcuixqktdmk5k2x, dzitwscdk6ogkf6bstbrik53p, 23s9kwgzvgh27d393ymk0006h, a2g77lv071rnz76ujh30364tl, ag8f1ksvfel1a0y49d0iypuui, 7d9la6gbbobi9yie2ejf9uj1l, ex0gkrnzj98vrwpk9tpcfw91x, 8i4qnoil4877e0wpwx3fj5b10, 7uhajc3suc68vemamuc3dyvp, 4i9u8cvqi0326gzqouf7uqju1, 3wew9tjsjrsoyioiuzd7ve356, 8w9kh0cuund2pw8wzs0rjrbah, 1vigb3e3dsxufbtvt4ed48e09, 9sbbk3dgso5zk3g48c8q8ypcl, a5cmnj0nhdbux68291ipqcei2, vqf939oa1aab3hv2mk1my73e, d8s5hdtsmitdvix6l02rjn1g4",3879416257,130,13,3879416263,194,ex0gkrnzj98vrwpk9tpcfw91x,3879416267,197,16213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478673867,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-10-29T13:15:04.651Z,2022-10-29T13:16:03Z,3879416515,197,4826,3879416509,130,13,3879416513,194,f1rmwe24zg4697bqpc3z0y40l,3879416517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879416505,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3879416503,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, czwcateaukr5r9yibdem642qd, 2eu3cz65piv0j91gi396p9ega, emuuuhvah1jtq2fqs9ybfovvu, 430ffnfs8g98t6tkctdqhhd78, 6tqiy5a5cfpfm90j8r5udl8bu, f1rmwe24zg4697bqpc3z0y40l, 555ikrgh0veemzf7reasmqok5, 3je74tc5emuou6ckwdbscsbu, 7ht3grz484ru1bcgp9gn7d2i1, bg9aayv3d1y0qxgqrdohnrcdm, a70y8ayeh05hzo5yc8gotsbh0, 71or1ne6d9zuo038qdt6vcvoq, e4xeswr8cpdkmlhijuf7oonsa, 74fouzsgp25muot2pp6as5otl, 937mkgz0gstvxyjiwfe9xiuzu, 1d4f90y6wm6i63g8sqeu4sqqy",3879416507,59,"13, 26, 3, 32, 18, 37, 4, 8, 14, 7, 10, 1, 11, 16, 21, 24, 28, 39",3879416511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720891,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2022-10-29T14:00:37.875Z,2022-10-29T14:00:40Z,3879663077,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720879,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-10-29T14:00:37.875Z,2022-10-31T22:57:12Z,3879663035,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720967,3,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,49.8,50.1,2022-10-29T14:00:37.917Z,2022-11-01T04:25:28Z,3879663419,56,Back,3879663425,212,22.5,3879663421,140,28.4,3879663429,279,S,3879663423,141,50.1,3879663427,213,3.1,3887399053,178,,,,,3je74tc5emuou6ckwdbscsbu,Carlos Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721009,4,1,1,0,3,8rfydplrc9ki0sirqi0drcybk,1,29.5,47.9,2022-10-29T14:00:40.885Z,2022-11-01T04:25:39Z,3887399127,178,,3879663579,141,20.7,3879663583,213,5.8,3879663573,155,,3879663577,140,66.6,3879663581,212,43.1,3879663585,1,,3879663575,56,Right,2eu3cz65piv0j91gi396p9ega,J. Earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721077,5,1,1,0,5,8rfydplrc9ki0sirqi0drcybk,1,66.6,20.7,2022-10-29T14:00:42.996Z,2022-11-01T04:25:52Z,3879663889,140,92.8,3879663891,141,6.5,3879663893,212,29.2,3887399215,178,,3879663883,3,,3879663887,56,Right,3879663885,168,,3879663895,213,5.9,555ikrgh0veemzf7reasmqok5,J. Garner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721087,6,1,1,0,8,8rfydplrc9ki0sirqi0drcybk,0,94.2,7.1,2022-10-29T14:00:45.896Z,2022-11-01T04:26:04Z,3887399293,178,,3879663959,213,2.0,3879663949,140,88.2,3879663957,212,14.4,3879663953,141,26.1,3879663947,56,Center,,,,,,,5q6s3r5ychv1d3r1tch4sot05,S. Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721219,3,12,1,0,9,5qwskbjpa17fvmtuu5qijy7cz,1,9.5,65.5,2022-10-29T14:00:47.142Z,2022-11-01T04:27:13Z,3879664509,212,10.0,3879664503,56,Back,3879664507,141,77.3,3879664511,213,0.9,3879664505,140,15.2,3887399671,178,,,,,,,,ex0gkrnzj98vrwpk9tpcfw91x,S. Conneely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478721153,7,1,1,0,11,8rfydplrc9ki0sirqi0drcybk,0,88.4,30.1,2022-10-29T14:00:48.891Z,2022-11-01T04:27:17Z,3887399699,388,,3879664223,140,100.0,3879664221,56,Center,3879664229,141,64.2,3879664231,212,26.5,3879664219,155,,3879664233,213,1.1,,,,3je74tc5emuou6ckwdbscsbu,Carlos Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
