id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value
2493905043,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-12-29T18:56:53.832Z,2022-12-29T19:47:25Z,3959641035,59,"28, 23, 16, 2, 4, 6, 7, 8, 9, 11, 17, 1, 3, 5, 10, 22, 24, 27",3959641033,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959641041,194,dxndu5lwom3srja7xhiadmdw5,3959641037,130,17,3959641039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959641031,30,"45i2fz3wya2x8gsa1hn8yd65m, kxfjnow9ky2mxefjujv392ol, czsjz7u9u01z5a4pyue7tu5wq, cee3wxxx7lrluzh7kog7g07ah, em0i6q0h6q80melaxwx2nvz3e, 6cfr9qa1khqzv5oxsi8d3ug9h, 9iwkidg6lykej8vrhfz6z4ct1, 4y9ghbncgfgpv4qd604g8jw15, dxndu5lwom3srja7xhiadmdw5, 37ea7qzvbzt3zr4y2q4o5boq, 3e79d5436l57bfj3ywbjvfr6y, 2f49etxdi4l2tsobpmsg5i5pm, 2k02tiy3x2a7o11h0kxw33fmd, azp9bk80ozwjy2xx7tvqot5gp, 6ictgtdi9ogl7n8dqh4dm1fxl, ewtroels9b5fc9hv9c2laj90q, 1zpxu396rz1b3gymuheg69h3p, ap6krbqlids3m29zd4j8ick16",3959641043,197,16178,3959641045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493905115,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-29T18:57:37.013Z,2022-12-29T19:57:48Z,3959641567,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 9j8icoctjp1icwle91r62q76x, 9r28zj6fz3z8dzojktwambsut, 2hhatd33vvokrbemn4echivhl, 1vfuzp09s9oj95ruav4ln9ch6, 8uch2zjj8vxmfi2l544j5ipxx, bhtwzoyaqug2p0ezr7c6wxuui, 299g43uwcj4dblia1bihagmol, 6evqqxq5e0y1uvigg6bss4frp, 9y8gvjzrsvgxkcfvq99mivdyi, 3jitoqthsisleiprkhni7gycp, 5v9byi3v430ysdqb058eww3c9, 2uids8ea8jv4r62psqj37x3e2, 9qeg65oa5skmypxvt73vckfrp, 9mgcugydtvdr5wk7qii9wpd2i, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu",3959641577,194,2hhatd33vvokrbemn4echivhl,3959641575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959641573,130,18,3959641569,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959641571,59,"1, 2, 21, 33, 5, 4, 6, 28, 11, 9, 19, 7, 8, 10, 14, 16, 22, 23",3959641581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959641579,197,12150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911819,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-29T19:44:23.308Z,2022-12-29T19:44:23Z,3959681195,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911821,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-12-29T19:44:23.308Z,2022-12-31T18:15:53Z,3959681197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911827,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,50.1,50,2022-12-29T19:44:23.332Z,2023-01-01T06:40:02Z,3959681233,141,49.3,3959681241,279,S,3959681237,212,23.8,3959681229,56,Back,3959681239,213,3.2,3962384997,178,,3959681231,140,27.4,,,,299g43uwcj4dblia1bihagmol,N. Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911835,4,1,1,0,2,8w89tsles26jm12aoelwvlttt,0,30.3,47,2022-12-29T19:44:26.238Z,2023-01-01T06:40:08Z,3962385099,178,,3959681295,212,42.0,3959681293,141,80.3,3959681289,56,Left,3959681297,213,0.6,3959681291,140,64.0,3959681299,1,,3959681287,155,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911855,3,1,1,0,5,5jjqm8h6qm1w4s5f93uubhdrj,1,25.6,20.6,2022-12-29T19:44:29.242Z,2023-01-01T06:40:15Z,3959681411,140,39.5,3959681407,3,,3959681415,212,15.1,3959681413,141,15.0,3959681417,213,6.0,3959681409,56,Back,3962385119,388,,,,,6cfr9qa1khqzv5oxsi8d3ug9h,F. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911857,4,49,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,1,40.4,9.5,2022-12-29T19:44:31.757Z,2023-01-01T06:41:24Z,,,,,,,,,,,,,,,,,,,,,,,,,3e79d5436l57bfj3ywbjvfr6y,R. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911867,5,1,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,0,40.4,9.5,2022-12-29T19:44:31.830Z,2023-01-01T06:41:27Z,3959681493,213,6.2,3959681495,1,,3959681489,141,4.7,3962385549,178,,3959681485,56,Right,3959681483,155,,3959681487,140,75.5,3959681491,212,37.0,3e79d5436l57bfj3ywbjvfr6y,R. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493911887,5,1,1,0,11,8w89tsles26jm12aoelwvlttt,1,28,90,2022-12-29T19:44:34.808Z,2023-01-01T06:41:30Z,3959681591,56,Back,3959681593,140,13.9,3959681595,141,55.7,3959681597,212,27.6,3962385561,178,,3959681599,213,4.1,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
