id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/15/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,assist
2500325603,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-01-24T19:00:07.866Z,2023-01-24T19:14:44Z,3993465299,197,16167,3993465291,59,"1, 26, 23, 7, 2, 6, 18, 28, 9, 10, 11, 3, 8, 12, 13, 19, 22, 29",3993465287,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 1kw6qz2pi7wlam068oeirztud, bbrx2s4fcp7uplly4hpbt3xed, f5zei3x0mg1i5q3soziuy579, 4uywqjm0i2ik5cwhulbmzxi39, 99uiqjteov3qby19bs8kozill, 7pia2vfewavgyc8d7pvgr7owl, am0ggkrw8rzw5shdvaceyr3kl, 93kxb8ch3auv9li22mh1aidey, 7yqdri2a1wz80jfzbcyfc904p, 5bkjye9thnohmdgzwsrsy1n9, 5j5rrfad842t1nebfc4lwmket, 4oogur7f8tfx3z011ap58ao5x, corxqfn0yjgdo7vdctaraxv8q, dbev6jhnro87n6ghueorfz27d, 40wbrqny2ekenyy37ver8dyol, cxfq8o3k68x1acwci3wx812w9",3993465295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3993465293,130,6,3993465301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993465289,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3993465297,194,7fvj3ev8ov0cnalck9x48z3kl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325607,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-24T19:00:08.692Z,2023-01-24T19:42:56Z,3993465327,194,bsrhtxhpnlxho2o4zvli5qmeh,3993465319,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3993465329,197,16222,3993465321,59,"13, 33, 16, 18, 5, 2, 14, 8, 22, 7, 30, 28, 3, 4, 9, 21, 27, 39",3993465325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3993465331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993465323,130,4,3993465317,30,"3oyhjrd1ohnwf1x3d65997xzp, cz30ywnq6p6dig7x3hu6h7cnp, 987r1vdgx95x30elzrisjrzs9, 50flg4aoq4l0glnh61yzngc7p, bsrhtxhpnlxho2o4zvli5qmeh, 50c2v0l2cmkh82vso5tnjv3yt, 8olbkp9lqy3em5s9h7a4aod4a, 3jzhwh7lq7xzcz7clm28h0mvp, 33ci88veciqvd4w5y145dyooa, dq21r0ge09ug4d2crb9j6q6dx, 1lu7wsceoivdbsvqanykrr07p, 7ysjsg2vz5dgbm9pzvbx9u904, 7cznyew8xg3fxfqeexid7pxt6, cqfbp8me2n00cve66v797omvp, 5lngv6xyqc7xanqv8ytifc3px, exrh01dw52b651aet2am7v015, uluqgj69z6yunsl8m505lyi, 3cy13tw0tdconbwzlwteg6xas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344315,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-24T19:46:44.460Z,2023-01-24T19:46:47Z,3993554887,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344329,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-01-24T19:46:44.460Z,2023-01-26T04:42:34Z,3993554907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344465,3,1,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,49.9,49.9,2023-01-24T19:46:44.494Z,2023-01-26T09:56:49Z,3993555993,279,S,3993555521,141,39.4,3993555517,56,Back,3993555523,212,17.9,3995413227,178,,3993555527,213,3.6,3993555519,140,34.3,,,,3jzhwh7lq7xzcz7clm28h0mvp,C. Brannagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344481,4,1,1,0,2,ahm0t06rup1bkd9z0mxl2lmph,0,33.5,39.2,2023-01-24T19:46:47.108Z,2023-01-26T09:56:54Z,3993555621,1,,3993555617,212,52.1,3995413249,178,,3993555609,157,,3993555613,140,75.1,3993555611,56,Left,3993555619,213,0.6,3993555615,141,81.0,bsrhtxhpnlxho2o4zvli5qmeh,E. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344493,3,1,1,0,5,jv3jh5m5t7qy5t37vwwmnj16,0,23.7,14.6,2023-01-24T19:46:49.785Z,2023-01-26T09:56:58Z,3995413273,388,,3993555657,3,,3993555669,141,0.0,3993555661,56,Back,3993555671,212,11.2,3993555665,140,27.1,3993555673,213,5.0,,,,4uywqjm0i2ik5cwhulbmzxi39,R. Tafazolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344501,4,5,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,0,27.6,-1.4,2023-01-24T19:46:53.112Z,2023-01-26T09:57:01Z,3993555709,347,,3993555707,56,Back,3993556339,233,5,,,,,,,,,,,,,,,,4uywqjm0i2ik5cwhulbmzxi39,R. Tafazolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344643,5,5,1,0,8,ahm0t06rup1bkd9z0mxl2lmph,1,72.4,101.4,2023-01-24T19:46:53.112Z,2023-01-26T09:57:01Z,3993556317,233,4,3993556287,347,,3993556283,56,Left,,,,,,,,,,,,,,,,bsrhtxhpnlxho2o4zvli5qmeh,E. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344725,6,1,1,0,15,ahm0t06rup1bkd9z0mxl2lmph,1,72,100,2023-01-24T19:47:00.014Z,2023-01-26T09:57:06Z,3993556669,1,,3993556661,140,52.3,3993556665,212,21.6,3993556659,56,Left,3993556663,141,92.6,3993556667,213,3.4,3993556657,107,,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
