id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/12/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2542678855,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-05-02T18:00:01.770Z,2023-05-02T18:51:36Z,4245398215,194,62azuux8vuk6956cuyjjtped,4245398207,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",4245398211,130,18,4245398209,59,"1, 17, 26, 33, 22, 6, 7, 3, 8, 14, 9, 13, 15, 18, 27, 30",4245398205,30,"ezg39hlg3h14utboy2h3lijmd, 31xl77lt8tax7bta6s45p9fpx, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, diw7je3i5mkvwf0kj898yi0gl, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 6t0n68hbpi4fa6lzt815gyc5w, 6hkzb4vehsx4wwm9y98euwacq, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, dovxfzsqb5e7by2q6kq0j2z1l, 1g9uh6aokaevbg7s6v2jh8h78, 1l9z6glh9h9yt7awb7t9rsgoa, 3mudv2ein3iuv9smhmkk9vod0",4245398217,197,4206,4245398213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",4245398219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542679067,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-05-02T18:00:43.709Z,2023-05-02T18:00:43Z,4245399389,30,"6axta520v9f4z56hctbq3a4mh, c651trgr0pihuppxxd31z6go9, f0sa0skucdf742t06hsmi8ne2, 9jj7t00bb5zflz78nlz3bvllg, c4hif6j7tldh0w7oeq8v9pcve, 6hq92cx2829wfuzxmfhg1xpm1, 3pxdg41xbkbajeuxovusa2v9x, dz04k2zt87y78ku9g14sxm21h, 5pafzbbuucga9ut20l6ckj7u2, bgly2zwf7qro0phmd6hkry6ll, 6q5iqhaxdzqhj3jt0eptjvbv9, 6wax1hh875vpvfi1fbetwmtey, 9s6ec1a12gozqwjlsyo7y8gr9, bdquc37ytagmw19zgrehnryz9, aohds6v2ewiu0xhov9mq9uju1, 4n37rih2qtphgtjxzo2id5f55, ejmi6qqszz1509excckyj3n1m, 401czina66h20pz9fg2d8l6y2",4245399395,130,23,4245399397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4245399403,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4245399399,194,6q5iqhaxdzqhj3jt0eptjvbv9,4245399393,59,"35, 28, 3, 22, 5, 17, 8, 9, 40, 18, 6, 2, 7, 10, 11, 21, 30, 31",4245399391,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4245399401,197,16448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542695957,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-05-02T18:46:48.978Z,2023-05-02T18:46:51Z,4245493621,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542695941,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-05-02T18:46:48.978Z,2023-05-04T20:28:41Z,4245493531,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542695967,3,1,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,50,49.5,2023-05-02T18:46:49.034Z,2023-05-05T07:03:01Z,4245493683,212,16.4,4245493687,279,S,4245493677,56,Back,4245493681,141,46.4,4251021485,178,,4245493679,140,34.5,4245493685,213,3.3,,,,3pxdg41xbkbajeuxovusa2v9x,G. Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542696017,4,1,1,0,2,5pfqedkme2kabtqhkln35pf3l,1,32.2,50.1,2023-05-02T18:46:51.824Z,2023-05-05T07:03:04Z,4245493933,56,Left,4245493939,212,49.1,4245493943,1,,4245493937,141,94.2,4245493931,155,,4245493941,213,0.7,4251021575,178,,4245493935,140,69.2,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542696023,5,44,1,0,5,5pfqedkme2kabtqhkln35pf3l,1,65.5,94.1,2023-05-02T18:46:54.820Z,2023-05-05T08:35:41Z,4245493975,233,3,4245493965,286,,4245493963,56,Left,,,,,,,,,,,,,,,,bgly2zwf7qro0phmd6hkry6ll,R. Loft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542696019,3,44,1,0,5,82kapkjwonlv9j1ui0ytv5sii,0,34.5,5.9,2023-05-02T18:46:54.821Z,2023-05-05T07:03:09Z,4245493949,285,,4245493981,233,5,4245493947,56,Back,,,,,,,,,,,,,,,,diw7je3i5mkvwf0kj898yi0gl,T. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542696035,6,1,1,0,5,5pfqedkme2kabtqhkln35pf3l,0,69.2,94.2,2023-05-02T18:46:54.841Z,2023-05-05T08:35:41Z,4245494037,212,14.7,4245494039,213,5.2,4245494033,140,75.9,4245494029,3,,4251021733,388,,4245494031,56,Center,4245494035,141,75.3,,,,bgly2zwf7qro0phmd6hkry6ll,R. Loft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542696037,4,49,1,0,7,82kapkjwonlv9j1ui0ytv5sii,1,26.4,26.1,2023-05-02T18:46:56.781Z,2023-05-05T07:03:17Z,,,,,,,,,,,,,,,,,,,,,,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
