id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2484557883,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-11-12T14:15:08.203Z,2022-11-12T16:51:17Z,3910239345,59,"24, 37, 3, 23, 5, 4, 11, 25, 14, 12, 7, 1, 9, 10, 21, 38, 39, 45",3910239351,194,5n4yyffs5f8b7exry819c4xxx,3910239353,197,4823,3910239343,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3910239347,130,8,3910239355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910239341,30,"268os78lzi8fggnve9n15h5ux, a6sikfu3j1pp7mlfcdte2inoq, dt6qnodvlkioltvbbhn08tqs5, b0hjaqg0on2lrpfcjxfyz7uqy, 2di9tk08yuqcb4wn9dvmwh97t, 5n4yyffs5f8b7exry819c4xxx, 5djouum2kdazpcjf79gbk2ju1, a6w8k42asmtixpi0orgxh7aj8, d866x81xlp0h24rtpg9jbczbp, d41ua67591gafg6gb9iwg3p7u, 8wnv741y7ghjolf8g5c7psru1, 3yamg9wboimwxyklpekdxgxxx, df3lhrpu9m9mqhk1h7hov4ic5, 7mcxkeo8701m9cs3hfy6towrt, enwfqkgv2m6hfwwjmbvfx9m1h, 3gecp9ekr3ge4dk1zl4gt8amt, 39gerw0vkyeriats1e0rgdn56, 2u29ogddmahu2ursn73e5yw9h",3910239349,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484557923,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-11-12T14:15:10.190Z,2022-11-12T16:51:19Z,3910239595,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3910239597,59,"13, 36, 2, 4, 5, 24, 17, 21, 14, 9, 43, 8, 10, 19, 22, 23, 27, 52",3910239593,30,"biwjsmk8ytz2k4d9f141jw15h, ainucu0mp655cdgjw7j6qrazu, 56g3fffeygobuei72gnkm9a09, egr5n9jynbg3llc2tn2g5ncnp, 2kecmwyt730pi8z3pnsqs1l1x, 2r6gxw9yjxvaplv70ftq7wout, ald5oocxwh4pip8fw6v3ym8h6, 6a08s0d0sgt7iw37spmo4bro5, 1uqgky0sxqjs8bqd2h75rnmjt, 74p53a79q1tlis3a3gladqor9, 4hgji0bnqpsqezk5ctxq3ggh6, 2t21ewgdqimma7cd74i1r5tqt, effzy3ttltffcz92a3ro4woa, evb6gpvuutmnisv9d12gs0xcl, 6m0h2e4kygi2hx6nf9b24cv6d, 4qrvri86m93wpyugq0zq4aaqx, 24g0rf7o960uai5a4h42d6rkk, 5vq2z0eob2s8kj1o74sct75sk",3910239599,130,2,3910239605,197,4881,3910239603,194,74p53a79q1tlis3a3gladqor9,3910239601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3910239607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484599905,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-11-12T15:03:00.635Z,2022-11-14T17:32:02Z,3910454207,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484599917,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-11-12T15:03:00.635Z,2022-11-12T15:03:03Z,3910454263,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600061,3,1,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,50,50,2022-11-12T15:03:00.845Z,2022-11-14T17:38:53Z,3916946713,178,,3910454927,56,Back,3910454937,279,S,3910454931,141,66.3,3910454933,212,25.9,3910454935,213,2.7,3910454929,140,27.7,,,,b0hjaqg0on2lrpfcjxfyz7uqy,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600081,4,1,1,0,2,8mbtyq0has0uu0565fm9t5cdo,1,27.7,66.3,2022-11-12T15:03:02.866Z,2022-11-14T17:38:54Z,3910455029,213,1.3,3910455023,140,32.5,3910455027,212,20.2,3910455021,56,Back,3916946767,178,,3910455025,141,95.1,,,,,,,5n4yyffs5f8b7exry819c4xxx,A. Oshilaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600169,5,1,1,0,4,8mbtyq0has0uu0565fm9t5cdo,0,34.3,95,2022-11-12T15:03:05.443Z,2022-11-14T17:38:56Z,3910455479,212,53.9,3910455475,140,84.2,3916946859,178,,3910455477,141,76.4,3910455471,155,,3910455473,56,Center,3910455481,213,6.0,3910455483,1,,dt6qnodvlkioltvbbhn08tqs5,C. Borthwick-Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600261,3,1,1,0,8,2ezfenuwk3y65p8jdbj55xqt0,0,27.5,30.6,2022-11-12T15:03:08.757Z,2022-11-14T17:39:01Z,3916946965,388,,3910455819,141,0.0,3910455815,56,Back,3910455817,140,35.2,3910455813,3,,3910455823,213,5.1,3910455821,212,23.3,,,,2r6gxw9yjxvaplv70ftq7wout,R. Inniss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600273,4,5,1,0,10,2ezfenuwk3y65p8jdbj55xqt0,0,30,-1.8,2022-11-12T15:03:10.635Z,2022-11-14T17:39:03Z,3910457177,233,6,3910455861,347,,3910455859,56,Back,,,,,,,,,,,,,,,,2r6gxw9yjxvaplv70ftq7wout,R. Inniss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484600519,6,5,1,0,10,8mbtyq0has0uu0565fm9t5cdo,1,70,101.8,2022-11-12T15:03:10.635Z,2022-11-14T17:39:03Z,3910457007,347,,3910457131,233,4,3910457005,56,Left,,,,,,,,,,,,,,,,dt6qnodvlkioltvbbhn08tqs5,C. Borthwick-Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
