id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/20/id,qualifier/20/qualifierId,assist
2494647427,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-01-02T14:15:05.575Z,2023-01-02T15:01:22Z,3963547517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963547515,197,4637,3963547503,30,"9tlowuu89l3fnv5iowela1ca2, 5mx96hmn7ophhuvmybmf1esid, 1y7e8a23pc4xlc6ori1o1b8tm, dwp8bqc4rdleti92n0s6q9rdh, e9zi7fb2t4akk1pzjpuhe4bf9, 94pt7ikxi5cdjhbqf7vi9xg4p, 5dsht0mnmpm2asallpju46ms5, 6g8w8yuvkuayxcegsvzcjmmzt, 43dtg3eg858i3agncnpq3p1wp, 4wzaq9gqohygfo22tjibldfjd, 6dhwu4p5uu6oiada4q13g5tk9, 76j19abwcie5w5hptkewlh0bt, dz4jeb7rhr5jt3grs4evbs5bd, 15ri1d5n53wa7195gjbhhtbkl, 2sqsqi4h0d982a171bfuqnd91, 41ntkkxxtjznfdz7966j64161, 5j1eftktnca9eso1vvhu2hf55, 8mxu20zdh9wrguq79ib8y5m21",3963547507,59,"1, 2, 24, 15, 5, 22, 26, 21, 18, 19, 27, 6, 7, 9, 10, 14, 17, 29",3963547505,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3963547513,194,5mx96hmn7ophhuvmybmf1esid,3963547509,130,13,3963547511,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494647505,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-01-02T14:15:19.858Z,2023-01-02T15:03:43Z,3963547855,194,dgzuswl2pnk7t03ts7nguholx,3963547859,197,4778,3963547863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963547847,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3963547845,30,"4905drgcc9husos98ppdup4gl, 6bejhzrjgg7dz6cp6s45rah91, 1oeekgzkzju2jce7651vbdrrp, dgzuswl2pnk7t03ts7nguholx, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, 7hduohz6mo32mbtdepyv5u7yt, 6b7fxcw7upr57pku6gf6dteqd, 3fwxh0c612fj1flqrbozvja39, ab2bx5qzhdzlduh46iacngbf9, dp69i4w71wdxciwbgus5cmbpx, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, 1uv1l0l2zhrv5rjb9dgko0r1l, b7lmlxy1s3atzgtud5ofsc92h, d3si5voqkdc8did5gkp67tg5w, coupcn8k43jf15nqge220qo5x",3963547851,130,8,3963547853,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963547849,59,"1, 44, 21, 5, 6, 15, 7, 8, 19, 23, 11, 2, 9, 10, 24, 29, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655255,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-01-02T15:02:15.705Z,2023-01-02T15:02:15Z,3963585815,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655259,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-01-02T15:02:15.705Z,2023-01-04T04:39:34Z,3963585827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655261,3,1,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,49.9,49.9,2023-01-02T15:02:15.714Z,2023-01-04T05:40:03Z,3963585835,140,29.0,3963585837,141,39.4,3965107883,178,,3963585839,212,23.1,3963585841,213,3.5,3963585843,279,S,3963585833,56,Back,,,,6dhwu4p5uu6oiada4q13g5tk9,J. Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655277,4,1,1,0,3,b3vbyitzi3nrw9ehj1eoko219,0,29.7,36.9,2023-01-02T15:02:18.729Z,2023-01-04T05:40:08Z,3965107911,178,,3963585929,56,Center,3963585931,140,90.9,3963585933,141,34.0,3963585937,213,6.3,3963585935,212,64.3,3964570893,155,,3963585939,1,,e9zi7fb2t4akk1pzjpuhe4bf9,A. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655281,3,52,1,0,7,8b523ujgl21tbc01me65q0aoh,1,8.3,71.5,2023-01-02T15:02:22.897Z,2023-01-04T05:40:13Z,3965107943,388,,3964570855,378,,,,,,,,,,,,,,,,,,,,4905drgcc9husos98ppdup4gl,C. Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655353,4,1,1,0,13,8b523ujgl21tbc01me65q0aoh,1,11.7,55.2,2023-01-02T15:02:29.222Z,2023-01-04T05:40:17Z,3963586251,123,,3963586253,56,Back,3963586261,213,1.3,3965107981,178,,3963586259,212,9.6,3963586257,141,68.7,3963586255,140,14.5,,,,4905drgcc9husos98ppdup4gl,C. Walton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655375,5,1,1,0,17,8b523ujgl21tbc01me65q0aoh,1,22.2,68.5,2023-01-02T15:02:33.324Z,2023-01-04T05:40:22Z,3963586367,213,4.7,3963586359,56,Back,3963586365,212,14.7,3963586361,140,22.1,3965108015,178,,3963586363,141,46.9,,,,,,,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655399,6,1,1,0,21,8b523ujgl21tbc01me65q0aoh,1,23.1,44.8,2023-01-02T15:02:37.194Z,2023-01-04T05:40:27Z,3963586461,140,24.8,3963586463,141,64.8,3963586467,213,1.4,3963586459,56,Back,3963586465,212,13.7,3965108051,178,,,,,,,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
