id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/17/value
2493222333,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-26T14:15:02.109Z,2022-12-27T14:38:13Z,3956021821,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3956021825,130,12,3956021833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956021827,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956021823,59,"1, 2, 11, 6, 5, 3, 7, 25, 28, 14, 4, 8, 9, 10, 18, 22, 24, 27",3956021829,194,8rjkn8s6e4s60167zdyukj9w5,3956021819,30,"535ecbyyd28elesvxtvbxurpx, 5kg7eu8b1wktru5ohpid8e9qt, 91mshvbc4rk9cf0chhgukakiy, 5vi8t2fffmk5kjfukazcmyo5x, 3dy32ujo7srhl6rq7vb9e97xm, 3x8j3d4oygoxsu75ipz0idt6, c3a6jpeg16b9zn02uf1yf9cyx, 43knl3z17afypz27sz4qzkxnu, 2r64ekro7ydonu8jg7s12xyei, 8rjkn8s6e4s60167zdyukj9w5, cwimbfv671qph6cxdcl32elzp, 693vankfkq50hufuwcz7hu8r9, es83awo143gzdm1ohwqwpmjf9, ekcfj2t6pzdz36uzpw9q6c7vt, 88ltcmthybimleezmuyyrmqga, bn65q0jh5fmyit8g8y4k9wsq2, dirgn9z2tdz1603md8x3dni6t, 67xd8llko9zszuwg63ffopje2",3956021831,197,16119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493223729,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-26T14:17:38.582Z,2022-12-27T14:36:42Z,3956030195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956030187,130,17,3956030191,194,2hhatd33vvokrbemn4echivhl,3956030183,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3956030189,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956030185,59,"1, 2, 21, 33, 5, 4, 6, 14, 9, 10, 11, 7, 8, 16, 19, 22, 23, 28",3956030181,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 9j8icoctjp1icwle91r62q76x, 9r28zj6fz3z8dzojktwambsut, 2hhatd33vvokrbemn4echivhl, 1vfuzp09s9oj95ruav4ln9ch6, 8uch2zjj8vxmfi2l544j5ipxx, 9qeg65oa5skmypxvt73vckfrp, 6evqqxq5e0y1uvigg6bss4frp, 2uids8ea8jv4r62psqj37x3e2, 299g43uwcj4dblia1bihagmol, 3jitoqthsisleiprkhni7gycp, 5v9byi3v430ysdqb058eww3c9, 9mgcugydtvdr5wk7qii9wpd2i, 9y8gvjzrsvgxkcfvq99mivdyi, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui",3956030193,197,2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236849,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-26T15:01:52.137Z,2022-12-26T15:01:52Z,3956100999,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236859,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-26T15:01:52.137Z,2022-12-28T05:49:50Z,3956101035,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236907,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,49.9,50.3,2022-12-26T15:01:52.180Z,2022-12-28T18:01:14Z,3958730417,178,,3956101293,213,3.2,3956101285,56,Back,3956101291,212,18.0,3956101287,140,32.8,3956101289,141,49.9,3956101295,279,S,,,,c3a6jpeg16b9zn02uf1yf9cyx,B. Stevenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236919,4,1,1,0,2,17zuelixesst1z59fwcix2dil,0,31.9,49.9,2022-12-26T15:01:54.644Z,2022-12-28T18:01:18Z,3956101355,56,Back,3956101363,141,53.0,3956101505,233,3,3956101369,212,7.2,3956101373,213,0.3,3956101359,140,38.5,3958730605,178,,3956101349,155,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493236937,3,8,1,0,2,8w89tsles26jm12aoelwvlttt,1,65,50.3,2022-12-26T15:01:54.871Z,2022-12-28T18:01:35Z,3956101437,56,Center,3958730795,21,,3957814065,383,,3958730797,388,,,,,,,,,,,,,,6evqqxq5e0y1uvigg6bss4frp,W. Grigg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237077,5,1,1,0,6,17zuelixesst1z59fwcix2dil,0,32.6,79.3,2022-12-26T15:01:59.069Z,2022-12-28T18:01:42Z,3956102071,140,71.2,3958730897,178,,3956102069,56,Center,3956102067,155,,3956102081,1,,3956102079,213,5.8,3956102077,212,45.0,3956102073,141,50.6,5vi8t2fffmk5kjfukazcmyo5x,B. Cargill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237107,4,49,1,0,10,8w89tsles26jm12aoelwvlttt,1,33.7,54.9,2022-12-26T15:02:02.870Z,2022-12-28T18:02:05Z,,,,,,,,,,,,,,,,,,,,,,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493237191,5,1,1,0,11,8w89tsles26jm12aoelwvlttt,1,35.1,51,2022-12-26T15:02:03.924Z,2022-12-28T18:02:12Z,3956102553,155,,3956102557,140,62.8,3956102559,141,56.3,3956102561,212,29.3,3958731239,178,,3956102563,213,0.1,3956102555,56,Center,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
