id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2513730805,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-02-28T19:00:01.413Z,2023-02-28T19:46:02Z,4063968941,130,18,4063968949,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4063968945,194,aqu903olqgqkljzwr658cogd1,4063968937,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4063968943,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4063968935,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 64tpd90skhh1yj8yztefhahn9, 74vpeqcguo2sb2qgpt3b6zq3t, aqu903olqgqkljzwr658cogd1, 9eaozqsxv2347nryh9pkmg251, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, 8zcwhxcdh09wxdn29kzpox591, awsbedog2zaz7zpjucbcba82y, b1yok7nf3a2fu9voe0oy7o6ad, 7iruezvsore21eboc96g7oqtx, cqcwoymcrgf7wdi6091zplecp, ltd25ksbai4wbpl56pwg0dlh, az767vfe6ig8vwir9uu2eu3th, 7edc89hg3r6ueacgnkde7fzvu, 96hgdxqla3prs8zusk58lmdey, d866x81xlp0h24rtpg9jbczbp",4063968947,197,16113,4063968939,59,"19, 21, 3, 18, 5, 2, 16, 22, 20, 17, 10, 8, 11, 23, 24, 27, 28, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513730921,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-02-28T19:00:31.221Z,2023-02-28T19:00:31Z,4063969741,30,"21hyrpedxxu2ilkspxq4uril1, 9ovnysf6fd2ophwdyfznztsk5, 541yhibvfn0fv2izdfudm7651, dlfoufhh8dc14s10vnbjrfvmd, cn988bjn09tb806b05wgp7ys5, 9kacd96xriqrc23e0a8vzov3e, eswokn90i34kdbfvax0y7365l, f4l762ob8j0izfocnmofytcyd, 6d9maq3oecwobp2t2220vf4r9, dgl4fbdrmolqgg0xzejl7ve8l, 6m5uypsr6dj6l74khrez38355, 41cihaqh4lxje5nx17g0rbgt1, 33h8s55zcj0j535g2dyz9tnqi, c23tcl4dl40wu4i8vntbv0tm1, 3zmb22ct3lkf04kbpuxr22hud, 610qf6vm0fsq97hvdcpj4ka95, 5ykgwunfc9pg5iq8h5cihg3xl, a70y8ayeh05hzo5yc8gotsbh0",4063969753,197,16220,4063969749,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4063969745,59,"1, 17, 6, 16, 20, 34, 15, 8, 9, 24, 11, 10, 19, 21, 23, 26, 28, 29",4063969747,130,8,4063969755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4063969743,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4063969751,194,cn988bjn09tb806b05wgp7ys5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740109,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-02-28T19:45:38.885Z,2023-02-28T19:45:39Z,4064021331,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740111,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-02-28T19:45:38.885Z,2023-03-02T21:57:14Z,4064021347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740125,3,1,1,0,0,69t8imcdaqlgfbds2p58596my,1,50,50.2,2023-02-28T19:45:38.886Z,2023-03-03T01:14:25Z,4064021425,212,11.8,4064021419,56,Back,4064021429,279,S,4064021421,140,39.3,4067525449,178,,4064021427,213,3.5,4064021423,141,44.8,,,,8zcwhxcdh09wxdn29kzpox591,K. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740129,4,1,1,0,1,69t8imcdaqlgfbds2p58596my,1,39.3,44.8,2023-02-28T19:45:40.814Z,2023-03-03T01:14:47Z,4064021447,141,86.3,4064021451,213,1.7,4064021443,56,Back,4064021449,212,28.3,4064021445,140,36.9,4067525749,178,,,,,,,,6q06inb8ukzfsrxy0arxl78q1,A. Morley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740201,5,1,1,0,4,69t8imcdaqlgfbds2p58596my,1,36.9,86.3,2023-02-28T19:45:43.585Z,2023-03-03T01:15:28Z,4064021827,140,15.6,4064021831,212,37.3,4067526251,178,,4064021835,1,,4064021825,56,Back,4064021829,141,42.4,4064021833,213,4.1,,,,74vpeqcguo2sb2qgpt3b6zq3t,E. Toal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740219,6,1,1,0,11,69t8imcdaqlgfbds2p58596my,0,16.8,46.1,2023-02-28T19:45:50.578Z,2023-03-03T01:17:31Z,4064021947,155,,4064021955,212,61.6,4064021951,140,72.0,4067527571,178,,4064021959,1,,4064021953,141,76.7,4064021949,56,Center,4064021957,213,0.3,1c4nu9s3t3p83pufjf3n3xqay,J. Trafford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740231,3,8,1,0,15,80jtkz2echk6yyyb9e2595cxr,1,28.1,20.6,2023-02-28T19:45:54.015Z,2023-03-03T01:17:41Z,4067527691,178,,4066941351,385,,4064022013,56,Back,4064022343,15,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513740233,4,5,1,0,17,80jtkz2echk6yyyb9e2595cxr,0,32.8,-1.2,2023-02-28T19:45:56.443Z,2023-03-03T01:17:52Z,4064022025,347,,4064022197,233,7,4064022023,56,Back,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
