id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2478674389,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-10-29T13:15:31.768Z,2022-10-29T13:48:12Z,3879419597,59,"1, 22, 21, 33, 3, 5, 6, 14, 9, 19, 11, 4, 7, 10, 20, 23, 28, 30",3879419601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3879419607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879419599,130,13,3879419605,197,2083,3879419603,194,5obqs1ezswoc3ns0c9k4qai8l,3879419593,30,"32sqctjujedqsab4xwy1pwlbd, 8bx76kurepj0yqe9iixa0zyp6, 9j8icoctjp1icwle91r62q76x, 9r28zj6fz3z8dzojktwambsut, 5obqs1ezswoc3ns0c9k4qai8l, 2hhatd33vvokrbemn4echivhl, 8uch2zjj8vxmfi2l544j5ipxx, 9qeg65oa5skmypxvt73vckfrp, 6evqqxq5e0y1uvigg6bss4frp, 9y8gvjzrsvgxkcfvq99mivdyi, 299g43uwcj4dblia1bihagmol, 1vfuzp09s9oj95ruav4ln9ch6, 3jitoqthsisleiprkhni7gycp, 2uids8ea8jv4r62psqj37x3e2, 7wgynxj11urhizi5r3girip2i, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui, 87t5bq8gb92jo9vdj3wfc6jxm",3879419595,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478674397,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-10-29T13:15:31.887Z,2022-10-29T13:17:10Z,3879419669,194,75c432elegprf4f6hn72icset,3879419671,197,4843,3879419663,59,"1, 22, 3, 6, 14, 2, 8, 28, 19, 36, 32, 4, 5, 7, 16, 20, 23, 30",3879419665,130,17,3879419673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879419661,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3879419667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3879419659,30,"dtl2jirk97xct4idsoj2vxbs9, 9em8141j1bdvykowhmoyeob85, eslpks0nl5y4vnn6xi13iuqqx, ab7t8dk9884hrwa88o41wq8dl, 552cgdv8qya776at130r2d0mi, 75c432elegprf4f6hn72icset, 61allnul4qlvl9s6wf0nehped, 75lptyj9mjvb2zyupi4fnnox5, 8e7i5qtbmz3ikj050mf4ef4h6, 8ceatyytb6gk5odzls21u2w2x, cjwflve6ukph4h2az1irm099l, 6n2iaeukutepfiee2nvfpvofe, af7cmpeqlk4lcxz3bxgzjh8lx, ea28jq8w3nc9koizvgffy5a7d, c0e79rr75bz36j1v4lr28aa96, 9fdbjgbp780ql3ugygbuhie3t, btlomqnhw2ft72iwg7xbaoh2i, 1nvaqc5633cmmgqu2bpvly5ex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720591,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2022-10-29T14:00:22.066Z,2022-10-31T19:49:06Z,3879661829,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720605,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-10-29T14:00:22.066Z,2022-10-29T14:00:36Z,3879661869,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720639,3,1,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,50.1,50.1,2022-10-29T14:00:22.127Z,2022-10-31T22:02:14Z,3879662083,212,8.1,3879662085,213,3.6,3879662079,140,43.1,3887292601,178,,3879662087,279,S,3879662077,56,Back,3879662081,141,45.1,,,,61allnul4qlvl9s6wf0nehped,L. Sercombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720671,4,1,1,0,1,fvr504m6gaxsfmtx4fwm7iq1,0,43.1,45.1,2022-10-29T14:00:23.628Z,2022-10-31T22:02:30Z,3879662197,157,,3879662201,140,77.3,3879662207,213,0.7,3879662203,141,90.9,3887292875,178,,3879662205,212,47.5,3879662209,1,,3879662199,56,Left,75c432elegprf4f6hn72icset,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720683,3,1,1,0,4,8w89tsles26jm12aoelwvlttt,0,29,26.7,2022-10-29T14:00:26.717Z,2022-10-31T22:02:38Z,3879662243,56,Back,3879662245,140,38.9,3879662249,212,10.4,3879662251,213,6.2,3879662247,141,25.3,3887292981,178,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720761,5,61,1,0,6,fvr504m6gaxsfmtx4fwm7iq1,0,67.9,90.9,2022-10-29T14:00:28.327Z,2022-10-31T22:03:03Z,3879662549,56,Left,3887293355,178,,,,,,,,,,,,,,,,,,,,8ceatyytb6gk5odzls21u2w2x,J. Olayinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720847,4,5,1,0,8,8w89tsles26jm12aoelwvlttt,1,36.6,-1.4,2022-10-29T14:00:30.485Z,2022-10-31T22:03:10Z,3879662893,56,Back,3879662897,347,,3879662977,233,6,,,,,,,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478720807,6,5,1,0,8,fvr504m6gaxsfmtx4fwm7iq1,0,63.4,101.4,2022-10-29T14:00:30.485Z,2022-10-31T22:03:11Z,3879662711,347,,3879662709,56,Left,3879663011,233,4,,,,,,,,,,,,,,,,8ceatyytb6gk5odzls21u2w2x,J. Olayinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
