id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,keyPass,qualifier/10/value,qualifier/18/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497180451,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-14T14:13:47.260Z,2023-01-14T14:22:02Z,3976859881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976859885,194,bwu80wn3lca4x2txuelku0a21,3976859879,130,8,3976859871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3976859873,59,"1, 12, 17, 8, 3, 6, 11, 4, 9, 38, 7, 10, 15, 16, 18, 21, 33, 34",3976859893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976859889,197,14317,3976859867,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, 85vh43wsin67z2dj0iod12fop, bwu80wn3lca4x2txuelku0a21, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, e2sj7bhk2s9du1bs1vza1b4k5, 8y3obwxpwckjfl7hkrrg97sgl, a64e8yqggr7fmtdlyr9v80yxh, 1la1hsnuheliwojwmcbxroy96, ddc712ebtmrrpvj4shekecus5, f2d0i9t2qeyppfqrdv6xzc3px, h4x8lz5ou8esdao80mvls9yi, e01znd47zh4hk0g8jx67wzl9m, 6kxph7ulzz58v8tm3aaomy1ka, 67j73dckmb73ntxo81hc840r9, 6kz7c7i4wzph7qlzi9nzt266t, akatb6qaa078a72zvl8gapoiy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497182321,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-01-14T14:15:44.931Z,2023-01-14T14:15:45Z,3976870105,194,75c432elegprf4f6hn72icset,3976870101,130,18,3976870095,30,"dtl2jirk97xct4idsoj2vxbs9, 9em8141j1bdvykowhmoyeob85, 4i81y9jhkouk3zmd03gjp1gx5, 6n2iaeukutepfiee2nvfpvofe, 552cgdv8qya776at130r2d0mi, 75c432elegprf4f6hn72icset, btlomqnhw2ft72iwg7xbaoh2i, 61allnul4qlvl9s6wf0nehped, cjwflve6ukph4h2az1irm099l, dgnkrsmri0xznduprfjwfro8a, 7617zihboc2wywyoyou6nhuqd, eslpks0nl5y4vnn6xi13iuqqx, ea28jq8w3nc9koizvgffy5a7d, 9fdbjgbp780ql3ugygbuhie3t, 5r7zhmb338nvjaawyyvbuh5yi, 75lptyj9mjvb2zyupi4fnnox5, 1nvaqc5633cmmgqu2bpvly5ex, 8ceatyytb6gk5odzls21u2w2x",3976870103,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976870109,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976870107,197,4843,3976870099,59,"1, 22, 15, 4, 14, 2, 23, 8, 32, 9, 10, 3, 7, 20, 26, 28, 30, 36",3976870097,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211621,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-01-14T15:00:10.053Z,2023-01-16T07:48:20Z,3977029613,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211627,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-14T15:00:10.053Z,2023-01-14T15:00:12Z,3977029637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211647,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,49.7,50.1,2023-01-14T15:00:10.071Z,2023-01-16T08:03:04Z,3977029747,212,20.8,3977029749,213,3.2,3977029741,56,Back,3977029743,140,29.9,3977029751,279,S,3981084777,178,,3977029745,141,48.2,,,,bwu80wn3lca4x2txuelku0a21,M. Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211735,4,1,1,0,3,3ptd7zlc5isrongig0wij2id4,1,25.7,49.4,2023-01-14T15:00:13.823Z,2023-01-16T08:03:09Z,3977030071,56,Back,3977030073,140,28.8,3977030075,141,83.8,3981084797,178,,3977030077,212,23.6,3977030079,213,1.4,,,,,,,ebsspe8jslej9a253w4xpf55h,C. Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211749,5,1,1,0,6,3ptd7zlc5isrongig0wij2id4,0,29.3,93.5,2023-01-14T15:00:16.837Z,2023-01-16T08:03:18Z,3977030177,141,91.2,3977030179,212,47.3,3977030183,1,,3977030181,213,6.3,3977030175,140,74.3,3977030171,155,,3977030173,56,Left,3981084847,178,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211783,3,1,1,0,8,fvr504m6gaxsfmtx4fwm7iq1,1,32.5,26,2023-01-14T15:00:18.869Z,2023-01-16T08:03:30Z,3977030313,56,Center,3977030311,3,,3977030321,213,0.5,3977030315,140,54.4,3981084899,388,,3977030319,212,26.6,3977030317,141,45.8,,,,552cgdv8qya776at130r2d0mi,C. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211797,4,49,1,0,10,fvr504m6gaxsfmtx4fwm7iq1,1,52.8,44.3,2023-01-14T15:00:20.662Z,2023-01-16T08:03:34Z,,,,,,,,,,,,,,,,,,,,,,,,,7617zihboc2wywyoyou6nhuqd,A. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211849,5,1,1,0,12,fvr504m6gaxsfmtx4fwm7iq1,1,49,51.1,2023-01-14T15:00:22.359Z,2023-01-16T08:03:39Z,3981084935,178,,3977030617,212,20.0,3977030621,213,2.9,3977030615,141,58.1,3977030613,140,30.5,3977030611,56,Back,,,,,,,7617zihboc2wywyoyou6nhuqd,A. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
