id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/11/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2477256765,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-10-25T18:01:12.472Z,2022-10-25T18:45:11Z,3871951917,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3871951923,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3871951933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3871951915,30,"8xyeap5blm4g6swv05g95aesq, dfpogkmamlohb4ta3q5ehecq1, 541yhibvfn0fv2izdfudm7651, f4l762ob8j0izfocnmofytcyd, cn988bjn09tb806b05wgp7ys5, f1g68yocf85lxkf17pt2j7v85, 2iy84h1v8wt8l6prv701uohk9, 610hp1px6mp6lbyube9b0swrt, 33h8s55zcj0j535g2dyz9tnqi, 6d9maq3oecwobp2t2220vf4r9, 6m5uypsr6dj6l74khrez38355, 89wk8a6aqw64nub8dgdj7zjl5, 41cihaqh4lxje5nx17g0rbgt1, a2xw5hx9t0bt2cd91r8wmli39, eswokn90i34kdbfvax0y7365l, c23tcl4dl40wu4i8vntbv0tm1, 307tfvtl56s1rf61x8kjevjzd, asy3qn4557iy3r55yl4v9xj9x",3871951921,130,2,3871951925,194,f1g68yocf85lxkf17pt2j7v85,3871951919,59,"1, 2, 6, 8, 20, 4, 18, 25, 19, 9, 11, 3, 10, 13, 15, 21, 27, 28",3871951929,197,16220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477256769,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-10-25T18:01:18.414Z,2022-10-25T18:43:42Z,3871952025,197,16222,3871952021,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3871952015,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3871952019,130,4,3871952023,194,bsrhtxhpnlxho2o4zvli5qmeh,3871952013,30,"3oyhjrd1ohnwf1x3d65997xzp, 50c2v0l2cmkh82vso5tnjv3yt, 987r1vdgx95x30elzrisjrzs9, 3jzhwh7lq7xzcz7clm28h0mvp, bsrhtxhpnlxho2o4zvli5qmeh, cqfbp8me2n00cve66v797omvp, dq21r0ge09ug4d2crb9j6q6dx, 50flg4aoq4l0glnh61yzngc7p, 3cy13tw0tdconbwzlwteg6xas, 33ci88veciqvd4w5y145dyooa, 8g19rw3eni5p8jt5v1j9skwdl, 8lcnj37j5nswqsqzud3t1a6l1, 9pd78l4lxwbbfnjmwvhu618tl, 8olbkp9lqy3em5s9h7a4aod4a, exrh01dw52b651aet2am7v015, uluqgj69z6yunsl8m505lyi, cz30ywnq6p6dig7x3hu6h7cnp, c48yjuxzle51y3k7kr1fcyk4q",3871952027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3871952017,59,"13, 2, 16, 8, 5, 4, 7, 18, 39, 22, 11, 6, 12, 14, 21, 27, 33, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265521,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-10-25T18:45:47.250Z,2022-10-25T18:45:50Z,3871998677,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265511,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-10-25T18:45:47.250Z,2022-10-27T04:44:29Z,3871998641,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265563,3,1,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,50.2,49.9,2022-10-25T18:45:47.349Z,2022-10-27T08:02:14Z,3871998879,213,3.5,3871998875,141,42.5,3871998871,56,Back,3874749303,178,,3871998881,279,S,3871998877,212,15.3,3871998873,140,36.4,,,,33h8s55zcj0j535g2dyz9tnqi,D. Scarlett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265609,4,1,1,0,2,80jtkz2echk6yyyb9e2595cxr,0,36.4,42.5,2022-10-25T18:45:49.882Z,2022-10-27T08:02:17Z,3871999071,56,Right,3871999075,141,0.0,3871999079,213,5.7,3871999081,1,,3871999073,140,80.0,3871999069,155,,3874749369,178,,3871999077,212,54.8,f1g68yocf85lxkf17pt2j7v85,C. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265823,3,5,1,0,7,ahm0t06rup1bkd9z0mxl2lmph,1,17.2,101.8,2022-10-25T18:45:54.891Z,2022-10-27T08:02:26Z,3872000043,233,5,3872000041,347,,3872000039,56,Back,,,,,,,,,,,,,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265611,5,5,1,0,7,80jtkz2echk6yyyb9e2595cxr,0,82.8,-1.8,2022-10-25T18:45:54.891Z,2022-10-27T08:02:26Z,3871999083,56,Right,3871999085,347,,3872000059,233,3,,,,,,,,,,,,,,,,f1g68yocf85lxkf17pt2j7v85,C. Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265889,4,1,1,0,21,ahm0t06rup1bkd9z0mxl2lmph,0,19.4,100,2022-10-25T18:46:09.217Z,2022-10-27T08:13:44Z,3872000359,1,,3872000355,212,51.6,3872000351,140,68.3,3872000349,56,Left,3872000345,107,,3872000353,141,94.8,3872000357,213,6.2,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477804435,722,67,1,0,25,ahm0t06rup1bkd9z0mxl2lmph,1,63.7,96.6,2022-10-25T18:46:13.047Z,2022-10-27T09:07:56Z,3874795557,233,979,,,,,,,,,,,,,,,,,,,,,,33ci88veciqvd4w5y145dyooa,K. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
