id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2520195907,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-14T19:00:32.981Z,2023-03-14T19:00:33Z,4098206951,194,cn988bjn09tb806b05wgp7ys5,4098206947,130,8,4098206955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4098206953,197,16276,4098206941,30,"21hyrpedxxu2ilkspxq4uril1, 9ovnysf6fd2ophwdyfznztsk5, 541yhibvfn0fv2izdfudm7651, 3zmb22ct3lkf04kbpuxr22hud, cn988bjn09tb806b05wgp7ys5, 9kacd96xriqrc23e0a8vzov3e, a70y8ayeh05hzo5yc8gotsbh0, dlfoufhh8dc14s10vnbjrfvmd, 6d9maq3oecwobp2t2220vf4r9, 41cihaqh4lxje5nx17g0rbgt1, 2iy84h1v8wt8l6prv701uohk9, f4l762ob8j0izfocnmofytcyd, eswokn90i34kdbfvax0y7365l, 33h8s55zcj0j535g2dyz9tnqi, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l, 610qf6vm0fsq97hvdcpj4ka95, 5ykgwunfc9pg5iq8h5cihg3xl",4098206943,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4098206945,59,"1, 17, 6, 23, 20, 34, 29, 16, 9, 10, 18, 8, 15, 19, 21, 24, 26, 28",4098206949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520195909,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-03-14T19:00:33.934Z,2023-03-14T19:00:34Z,4098206961,59,"1, 2, 11, 15, 34, 16, 22, 28, 8, 7, 20, 9, 12, 17, 18, 19, 40, 50",4098206965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4098206963,130,18,4098206959,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4098206969,197,16212,4098206971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4098206957,30,"3wew9tjsjrsoyioiuzd7ve356, 2asjeedy6igcuixqktdmk5k2x, dzitwscdk6ogkf6bstbrik53p, 4eyngv286u5zbtppuih1g67s9, 74x5iaolqfr7r3on2uuriooyy, a2g77lv071rnz76ujh30364tl, a5cmnj0nhdbux68291ipqcei2, ex0gkrnzj98vrwpk9tpcfw91x, 8i4qnoil4877e0wpwx3fj5b10, 7uhajc3suc68vemamuc3dyvp, f4ef7in4fxoylsy29anhgqep5, a634junjbgfa84200m3khvw0l, djjkjjtiuwnbaau5lv6iqkwr9, 1vigb3e3dsxufbtvt4ed48e09, 4m5w23fmydm3or1ff42hgeqne, 46ums24te70jl5qclztg8xhwp, 1aq6osi0b0c580dlu9ugnjaei, ag8f1ksvfel1a0y49d0iypuui",4098206967,194,ex0gkrnzj98vrwpk9tpcfw91x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520201791,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-14T19:45:15.716Z,2023-03-14T19:45:15Z,4098239847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520201799,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-03-14T19:45:15.716Z,2023-03-16T04:31:43Z,4098239877,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520201803,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,50.2,49.6,2023-03-14T19:45:15.750Z,2023-03-16T20:40:57Z,4098239889,140,58.6,4098239891,141,22.4,4098239893,212,20.5,4098239895,213,5.2,4098239887,56,Center,4098240829,210,13,4098239897,279,S,4100377953,178,,ex0gkrnzj98vrwpk9tpcfw91x,S. Conneely,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520201835,3,45,1,0,5,80jtkz2echk6yyyb9e2595cxr,0,33.1,77.6,2023-03-14T19:45:20.759Z,2023-03-16T06:41:43Z,4098240071,285,,4098240203,233,4,4098240069,56,Back,,,,,,,,,,,,,,,,dlfoufhh8dc14s10vnbjrfvmd,J. Morrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520201855,4,3,1,0,5,5qwskbjpa17fvmtuu5qijy7cz,1,66.9,22.4,2023-03-14T19:45:20.759Z,2023-03-16T06:41:43Z,4098240169,286,,4098240199,233,3,4098240167,56,Center,4099438349,464,,4100378637,178,,,,,,,,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520610079,760,43,1,0,5,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-14T19:45:21.584Z,2023-03-16T06:32:34Z,4100397323,399,19250,4100397593,144,83,,,,,,,,,,,,,,,,,,,3zmb22ct3lkf04kbpuxr22hud,L. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520610137,764,83,1,0,5,80jtkz2echk6yyyb9e2595cxr,1,34.2,72.1,2023-03-14T19:45:21.584Z,2023-03-16T06:33:19Z,4100397767,399,19250,,,,,,,,,,,,,,,,,,,,,,dlfoufhh8dc14s10vnbjrfvmd,J. Morrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520201859,5,13,1,0,7,5qwskbjpa17fvmtuu5qijy7cz,1,69.8,29.9,2023-03-14T19:45:23.208Z,2023-03-16T20:40:57Z,4098240833,77,,4098240835,29,,4098240839,102,64.9,4098240847,231,47.8,4098240175,22,,4098240179,56,Center,4100378711,178,,4098240177,18,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,4098240849,55,3,4098240437,20,4098240841,103,68.1,4098240843,215,4098240845,230,98.2,,,,,,,,,,,,,,,,,,,,,,,,,
