id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/11/value,qualifier/16/value,assist,qualifier/17/value
2529663377,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-04-07T13:15:32.486Z,2023-04-07T13:58:06Z,4169320103,197,16170,4169186547,59,"1, 2, 7, 5, 6, 12, 30, 8, 44, 9, 48, 3, 10, 16, 26, 31, 40, 47",4169186553,194,49ca952ot1c3ytut2s281ds6h,4169186543,30,"eirc5i9gcpe0ap6gntxoomcix, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, 1iy0goeaf5btyw09tr2ywbe8l, 32crcj18u4qnf8f07fbsopvpx, 1r9aj50371x6f0xf7mmvldz9x, canpue729cozt0cw6a1dpi7ai, 9gfxdw176mc8yn7dowedmvtgp, 4nph9aqyr2kz1gmdh7v9n3w89, 7fwprbpdcdb7qcgaoe2humwo9, i1bzoqwi1u382l4yx3n864x6, ddjh4t18kk75bz9sgga2g2f3d, c3nbdw1440h1uwwmixrjxwclx, acvgu9prqaeucmvi9fx070i22",4169186555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4169186545,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4169186549,130,12,4169186551,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529663407,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-07T13:15:36.303Z,2023-04-07T14:32:05Z,4169186709,130,4,4169186705,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4169186713,194,8nudzikxeestbjz4yww8r13v9,4169319637,197,16446,4169186715,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4169186707,59,"34, 2, 44, 7, 5, 16, 4, 17, 8, 10, 21, 11, 14, 15, 18, 24, 25, 36",4169186711,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4169186703,30,"biwjsmk8ytz2k4d9f141jw15h, 8nudzikxeestbjz4yww8r13v9, dkzos23k1n5ufrdg886p2dxt6, 8wnv741y7ghjolf8g5c7psru1, 2di9tk08yuqcb4wn9dvmwh97t, 102xw59l2wg2jsd03w6vkgine, 5n4yyffs5f8b7exry819c4xxx, h4g0ji8lk43f7zcpl79henai, 4eg87cdkpgishec2gc9stm8oa, 1uqgky0sxqjs8bqd2h75rnmjt, enwfqkgv2m6hfwwjmbvfx9m1h, 5djouum2kdazpcjf79gbk2ju1, 8fx84vh2k1x9c0dn66tivtzop, bkx6hb7gcdmw1v43o6tmgraad, byem8e04h7nlgk9ythcswoley, bbmhqdyxk4tx05jrnv9m64rje, a6w8k42asmtixpi0orgxh7aj8, 2cchpb5ta326qtjrb9zpeerro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689217,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-07T14:00:27.888Z,2023-04-09T16:08:50Z,4169327337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689233,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-04-07T14:00:27.888Z,2023-04-07T14:00:31Z,4169327363,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689277,3,1,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,50,49.9,2023-04-07T14:00:27.943Z,2023-04-09T17:40:44Z,4169327593,213,2.7,4177433609,178,,4169327589,141,58.8,4169327587,140,37.2,4169327585,56,Back,4169327591,212,14.7,4169327595,279,S,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689371,4,1,1,0,2,9db4t34qy4owglhvvgwf5l22i,0,27.8,52.5,2023-04-07T14:00:30.076Z,2023-04-09T17:40:48Z,4169327999,140,65.1,4169328009,213,5.8,4169328003,141,21.5,4169327991,155,,4177433749,178,,4169327995,56,Center,4169328005,212,44.5,4169328011,1,,canpue729cozt0cw6a1dpi7ai,L. Connell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689361,3,44,1,0,5,8mbtyq0has0uu0565fm9t5cdo,1,35.8,76.6,2023-04-07T14:00:33.204Z,2023-04-09T18:37:00Z,4169327963,56,Back,4169328205,233,5,4169327965,285,,,,,,,,,,,,,,,,,h4g0ji8lk43f7zcpl79henai,M. Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689387,5,44,1,0,5,9db4t34qy4owglhvvgwf5l22i,0,64.2,23.4,2023-04-07T14:00:33.205Z,2023-04-09T17:40:51Z,4169328097,286,,4169328247,233,3,4169328095,56,Center,,,,,,,,,,,,,,,,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689377,4,1,1,0,5,8mbtyq0has0uu0565fm9t5cdo,0,36.7,74.2,2023-04-07T14:00:33.273Z,2023-04-09T18:37:01Z,4169328039,3,,4169328041,56,Back,4169328045,141,73.6,4169328043,140,39.0,4177434447,388,,4169328047,212,2.4,4169328049,213,6.1,,,,h4g0ji8lk43f7zcpl79henai,M. Helm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529689411,6,61,1,0,5,9db4t34qy4owglhvvgwf5l22i,1,65.8,19.4,2023-04-07T14:00:33.409Z,2023-04-09T17:41:11Z,4169328217,56,Right,4177434939,21,,4177434941,388,,,,,,,,,,,,,,,,,4nm1tx8buxym4bf9f2pti2fhl,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
