id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/15/value,assist,qualifier/16/value
2537019611,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-04-22T13:15:00.823Z,2023-04-22T13:33:43Z,4208265217,130,18,4208265219,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4208265213,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4208265223,197,16162,4208265215,59,"25, 2, 18, 3, 44, 6, 4, 10, 13, 24, 9, 8, 17, 19, 20, 22, 31, 34",4208265211,30,"4c56c2zanbiv8q28f54i5rp3p, cyrr9517kjkt2l5tuqe966zth, 3fjobcho19bkofw9h042i2v9x, 9r7ngbyjgfukassxtl07wnn55, 77yt60bz6k3rqv316v9qxxyad, 4mg6kr1jernr98unfp5p8shqt, 2gf1wld07zyiuvq7iikfrvoid, ekbsso6hq913ss7jerbusyled, btey8i9vnkak8ww7diqnb8lat, 1szy525fae134zxfbt7vyw991, 583ujnml31x2cnl6jxwnbs2xh, 8lvhd97efhjcg03fj1num1bzd, 7f87a26gzayk0bfzbm42huuw9, 94opm6ljk3l7yqa2rzwq2gw6h, e2b2wcox0ibhasr4zf5nphdqt, 2nm6gmvnf6bmqpgd286p3yeqc, 24g3kj5853y2af5ncqhwlfbp, 8uim3cmpszuttgz292hnfcf3e",4208265225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208265221,194,ekbsso6hq913ss7jerbusyled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537020057,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-04-22T13:15:25.247Z,2023-04-22T13:15:25Z,4208267777,130,19,4208267785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208267781,194,35f2se8cf2zmpxl45zulorpat,4208267783,197,16181,4208267779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4208267773,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4208267775,59,"18, 2, 3, 14, 26, 5, 16, 15, 12, 21, 8, 6, 11, 19, 27, 33, 41",4208267771,30,"3swij7ntrn9x9voc9clilgmvp, 7qnu4sb2a2vj7nw8gkvv1pxw5, c1hj1hth3xj2f0ax3x6fdwj8q, 35f2se8cf2zmpxl45zulorpat, 4qg1mpymeaajx8gu7jycw5wph, eg2xijdgtcaa44x57pjezy3ft, enfxh6b65c9hx1rs0scszi2y2, 2nvu4o5lbowvig5ddb4563n8q, 56zd7s72x7izgeiybmmgc8acq, 5w3e46d2oh5wzrizfi9rdgwoa, 3j78tgfptah530cydckvfsauh, ev42016zwnwiow3lbefukrbvt, awx668jrec0gnqk5gyg7o0oyy, 3lapm496pz9bbe7mgeezqncpg, f4p7kokn0a6epac4icy01l9lh, 8hiqkrsoskyhhoc0n0wp7lql1, rnifkb7ou8pu2k7ixdhzrtp0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057541,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-04-22T14:01:36Z,2023-04-25T10:08:42Z,4208457025,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057637,3,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-04-22T14:01:36Z,2023-04-22T14:01:58Z,4208457485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057571,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,50.1,50.3,2023-04-22T14:01:36.011Z,2023-04-25T10:22:38Z,4208457175,140,42.2,4208457173,56,Back,4208457179,212,8.6,4219110597,178,,4208457177,141,53.6,4208457181,213,2.9,,,,,,,2gf1wld07zyiuvq7iikfrvoid,W. Vaulks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057019,2,43,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-04-22T14:01:36.221Z,2023-04-22T14:01:56Z,4208454645,127,Right to Left,4208457135,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057719,4,1,1,0,1,1musyruv2ufjrjnj6gvdbr8kt,1,41.7,57.9,2023-04-22T14:01:37.699Z,2023-04-25T10:22:43Z,4208457887,213,1.2,4208457879,56,Left,4219110767,178,,4208457883,141,92.9,4208457881,140,50.0,4208457885,212,25.3,,,,,,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057743,5,1,1,0,8,1musyruv2ufjrjnj6gvdbr8kt,1,57.7,91.7,2023-04-22T14:01:44.276Z,2023-04-25T10:23:23Z,4208457991,213,0.1,4208457987,141,92.7,4219112881,178,,4208457983,56,Left,4208457989,212,10.6,4208457985,140,67.8,,,,,,,3fjobcho19bkofw9h042i2v9x,M. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057787,6,1,1,0,10,1musyruv2ufjrjnj6gvdbr8kt,1,67.8,92.7,2023-04-22T14:01:46.400Z,2023-04-25T10:23:29Z,4208458177,56,Left,4208458181,141,95.1,4208458183,212,10.4,4208458179,140,58.0,4219113245,178,,4208458187,213,3.0,,,,,,,2gf1wld07zyiuvq7iikfrvoid,W. Vaulks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057913,7,1,1,0,12,1musyruv2ufjrjnj6gvdbr8kt,1,66.7,96.2,2023-04-22T14:01:48.202Z,2023-04-25T10:24:58Z,4208458793,141,96.0,4208458791,140,52.8,4208458795,212,14.6,4208458797,213,3.2,4208458785,56,Left,4219116251,178,,,,,,,,3fjobcho19bkofw9h042i2v9x,M. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
