id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,keyPass,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2501309139,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-01-28T14:15:42.525Z,2023-01-28T14:15:42Z,3998543783,30,"4s848k6xkf7jqp11jkoit2a51, 93hm64q02lz37wj7xzbkv1m1h, 2k02tiy3x2a7o11h0kxw33fmd, 4y9ghbncgfgpv4qd604g8jw15, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, kxfjnow9ky2mxefjujv392ol, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, 37ea7qzvbzt3zr4y2q4o5boq, 6ictgtdi9ogl7n8dqh4dm1fxl, 9ofz3mgz4077lbkuba1l3kru1, azp9bk80ozwjy2xx7tvqot5gp, czsjz7u9u01z5a4pyue7tu5wq, 3e79d5436l57bfj3ywbjvfr6y, 1zpxu396rz1b3gymuheg69h3p, 1ur2h01o6jgewwzydb2caggoa, 45i2fz3wya2x8gsa1hn8yd65m",3998543789,130,8,3998543793,194,dxndu5lwom3srja7xhiadmdw5,3998543785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3998543791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3998543795,197,16178,3998543797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998543787,59,"1, 12, 3, 8, 6, 4, 23, 22, 9, 11, 10, 15, 5, 16, 17, 24, 26, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501309181,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-01-28T14:15:45.793Z,2023-01-28T14:15:45Z,3998544045,197,16888,3998544039,130,4,3998544035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3998544043,194,dypefa5ubw9m9xefxdd4365lh,3998544037,59,"1, 2, 6, 7, 20, 34, 8, 23, 9, 15, 19, 3, 10, 13, 18, 21, 24, 30",3998544041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3998544033,30,"21hyrpedxxu2ilkspxq4uril1, dfpogkmamlohb4ta3q5ehecq1, 541yhibvfn0fv2izdfudm7651, dypefa5ubw9m9xefxdd4365lh, cn988bjn09tb806b05wgp7ys5, 9kacd96xriqrc23e0a8vzov3e, f4l762ob8j0izfocnmofytcyd, 3zmb22ct3lkf04kbpuxr22hud, 6d9maq3oecwobp2t2220vf4r9, eswokn90i34kdbfvax0y7365l, 33h8s55zcj0j535g2dyz9tnqi, 89wk8a6aqw64nub8dgdj7zjl5, 41cihaqh4lxje5nx17g0rbgt1, a2xw5hx9t0bt2cd91r8wmli39, 2iy84h1v8wt8l6prv701uohk9, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l, 76km71q8svbyjoosxxgyfli50",3998544047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351465,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-01-28T15:01:34.747Z,2023-01-30T19:52:24Z,3998758555,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351453,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-01-28T15:01:34.747Z,2023-01-28T15:01:34Z,3998758503,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351551,3,1,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,50.1,49.6,2023-01-28T15:01:34.784Z,2023-01-31T09:04:49Z,3998758943,212,16.1,3998758937,140,34.9,3998758933,56,Back,3998758947,279,S,3998758945,213,3.0,3998758939,141,52.7,4005137099,178,,,,,f4l762ob8j0izfocnmofytcyd,R. Tunnicliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351675,4,1,1,0,2,80jtkz2echk6yyyb9e2595cxr,1,42.3,49.1,2023-01-28T15:01:37.654Z,2023-01-31T09:04:51Z,3998759409,141,72.6,3998759405,56,Back,3998759413,213,1.9,3998759407,140,37.3,4005137173,178,,3998759411,212,16.8,,,,,,,dypefa5ubw9m9xefxdd4365lh,M. Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351785,5,1,1,0,6,80jtkz2echk6yyyb9e2595cxr,0,35.1,82.3,2023-01-28T15:01:41.002Z,2023-01-31T09:04:54Z,3998759885,157,,3998759895,141,67.2,3998759901,212,62.5,3998759891,140,93.8,4005137265,178,,3998759909,1,,3998759887,56,Center,3998759905,213,6.1,9kacd96xriqrc23e0a8vzov3e,R. Towler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351841,3,52,1,0,11,5jjqm8h6qm1w4s5f93uubhdrj,1,3.5,32.5,2023-01-28T15:01:46.527Z,2023-01-31T09:05:03Z,4005137405,178,,4004342733,377,,,,,,,,,,,,,,,,,,,,4s848k6xkf7jqp11jkoit2a51,W. Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352007,4,1,1,0,15,5jjqm8h6qm1w4s5f93uubhdrj,1,10.9,46.4,2023-01-28T15:01:50.376Z,2023-01-31T09:05:07Z,3998760807,212,8.7,3998760801,56,Back,3998760803,140,13.1,3998760799,123,,3998760805,141,58.7,4005137431,178,,3998760809,213,1.3,,,,4s848k6xkf7jqp11jkoit2a51,W. Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501352073,5,1,1,0,17,5jjqm8h6qm1w4s5f93uubhdrj,1,13.2,67,2023-01-28T15:01:52.470Z,2023-01-31T09:05:11Z,3998761117,213,1.1,3998761111,140,20.9,3998761113,141,87.8,3998761109,56,Back,3998761115,212,16.3,4005137503,178,,,,,,,,em0i6q0h6q80melaxwx2nvz3e,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
