id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2492066771,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-17T14:15:12.519Z,2022-12-17T14:48:12Z,3949871309,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3949871315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949871317,194,2hhatd33vvokrbemn4echivhl,3949871321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949871311,59,"1, 2, 21, 33, 5, 4, 6, 14, 10, 11, 16, 8, 9, 19, 22, 23, 28, 30",3949871307,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 9j8icoctjp1icwle91r62q76x, 9r28zj6fz3z8dzojktwambsut, 2hhatd33vvokrbemn4echivhl, 1vfuzp09s9oj95ruav4ln9ch6, 8uch2zjj8vxmfi2l544j5ipxx, 9qeg65oa5skmypxvt73vckfrp, 2uids8ea8jv4r62psqj37x3e2, 299g43uwcj4dblia1bihagmol, 9mgcugydtvdr5wk7qii9wpd2i, 5v9byi3v430ysdqb058eww3c9, 6evqqxq5e0y1uvigg6bss4frp, 9y8gvjzrsvgxkcfvq99mivdyi, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui, 87t5bq8gb92jo9vdj3wfc6jxm",3949871313,130,13,3949871319,197,12150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492066985,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-12-17T14:15:53.323Z,2022-12-17T15:25:17Z,3949872583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949872575,130,17,3949872573,59,"1, 15, 3, 6, 4, 28, 25, 7, 9, 18, 27, 10, 11, 16, 19, 20, 21, 24",3949872569,30,"8xyeap5blm4g6swv05g95aesq, eswokn90i34kdbfvax0y7365l, 89wk8a6aqw64nub8dgdj7zjl5, 541yhibvfn0fv2izdfudm7651, f1g68yocf85lxkf17pt2j7v85, asy3qn4557iy3r55yl4v9xj9x, 610hp1px6mp6lbyube9b0swrt, dypefa5ubw9m9xefxdd4365lh, 6d9maq3oecwobp2t2220vf4r9, 2iy84h1v8wt8l6prv701uohk9, 307tfvtl56s1rf61x8kjevjzd, 41cihaqh4lxje5nx17g0rbgt1, 6m5uypsr6dj6l74khrez38355, dlfoufhh8dc14s10vnbjrfvmd, 33h8s55zcj0j535g2dyz9tnqi, cn988bjn09tb806b05wgp7ys5, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l",3949872581,197,16220,3949872577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949872571,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3949872579,194,f1g68yocf85lxkf17pt2j7v85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074857,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2022-12-17T15:01:20.846Z,2022-12-20T03:20:04Z,3949916143,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074871,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-12-17T15:01:20.846Z,2022-12-17T15:01:21Z,3949916219,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074899,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,49.9,50.1,2022-12-17T15:01:20.897Z,2022-12-20T04:57:36Z,3949916313,213,3.3,3949916305,56,Back,3949916315,279,S,3952041147,178,,3949916307,140,28.3,3949916311,212,22.8,3949916309,141,46.3,3951771249,189,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074955,4,1,1,0,3,8w89tsles26jm12aoelwvlttt,0,28.6,45.4,2022-12-17T15:01:23.881Z,2022-12-20T04:57:43Z,3949916637,212,53.2,3949916623,155,,3949916631,140,69.7,3949916639,213,0.6,3949916635,141,91.1,3949916641,1,,3949916627,56,Left,3952041185,178,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074957,3,44,1,0,6,80jtkz2echk6yyyb9e2595cxr,1,24.6,7.8,2022-12-17T15:01:26.940Z,2022-12-20T06:15:45Z,3949916645,56,Back,3949916733,233,5,3949916647,285,,,,,,,,,,,,,,,,,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074961,5,44,1,0,6,8w89tsles26jm12aoelwvlttt,0,75.4,92.2,2022-12-17T15:01:26.941Z,2022-12-20T04:57:47Z,3949916653,286,,3949916739,233,3,3949916651,56,Left,,,,,,,,,,,,,,,,9j8icoctjp1icwle91r62q76x,D. Harvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074969,4,12,1,0,6,80jtkz2echk6yyyb9e2595cxr,1,18.8,6.8,2022-12-17T15:01:26.990Z,2022-12-20T06:15:46Z,3952041245,388,,3949916701,212,6.3,3949916699,141,0.0,3949916697,140,20.7,3951771961,167,,3949916703,213,5.0,3951771959,15,,3949916695,56,Back,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074975,5,5,1,0,6,80jtkz2echk6yyyb9e2595cxr,0,22.8,-2,2022-12-17T15:01:27.727Z,2022-12-20T04:57:54Z,3949916717,56,Back,3949916863,233,6,3949916719,347,,,,,,,,,,,,,,,,,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
