id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/19/value,assist
2500325543,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-01-24T18:59:59.567Z,2023-01-24T19:59:08Z,3993464973,30,"1etperk4v88ohoddjdb5dj2l1, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 5yfb390wjjfdjhdf0jzaf1kgl, 6xjftfuwhkbs39xfc3phdbyl1, a2gluxzt6a3z5xwgu2q482rqh, aclrl318d420oqe1fjgl1m3xm, agvyoqarq5zhflge7bm1hn36d, 1yzyn48jb8yd8bc0xywrhg0r9, 1788amerrk9fg3f9qddyxz8x5, 4m9vn1q30f1c8ksiyxtei63ft, 41lv87i23sxmdyrs4xxh96m3u, 89agv6797txmlw6m4nyhhsa2, 71pv32h5sxhopm6aetxjm50ph, 5n4s7vdp0dx0ndkph7oyg7v1l, bybpo6v76mntngcl9xwpil7u1, ef2y32lrxfsagikwuhjrovy3u, 4y3hm9ljv62c5jswanl0gk5",3993464983,194,6xjftfuwhkbs39xfc3phdbyl1,3993464979,130,17,3993464977,59,"25, 7, 11, 3, 6, 2, 8, 14, 19, 33, 26, 1, 5, 13, 15, 17, 21, 23",3993464987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993464985,197,4680,3993464975,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3993464981,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500325559,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-24T19:00:01.804Z,2023-01-24T19:59:07Z,3993465049,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3993465059,197,13091,3993465047,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, h4x8lz5ou8esdao80mvls9yi, bwu80wn3lca4x2txuelku0a21, 6kz7c7i4wzph7qlzi9nzt266t, ebsspe8jslej9a253w4xpf55h, e2sj7bhk2s9du1bs1vza1b4k5, 8y3obwxpwckjfl7hkrrg97sgl, f2d0i9t2qeyppfqrdv6xzc3px, 1la1hsnuheliwojwmcbxroy96, ddc712ebtmrrpvj4shekecus5, 13squddw07mvcu7mo6xk5mjqi, a64e8yqggr7fmtdlyr9v80yxh, e01znd47zh4hk0g8jx67wzl9m, 6kxph7ulzz58v8tm3aaomy1ka, edro98mz0sqrfjed1o4bvl7md, 67j73dckmb73ntxo81hc840r9, akatb6qaa078a72zvl8gapoiy",3993465057,194,6kz7c7i4wzph7qlzi9nzt266t,3993465051,59,"1, 12, 15, 8, 33, 3, 11, 4, 10, 38, 7, 22, 9, 16, 18, 19, 21, 34",3993465055,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3993465053,130,8,3993465061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344269,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-24T19:46:43.794Z,2023-01-24T19:46:43Z,3993554715,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344277,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-01-24T19:46:43.794Z,2023-01-26T05:00:23Z,3993554749,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344333,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,50,50,2023-01-24T19:46:43.854Z,2023-01-26T12:25:43Z,3993554947,279,S,3993554931,140,28.5,3995590395,178,,3993554935,141,60.0,3993554943,213,2.8,3993554925,56,Back,3993554939,212,23.6,,,,bwu80wn3lca4x2txuelku0a21,M. Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344383,4,1,1,0,3,3ptd7zlc5isrongig0wij2id4,0,27.5,62.9,2023-01-24T19:46:47.300Z,2023-01-26T12:25:48Z,3993555145,155,,3993555155,212,47.9,3993555151,141,100.0,3995590435,178,,3993555149,140,65.5,3993555159,1,,3993555147,56,Left,3993555157,213,0.6,6kz7c7i4wzph7qlzi9nzt266t,C. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344601,3,5,1,0,7,ejm092fnt9zoxbpuklzd52ji8,1,34.2,-2,2023-01-24T19:46:51.788Z,2023-01-26T12:25:50Z,3993556091,233,5,3993556079,347,,3993556077,56,Back,,,,,,,,,,,,,,,,6xjftfuwhkbs39xfc3phdbyl1,N. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344387,5,5,1,0,7,3ptd7zlc5isrongig0wij2id4,0,65.8,102,2023-01-24T19:46:51.788Z,2023-01-26T12:25:51Z,3993556095,233,3,3993555163,347,,3993555161,56,Left,,,,,,,,,,,,,,,,6kz7c7i4wzph7qlzi9nzt266t,C. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344637,4,1,1,0,22,ejm092fnt9zoxbpuklzd52ji8,0,34.3,0,2023-01-24T19:47:06.689Z,2023-01-26T12:25:53Z,3993556261,107,,3993556265,140,55.9,3993556271,213,0.1,3993556269,212,22.9,3993556267,141,2.3,3993556273,1,,3993556263,56,Right,,,,a2gluxzt6a3z5xwgu2q482rqh,L. Cass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500344903,7,1,1,0,24,ejm092fnt9zoxbpuklzd52ji8,1,58.2,2.5,2023-01-24T19:47:08.532Z,2023-01-26T12:26:00Z,3993557549,3,,3993557559,212,8.6,3993557557,141,2.8,3993557555,140,66.4,3993557551,168,,3995590517,388,,3993557561,213,0.0,3993557553,56,Right,6ln898p7stih8l7ikzloet0b9,D. Worrall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
