id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2518277633,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-03-11T14:15:00.227Z,2023-03-11T15:09:42Z,4088023021,130,7,4088023015,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, 2eu3cz65piv0j91gi396p9ega, 71or1ne6d9zuo038qdt6vcvoq, b5j2ib54sum2pmzthjmfmr55h, 6tqiy5a5cfpfm90j8r5udl8bu, 3je74tc5emuou6ckwdbscsbu, f1rmwe24zg4697bqpc3z0y40l, e8whj7tdfmuk66shr30htmhud, dw7bhxe9mbg94udlycw98gpgp, 3tlocewlh3mb53wd0hk8nucbt, 7x07t0u885bkq5uf6228f57md, 90ljpsmc6jf9657bs8cwkavl6, 74p53a79q1tlis3a3gladqor9, emuuuhvah1jtq2fqs9ybfovvu, 74fouzsgp25muot2pp6as5otl, 937mkgz0gstvxyjiwfe9xiuzu, 1d4f90y6wm6i63g8sqeu4sqqy",4088023023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088023025,194,f1rmwe24zg4697bqpc3z0y40l,4088023029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088023027,197,4826,4088023019,59,"13, 26, 32, 16, 22, 4, 7, 8, 14, 27, 23, 1, 5, 9, 18, 24, 28, 39",4088023017,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518277673,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-11T14:15:01.531Z,2023-03-11T14:57:52Z,4088023227,30,"41lv87i23sxmdyrs4xxh96m3u, 6ln898p7stih8l7ikzloet0b9, 8nzkkwhmox9lgbmwomq1rruju, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, 5n4s7vdp0dx0ndkph7oyg7v1l, agvyoqarq5zhflge7bm1hn36d, a1muz32ocg2650ll5kjc02u39, bojsqjfaoi810xuyz0qeqs0r9, 5lngv6xyqc7xanqv8ytifc3px, 4y3hm9ljv62c5jswanl0gk5, 5ozfcga88glwzazkg65ahwa8l, 71pv32h5sxhopm6aetxjm50ph, bybpo6v76mntngcl9xwpil7u1, 8tjvmh45ea9wy42siytdtkmzu, 1etperk4v88ohoddjdb5dj2l1, 4m9vn1q30f1c8ksiyxtei63ft, 1788amerrk9fg3f9qddyxz8x5",4088023243,130,12,4088023247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088023237,59,"1, 7, 27, 5, 6, 15, 14, 10, 22, 20, 23, 11, 13, 17, 24, 25, 26, 33",4088023251,197,4680,4088023253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088023249,194,a1muz32ocg2650ll5kjc02u39,4088023231,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321075,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-03-11T15:00:15.171Z,2023-03-13T22:00:39Z,4088247835,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321063,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-11T15:00:15.171Z,2023-03-11T15:00:15Z,4088247783,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321113,3,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,50.2,50,2023-03-11T15:00:15.221Z,2023-03-14T10:55:29Z,4088247973,140,41.0,4088247971,56,Back,4088247977,212,10.9,4088247975,141,57.5,4088247981,279,S,4088247979,213,2.7,4097599071,178,,,,,dw7bhxe9mbg94udlycw98gpgp,H. Macadam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321177,4,1,1,0,2,8rfydplrc9ki0sirqi0drcybk,1,41.6,54.6,2023-03-11T15:00:18.062Z,2023-03-14T10:55:37Z,4088248287,213,4.6,4088248281,140,39.5,4088248279,56,Back,4088248283,141,9.7,4097599195,178,,4088248285,212,30.6,,,,,,,71or1ne6d9zuo038qdt6vcvoq,L. Warrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321217,5,1,1,0,6,8rfydplrc9ki0sirqi0drcybk,0,43.9,8.9,2023-03-11T15:00:22.165Z,2023-03-14T10:55:42Z,4088248471,155,,4097599269,178,,4088248473,56,Center,4088248477,141,26.7,4088248475,140,74.8,4088248479,212,34.6,4088248483,1,,4088248481,213,0.4,b5j2ib54sum2pmzthjmfmr55h,A. Nsiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321257,4,1,1,0,9,ejm092fnt9zoxbpuklzd52ji8,1,20.5,74.2,2023-03-11T15:00:24.823Z,2023-03-14T10:55:46Z,4088248683,56,Back,4088248691,213,5.9,4088248681,3,,4088248687,141,67.3,4088248685,140,30.3,4097599321,388,,4088248689,212,11.3,,,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321287,5,1,1,0,10,ejm092fnt9zoxbpuklzd52ji8,0,31.2,69.5,2023-03-11T15:00:25.723Z,2023-03-14T10:55:51Z,4088248815,56,Back,4088248819,141,100.0,4097599401,178,,4088248813,3,,4088248821,212,22.1,4088248823,213,1.3,4088248817,140,35.9,,,,agvyoqarq5zhflge7bm1hn36d,F. Ojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321231,3,43,1,0,11,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-11T15:00:26.233Z,2023-03-11T15:00:31Z,4088248559,285,0,4088248557,56,Back,4088248927,144,44,,,,,,,,,,,,,,,,89agv6797txmlw6m4nyhhsa2,A. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
