id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/20/id,qualifier/20/qualifierId,assist
2488607869,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-02T18:59:40.873Z,2022-12-02T18:59:41Z,3931517669,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3931517677,194,dgzuswl2pnk7t03ts7nguholx,3931517681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931517675,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3931517671,59,"1, 7, 3, 15, 6, 44, 5, 30, 9, 10, 29, 2, 4, 18, 19, 21, 24, 31",3931517667,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, 1244ja0ma2r0071i7d45t6yfp, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, dgzuswl2pnk7t03ts7nguholx, d3si5voqkdc8did5gkp67tg5w, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, b7lmlxy1s3atzgtud5ofsc92h, dp69i4w71wdxciwbgus5cmbpx, c4p70bri4hf1ktz4xfv5j87vt, byem8e04h7nlgk9ythcswoley, 6b7fxcw7upr57pku6gf6dteqd, 1oeekgzkzju2jce7651vbdrrp, 1uv1l0l2zhrv5rjb9dgko0r1l, coupcn8k43jf15nqge220qo5x",3931517673,130,17,3931517679,197,4778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488607945,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-12-02T19:00:17.520Z,2022-12-04T13:19:58Z,3931518119,59,"13, 26, 10, 32, 18, 22, 16, 8, 11, 20, 19, 1, 4, 14, 21, 24, 28, 30",3931518127,197,4826,3931518115,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, 7ht3grz484ru1bcgp9gn7d2i1, 2eu3cz65piv0j91gi396p9ega, emuuuhvah1jtq2fqs9ybfovvu, b5j2ib54sum2pmzthjmfmr55h, 71or1ne6d9zuo038qdt6vcvoq, f1rmwe24zg4697bqpc3z0y40l, a70y8ayeh05hzo5yc8gotsbh0, 8bhf6lrrabp5tw5m8krirsm7e, 8d6o15wvepi7do7e0ubjeoga2, bg9aayv3d1y0qxgqrdohnrcdm, 6tqiy5a5cfpfm90j8r5udl8bu, 555ikrgh0veemzf7reasmqok5, e4xeswr8cpdkmlhijuf7oonsa, 74fouzsgp25muot2pp6as5otl, 937mkgz0gstvxyjiwfe9xiuzu, dzn0ynak2qjj58dwt8c0ka6ay",3931518121,130,18,3931518125,194,f1rmwe24zg4697bqpc3z0y40l,3931518117,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3931518129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3931518123,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615991,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2022-12-02T19:46:34.703Z,2022-12-02T19:46:35Z,3931566507,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615983,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-02T19:46:34.703Z,2022-12-04T20:27:08Z,3931566481,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488615999,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,50.2,50.1,2022-12-02T19:46:34.714Z,2022-12-05T03:55:09Z,3931566563,279,S,3931566557,141,45.7,3934857939,178,,3931566561,213,3.3,3931566555,140,32.1,3931566553,56,Back,3931566559,212,19.2,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616005,4,1,1,0,3,8b523ujgl21tbc01me65q0aoh,0,33.2,44.8,2022-12-02T19:46:37.843Z,2022-12-05T03:55:13Z,3931566599,155,,3931566607,212,43.0,3934857959,178,,3931566603,140,67.8,3931566611,1,,3931566609,213,5.7,3931566605,141,11.1,3931566601,56,Right,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616017,3,1,1,0,6,8rfydplrc9ki0sirqi0drcybk,1,23.2,87.4,2022-12-02T19:46:41.019Z,2022-12-05T03:55:20Z,3931566683,140,32.6,3931566689,213,5.8,3934857987,388,,3931566685,141,79.4,3931566681,56,Back,3931566687,212,11.3,3931566679,3,,,,,2eu3cz65piv0j91gi396p9ega,J. Earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616025,4,1,1,0,7,8rfydplrc9ki0sirqi0drcybk,0,32.6,79.4,2022-12-02T19:46:42.616Z,2022-12-05T03:55:30Z,3931566763,141,76.9,3931566757,3,,3931566765,212,5.4,3931566761,140,37.5,3934858029,388,,3931566767,213,6.0,3931566759,56,Back,,,,7ht3grz484ru1bcgp9gn7d2i1,C. Morton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616041,5,1,1,0,9,8b523ujgl21tbc01me65q0aoh,1,58.6,23.6,2022-12-02T19:46:43.805Z,2022-12-05T03:55:43Z,3931566861,213,1.2,3934858071,388,,3931566857,141,40.0,3931566855,140,62.4,3931566859,212,11.8,3931566853,56,Center,,,,,,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488616057,6,1,1,0,10,8b523ujgl21tbc01me65q0aoh,1,62.4,40,2022-12-02T19:46:45.481Z,2022-12-05T03:55:47Z,3931566957,56,Center,3931566965,213,2.4,3931566961,141,56.0,3931566963,212,16.5,3931566959,140,50.6,3934858101,178,,,,,,,,d3si5voqkdc8did5gkp67tg5w,C. Humphreys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
