id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,assist
2539178257,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-25T18:00:00.008Z,2023-04-26T13:39:51Z,4219814915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4219814911,59,"34, 4, 44, 12, 5, 2, 7, 16, 8, 11, 17, 1, 9, 10, 14, 15, 18, 36",4219814919,197,4823,4219814921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219814907,30,"biwjsmk8ytz2k4d9f141jw15h, 5n4yyffs5f8b7exry819c4xxx, dkzos23k1n5ufrdg886p2dxt6, 18loyx03olyhtkt6scybwr8q1, 2di9tk08yuqcb4wn9dvmwh97t, 8nudzikxeestbjz4yww8r13v9, 8wnv741y7ghjolf8g5c7psru1, 102xw59l2wg2jsd03w6vkgine, 4eg87cdkpgishec2gc9stm8oa, 5djouum2kdazpcjf79gbk2ju1, h4g0ji8lk43f7zcpl79henai, 3yamg9wboimwxyklpekdxgxxx, df3lhrpu9m9mqhk1h7hov4ic5, 1uqgky0sxqjs8bqd2h75rnmjt, 8fx84vh2k1x9c0dn66tivtzop, bkx6hb7gcdmw1v43o6tmgraad, byem8e04h7nlgk9ythcswoley, 2cchpb5ta326qtjrb9zpeerro",4219814913,130,17,4219814909,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4219814917,194,8nudzikxeestbjz4yww8r13v9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539178261,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-04-25T18:00:01.123Z,2023-04-25T18:14:37Z,4219814971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219814957,30,"9tlowuu89l3fnv5iowela1ca2, 6g8w8yuvkuayxcegsvzcjmmzt, 91mshvbc4rk9cf0chhgukakiy, dwp8bqc4rdleti92n0s6q9rdh, e9zi7fb2t4akk1pzjpuhe4bf9, 5mx96hmn7ophhuvmybmf1esid, cz9jf3ozld7o0hns2xmn54b56, 76j19abwcie5w5hptkewlh0bt, 43dtg3eg858i3agncnpq3p1wp, 33eqc4ye34v5r0ix9cqg9fo4p, uc2ekz3foqyl9djmicme4t4a, 4db9vewyt9kiqtqd5e0rloodm, 4wzaq9gqohygfo22tjibldfjd, 94pt7ikxi5cdjhbqf7vi9xg4p, 1y7e8a23pc4xlc6ori1o1b8tm, 5dsht0mnmpm2asallpju46ms5, e7wnuabfcue5japm1i85fs02y, 322ut6dhdlh98w6dh7a2wcmqc",4219814963,130,13,4219814969,197,4637,4219814967,194,5mx96hmn7ophhuvmybmf1esid,4219814961,59,"1, 21, 3, 15, 5, 2, 12, 6, 18, 11, 28, 9, 19, 22, 24, 26, 31, 32",4219814965,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4219814959,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187311,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-04-25T18:45:21.114Z,2023-04-28T03:43:38Z,4219866479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187303,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-04-25T18:45:21.114Z,2023-04-25T18:45:21Z,4219866437,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187333,3,1,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,50.2,49.7,2023-04-25T18:45:21.134Z,2023-04-28T05:17:17Z,4219866595,212,17.1,4219866589,56,Back,4219866591,140,33.9,4219866597,213,3.1,4230803543,178,,4219866599,279,S,4219866593,141,50.1,,,,8wnv741y7ghjolf8g5c7psru1,J. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187379,4,1,1,0,2,8mbtyq0has0uu0565fm9t5cdo,1,34.4,50.1,2023-04-25T18:45:23.365Z,2023-04-28T05:17:24Z,4219866775,213,4.6,4219866769,140,32.9,4219866771,141,16.4,4230803745,178,,4219866767,56,Back,4219866773,212,23.0,,,,,,,2di9tk08yuqcb4wn9dvmwh97t,S. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187391,5,1,1,0,5,8mbtyq0has0uu0565fm9t5cdo,0,33.5,15.2,2023-04-25T18:45:26.673Z,2023-04-28T05:17:27Z,4219866837,56,Right,4219866845,213,0.1,4219866839,140,73.2,4219866841,141,20.3,4219866835,155,,4219866843,212,41.8,4230803773,178,,4219866847,1,,8nudzikxeestbjz4yww8r13v9,J. Brayford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187403,3,8,1,0,7,b3vbyitzi3nrw9ehj1eoko219,1,24,73.8,2023-04-25T18:45:28.790Z,2023-04-28T05:17:35Z,4230803847,388,,4219866919,15,,4221240187,384,,4219866909,56,Back,,,,,,,,,,,,,dwp8bqc4rdleti92n0s6q9rdh,P. O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187419,4,52,1,0,9,b3vbyitzi3nrw9ehj1eoko219,1,10,54.8,2023-04-25T18:45:30.529Z,2023-04-28T05:17:36Z,4230803861,178,,4221240263,377,,,,,,,,,,,,,,,,,,,,9tlowuu89l3fnv5iowela1ca2,C. Rushworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187451,5,80,1,0,15,b3vbyitzi3nrw9ehj1eoko219,0,12.7,51.3,2023-04-25T18:45:36.910Z,2023-04-28T05:17:40Z,4230803905,178,,,,,,,,,,,,,,,,,,,,,,,9tlowuu89l3fnv5iowela1ca2,C. Rushworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
