id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2545030327,5,12,1,0,49,8rfydplrc9ki0sirqi0drcybk,1,7,49.5,2023-05-07T11:02:51.154Z,2023-05-10T05:18:23Z,4257949267,56,Back,4257949269,140,14.2,4257949275,213,1.1,4257949311,15,,4265687511,388,,4257949271,141,70.5,4257949273,212,16.2,,,,emuuuhvah1jtq2fqs9ybfovvu,H. Holgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030351,7,1,1,0,51,8b523ujgl21tbc01me65q0aoh,1,84.9,30,2023-05-07T11:02:52.912Z,2023-05-10T05:18:26Z,4257949427,140,78.7,4265687535,178,,4257949429,141,32.2,4257949425,56,Center,4257949431,212,6.7,4257949433,213,2.9,,,,,,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030377,8,1,1,0,53,8b523ujgl21tbc01me65q0aoh,1,78.6,32.2,2023-05-07T11:02:54.972Z,2023-05-10T05:18:33Z,4257949537,140,84.1,4257949535,56,Right,4257949539,141,19.5,4265687655,178,,4257949543,213,5.3,4257949541,212,10.4,,,,,,,932abz8zmqv4ilfnmq7m2ew9h,D. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030383,9,1,1,0,55,8b523ujgl21tbc01me65q0aoh,0,83.8,19.2,2023-05-07T11:02:57.218Z,2023-05-10T05:18:35Z,4257949585,155,,4257949589,140,90.7,4257949593,212,24.2,4257949591,141,53.1,4257949587,56,Center,4262194251,224,,4262194253,20,,4257949583,2,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,4265687687,178,4257949595,213,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030421,6,44,1,0,56,8rfydplrc9ki0sirqi0drcybk,1,14.2,54.6,2023-05-07T11:02:58.602Z,2023-05-10T06:22:04Z,4257953501,285,,4257949743,56,Back,4257950055,233,11,,,,,,,,,,,,,,,,8bhf6lrrabp5tw5m8krirsm7e,P. Omochere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030461,11,44,1,0,56,8b523ujgl21tbc01me65q0aoh,0,85.8,45.4,2023-05-07T11:02:58.603Z,2023-05-10T05:18:39Z,4257949971,56,Center,4265687735,286,,4257950111,233,6,,,,,,,,,,,,,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030453,7,12,1,0,57,8rfydplrc9ki0sirqi0drcybk,1,7.5,50.7,2023-05-07T11:02:58.669Z,2023-05-10T06:22:04Z,4265687815,388,,4257949915,140,11.4,4257949919,212,10.4,4257949917,141,36.7,4257949913,56,Back,4257949935,15,,4257949921,213,5.1,,,,8bhf6lrrabp5tw5m8krirsm7e,P. Omochere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545030445,10,13,1,0,58,8b523ujgl21tbc01me65q0aoh,1,89.9,67.6,2023-05-07T11:03:00.362Z,2023-05-10T05:18:51Z,4257949881,56,Center,4257950639,72,,4257952897,108,,4257952905,231,51.8,4262194967,215,,4257952899,328,,4265687853,178,,4257952895,103,29.2,28izur14k14lcgegg8qede7yt,C. Chaplin,4257952901,458,4257952903,230,98.8,4257949877,22,,4257952891,75,,4257952893,102,37.5,4257949879,64,,,,,,,,,,,,,,,,,,,
2545030743,8,5,1,0,59,8rfydplrc9ki0sirqi0drcybk,1,-0.4,57.6,2023-05-07T11:03:01.511Z,2023-05-10T05:18:53Z,4257956187,233,17,4257951361,56,Back,4257951365,346,,,,,,,,,,,,,,,,,8bhf6lrrabp5tw5m8krirsm7e,P. Omochere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031469,17,5,1,0,59,8b523ujgl21tbc01me65q0aoh,0,100.4,42.4,2023-05-07T11:03:01.511Z,2023-05-10T05:18:53Z,4257955377,56,Center,4257956247,233,8,4257955379,346,,,,,,,,,,,,,,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
