id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2515039937,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-03-04T14:19:12.193Z,2023-03-06T16:46:41Z,4070864293,59,"33, 12, 7, 5, 14, 26, 16, 29, 10, 6, 8, 2, 9, 11, 15, 18, 23, 27",4070864297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070864289,30,"8hiqkrsoskyhhoc0n0wp7lql1, 56zd7s72x7izgeiybmmgc8acq, dj5ho4am5u4ew23hchm4g549h, eg2xijdgtcaa44x57pjezy3ft, 35f2se8cf2zmpxl45zulorpat, 4qg1mpymeaajx8gu7jycw5wph, enfxh6b65c9hx1rs0scszi2y2, ec2bbo1w8byyuk15u9xrbzmqd, 81d38h08s97e8kl7kxew6si5l, ev42016zwnwiow3lbefukrbvt, 3j78tgfptah530cydckvfsauh, 7qnu4sb2a2vj7nw8gkvv1pxw5, adfgsbp3tv9wgatujcr9mfuju, awx668jrec0gnqk5gyg7o0oyy, 2nvu4o5lbowvig5ddb4563n8q, 3swij7ntrn9x9voc9clilgmvp, 34ur42uwxdk48v051z05no9gp, f4p7kokn0a6epac4icy01l9lh",4070864299,194,35f2se8cf2zmpxl45zulorpat,4070864295,130,17,4070864291,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4070864301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4071005029,197,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515039993,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-03-04T14:19:16.174Z,2023-03-04T15:10:02Z,4071005353,197,16167,4070864585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070864583,194,5bkjye9thnohmdgzwsrsy1n9,4070864573,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, f5zei3x0mg1i5q3soziuy579, dbvkpe7bc9clualadtx9rf1uc, 4oogur7f8tfx3z011ap58ao5x, 93kxb8ch3auv9li22mh1aidey, am0ggkrw8rzw5shdvaceyr3kl, bbrx2s4fcp7uplly4hpbt3xed, dez3rm7q89xk157fwnc3tgqcq, 8fg00qug3asta7227xti3tskp, 99uiqjteov3qby19bs8kozill, dbev6jhnro87n6ghueorfz27d, 40wbrqny2ekenyy37ver8dyol, cxfq8o3k68x1acwci3wx812w9, ein4ztrsuiclfbe9p066lmyok, 5knn6bkjba6eh0torsnwrkl0q",4070864577,59,"1, 26, 3, 28, 2, 5, 12, 10, 9, 7, 27, 15, 18, 19, 22, 29, 31, 38",4070864579,130,8,4070864581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4070864575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071371,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-03-04T15:01:31.650Z,2023-03-06T12:53:37Z,4071018461,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071339,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-03-04T15:01:31.650Z,2023-03-04T15:01:31Z,4071018301,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071397,3,1,1,0,1,jv3jh5m5t7qy5t37vwwmnj16,1,50.3,49.3,2023-03-04T15:01:33.006Z,2023-03-06T12:13:23Z,4071018543,56,Back,4071018547,141,63.7,4071018553,279,S,4071018545,140,33.2,4071018549,212,20.5,4071018551,213,2.6,,,,,,,93kxb8ch3auv9li22mh1aidey,L. Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071607,4,1,1,0,4,jv3jh5m5t7qy5t37vwwmnj16,1,25.8,71.2,2023-03-04T15:01:36.406Z,2023-03-04T15:54:01Z,4071019499,212,54.5,4071019503,1,,4071019495,140,63.9,4071019497,141,16.7,4071019493,56,Right,4071019501,213,5.5,4071019491,155,,,,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071633,5,1,1,0,6,jv3jh5m5t7qy5t37vwwmnj16,0,64.7,15.5,2023-03-04T15:01:38.117Z,2023-03-04T15:01:39Z,4071019639,213,0.5,4071019629,3,,4071019635,141,28.7,4071019631,56,Center,4071019633,140,79.8,4071019637,212,18.2,,,,,,,bbrx2s4fcp7uplly4hpbt3xed,D. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071663,3,8,1,0,8,dv9l02o316cd9hbkxaho2u12f,1,23.6,68.8,2023-03-04T15:01:40.214Z,2023-03-06T16:01:26Z,4078730053,384,,4071019769,56,Back,,,,,,,,,,,,,,,,,,,35f2se8cf2zmpxl45zulorpat,W. Aimson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071771,6,1,1,0,9,jv3jh5m5t7qy5t37vwwmnj16,0,66.8,16.5,2023-03-04T15:01:41.151Z,2023-03-06T16:01:44Z,4071020247,56,Right,4078730307,213,4.9,4078730303,141,0.0,4078730299,3,,4078730305,212,12.1,4078730301,140,68.8,,,,,,,bbrx2s4fcp7uplly4hpbt3xed,D. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515072071,4,5,1,0,10,dv9l02o316cd9hbkxaho2u12f,1,29.6,101.8,2023-03-04T15:01:42.005Z,2023-03-04T15:01:51Z,4071021631,56,Back,4071021671,233,7,4071021635,347,,,,,,,,,,,,,,,,,35f2se8cf2zmpxl45zulorpat,W. Aimson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
