id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2492066719,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-12-17T14:15:04.322Z,2022-12-17T15:49:38Z,3949871003,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3949871009,130,8,3949870999,30,"4c56c2zanbiv8q28f54i5rp3p, cyrr9517kjkt2l5tuqe966zth, 3hq7q7p30s923cbbvw1070lp1, 94opm6ljk3l7yqa2rzwq2gw6h, 4mg6kr1jernr98unfp5p8shqt, c211o2dh2p85auu0008zjxgix, btey8i9vnkak8ww7diqnb8lat, 2gf1wld07zyiuvq7iikfrvoid, 583ujnml31x2cnl6jxwnbs2xh, 4l7yeuoabotmlfo5n719msrmd, 3fjobcho19bkofw9h042i2v9x, 997jc41apd3dtrwgx79mu67e1, 76tis9hdvmec3jcvgnsf6cdex, 7f87a26gzayk0bfzbm42huuw9, 1szy525fae134zxfbt7vyw991, 24g3kj5853y2af5ncqhwlfbp, dwbbiqw9923azm3rpg2m8aqj9, mpzi06x1j85ahwkrbsa20kmi",3949871011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949871015,197,16162,3949871013,194,cyrr9517kjkt2l5tuqe966zth,3949871019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949871007,59,"25, 2, 33, 19, 6, 34, 13, 4, 9, 11, 18, 7, 15, 17, 24, 31, 32, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492066825,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-12-17T14:15:20.622Z,2022-12-17T15:11:15Z,3949871629,194,cqfbp8me2n00cve66v797omvp,3949871623,59,"13, 33, 16, 18, 2, 4, 14, 8, 9, 11, 7, 15, 17, 21, 23, 30, 39, 42",3949871631,197,16222,3949871625,130,4,3949871619,30,"3oyhjrd1ohnwf1x3d65997xzp, cz30ywnq6p6dig7x3hu6h7cnp, 987r1vdgx95x30elzrisjrzs9, 50flg4aoq4l0glnh61yzngc7p, 50c2v0l2cmkh82vso5tnjv3yt, cqfbp8me2n00cve66v797omvp, 8olbkp9lqy3em5s9h7a4aod4a, 3jzhwh7lq7xzcz7clm28h0mvp, 5lngv6xyqc7xanqv8ytifc3px, 8g19rw3eni5p8jt5v1j9skwdl, dq21r0ge09ug4d2crb9j6q6dx, dp1q81h7kbbf9qokm7osub0et, 6fphke4c1tsj6xvvp7aki65sl, exrh01dw52b651aet2am7v015, 4z5onwcaou5pjcz3kxncn8wl, 1lu7wsceoivdbsvqanykrr07p, 3cy13tw0tdconbwzlwteg6xas, c48yjuxzle51y3k7kr1fcyk4q",3949871621,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3949871633,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949871627,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074845,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2022-12-17T15:01:19.540Z,2022-12-20T02:50:13Z,3949916121,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074855,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-12-17T15:01:19.540Z,2022-12-17T15:01:23Z,3949916141,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074897,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,49.9,50.3,2022-12-17T15:01:19.557Z,2022-12-20T03:21:02Z,3952024915,178,,3949916293,140,31.3,3949916299,213,2.8,3949916295,141,60.5,3949916291,56,Back,3949916297,212,20.7,3949916301,279,S,,,,4l7yeuoabotmlfo5n719msrmd,J. Windass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074929,4,1,1,0,3,1musyruv2ufjrjnj6gvdbr8kt,1,32.4,58.1,2022-12-17T15:01:22.698Z,2022-12-20T03:21:06Z,3949916471,56,Right,3952024919,178,,3949916481,212,48.8,3949916469,157,,3949916479,141,17.6,3949916485,1,,3949916475,140,70.8,3949916483,213,5.7,c211o2dh2p85auu0008zjxgix,M. McGuinness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074935,5,44,1,0,6,1musyruv2ufjrjnj6gvdbr8kt,1,71.4,17.4,2022-12-17T15:01:25.662Z,2022-12-20T09:24:59Z,3949916517,56,Right,3949916535,233,3,3949916519,286,,,,,,,,,,,,,,,,,btey8i9vnkak8ww7diqnb8lat,C. Paterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074925,3,44,1,0,6,ahm0t06rup1bkd9z0mxl2lmph,0,28.6,82.6,2022-12-17T15:01:25.663Z,2022-12-20T03:21:58Z,3949916447,285,,3949916445,56,Back,3949916559,233,5,,,,,,,,,,,,,,,,cqfbp8me2n00cve66v797omvp,S. Findlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074983,6,1,1,0,6,1musyruv2ufjrjnj6gvdbr8kt,1,70.8,17.6,2022-12-17T15:01:25.689Z,2022-12-20T09:25:00Z,3949916763,212,15.6,3949916765,213,1.1,3952025065,388,,3949916757,56,Center,3949916759,140,78.0,3949916755,3,,3949916761,141,37.7,,,,btey8i9vnkak8ww7diqnb8lat,C. Paterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074997,4,4,1,0,7,ahm0t06rup1bkd9z0mxl2lmph,1,20.9,62.7,2022-12-17T15:01:26.886Z,2022-12-20T03:22:12Z,3949916841,285,,3949916835,10,,3949916859,233,7,3949916839,152,,3949916837,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
