id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2507747561,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-14T19:00:05.121Z,2023-02-14T19:41:57Z,4032349209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4032349207,130,8,4032349205,59,"1, 44, 3, 30, 6, 15, 7, 5, 9, 23, 11, 10, 19, 27, 29, 31, 33, 34",4032349215,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032349213,197,4779,4032349211,194,dgzuswl2pnk7t03ts7nguholx,4032349201,30,"4905drgcc9husos98ppdup4gl, 6bejhzrjgg7dz6cp6s45rah91, a9352zsh3xr7rcxs0jmho7o8a, d3si5voqkdc8did5gkp67tg5w, 91f9qkusefgcrv2ri2h1nci96, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, dgzuswl2pnk7t03ts7nguholx, 1feu2co3n49llnckcxffuo79x, 3fwxh0c612fj1flqrbozvja39, ab2bx5qzhdzlduh46iacngbf9, 28izur14k14lcgegg8qede7yt, 6b7fxcw7upr57pku6gf6dteqd, 1uyg5c61jzqickqaegb07yk15, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x, 7fpcipp26a9fqes841ad7lh3p, b7yfyzrvj7yjo48pu8faqnvft",4032349203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507747565,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-02-14T19:00:05.489Z,2023-02-14T19:48:54Z,4032349241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4032349243,194,bdquc37ytagmw19zgrehnryz9,4032349245,197,4819,4032349247,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032349233,30,"6axta520v9f4z56hctbq3a4mh, c651trgr0pihuppxxd31z6go9, f0sa0skucdf742t06hsmi8ne2, 3pxdg41xbkbajeuxovusa2v9x, c4hif6j7tldh0w7oeq8v9pcve, 6wax1hh875vpvfi1fbetwmtey, 4n37rih2qtphgtjxzo2id5f55, 9jj7t00bb5zflz78nlz3bvllg, bdquc37ytagmw19zgrehnryz9, f4qyrav5wfp55jyprdoq1upcl, 9s6ec1a12gozqwjlsyo7y8gr9, aohds6v2ewiu0xhov9mq9uju1, dz04k2zt87y78ku9g14sxm21h, ct9ifm9mk702lkhhmlf12nlxx, ejmi6qqszz1509excckyj3n1m, ah31ge07jvte4y161aut0uthx, 9iff38q4i3z5p4wyyu4zglxw, 5pafzbbuucga9ut20l6ckj7u2",4032349235,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4032349237,59,"35, 28, 3, 8, 5, 2, 21, 22, 10, 19, 7, 11, 9, 23, 30, 32, 34, 40",4032349239,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751357,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-02-14T19:45:37.693Z,2023-02-16T04:17:32Z,4032369703,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751351,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-14T19:45:37.693Z,2023-02-14T19:45:37Z,4032369687,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751389,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,49.9,50,2023-02-14T19:45:37.711Z,2023-02-17T04:22:37Z,4036568233,178,,4032369869,56,Back,4032369875,212,16.8,4032369873,141,49.1,4032369871,140,33.9,4032369879,279,S,4032369877,213,3.2,,,,3fwxh0c612fj1flqrbozvja39,S. Aluko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751405,4,1,1,0,3,8b523ujgl21tbc01me65q0aoh,0,32.8,42.5,2023-02-14T19:45:41.114Z,2023-02-17T04:22:41Z,4032369951,56,Center,4032369953,140,80.8,4032369955,141,70.9,4036568297,178,,4032369957,212,54.0,4032369959,213,0.4,4032369961,1,,4032369949,155,,91f9qkusefgcrv2ri2h1nci96,L. Woolfenden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751439,3,1,1,0,6,5pfqedkme2kabtqhkln35pf3l,1,25.2,35.2,2023-02-14T19:45:44.211Z,2023-02-17T04:26:17Z,4032370139,140,8.3,4032370137,56,Back,4032370135,3,,4036570939,388,,4032370145,213,3.7,4032370143,212,21.5,4032370141,141,17.3,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751447,4,12,1,0,9,5pfqedkme2kabtqhkln35pf3l,1,7.7,17.6,2023-02-14T19:45:47.093Z,2023-02-17T04:26:23Z,4032370189,56,Back,4033825055,15,,4033825057,167,,4032370197,213,4.5,4036571015,388,,4032370191,140,5.2,4032370193,141,0.0,4032370195,212,13.1,c651trgr0pihuppxxd31z6go9,J. Gibbons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751451,5,5,1,0,10,5pfqedkme2kabtqhkln35pf3l,0,5.3,-1.6,2023-02-14T19:45:48.372Z,2023-02-17T04:26:29Z,4032370217,347,,4032371157,233,5,4032370215,56,Back,,,,,,,,,,,,,,,,c651trgr0pihuppxxd31z6go9,J. Gibbons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751647,5,5,1,0,10,8b523ujgl21tbc01me65q0aoh,1,94.7,101.6,2023-02-14T19:45:48.372Z,2023-02-17T04:26:28Z,4032371145,233,5,4032371089,56,Left,4032371091,347,,,,,,,,,,,,,,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
