id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,assist,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/18/value
2545004119,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-05-07T10:15:04.416Z,2023-05-07T11:04:13Z,4257807497,130,12,4257807491,30,"eirc5i9gcpe0ap6gntxoomcix, dn7t1mhie8papl90qlp4rljhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 5raent8a0bdt01n7769n3dw16, 4nm1tx8buxym4bf9f2pti2fhl, cruhiz25b3bbd4unocpu9bvf9, 1iy0goeaf5btyw09tr2ywbe8l, 32crcj18u4qnf8f07fbsopvpx, 1r9aj50371x6f0xf7mmvldz9x, canpue729cozt0cw6a1dpi7ai, 9gfxdw176mc8yn7dowedmvtgp, 4nph9aqyr2kz1gmdh7v9n3w89, 7fwprbpdcdb7qcgaoe2humwo9, d25ilw75uqbnk15v383e1kxrd, ddjh4t18kk75bz9sgga2g2f3d, c3nbdw1440h1uwwmixrjxwclx, acvgu9prqaeucmvi9fx070i22",4257807493,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4257807495,59,"1, 17, 7, 5, 12, 2, 30, 8, 44, 9, 48, 3, 10, 16, 24, 31, 40, 47",4257807501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257807503,194,dwrnys3htjlb3asfou6425g16,4257807507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257807505,197,16169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545004131,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-05-07T10:15:06.005Z,2023-05-07T10:15:06Z,4257807585,197,16178,4257807583,194,dxndu5lwom3srja7xhiadmdw5,4257807581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257807579,130,8,4257807587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257807573,30,"4s848k6xkf7jqp11jkoit2a51, kxfjnow9ky2mxefjujv392ol, czsjz7u9u01z5a4pyue7tu5wq, boc9kr63xs5j2lx89tl1vjxsl, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, 37ea7qzvbzt3zr4y2q4o5boq, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, 4y9ghbncgfgpv4qd604g8jw15, 6ictgtdi9ogl7n8dqh4dm1fxl, 2k02tiy3x2a7o11h0kxw33fmd, azp9bk80ozwjy2xx7tvqot5gp, 3e79d5436l57bfj3ywbjvfr6y, 1zpxu396rz1b3gymuheg69h3p, 1ur2h01o6jgewwzydb2caggoa, 45i2fz3wya2x8gsa1hn8yd65m, dzboc2cmovo7k3g70y5socpn9",4257807577,59,"1, 23, 16, 18, 6, 4, 11, 22, 9, 8, 10, 3, 5, 17, 24, 26, 28, 39",4257807575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031267,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-05-07T11:03:53.770Z,2023-05-07T11:03:53Z,4257954287,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031275,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-05-07T11:03:53.770Z,2023-05-09T12:36:36Z,4257954323,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031369,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,49.4,50.1,2023-05-07T11:03:53.802Z,2023-05-09T22:28:29Z,4265363315,178,,4257954819,140,33.3,4257954823,212,20.0,4257954821,141,65.7,4257954827,279,S,4257954817,56,Back,4257954825,213,2.6,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031435,4,1,1,0,5,5jjqm8h6qm1w4s5f93uubhdrj,1,32,72.4,2023-05-07T11:03:59.487Z,2023-05-09T22:28:31Z,4257955207,213,4.6,4257955201,140,30.8,4265363357,178,,4257955203,141,45.5,4257955205,212,18.3,4257955199,56,Back,,,,,,,em0i6q0h6q80melaxwx2nvz3e,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031523,5,1,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,0,31.4,31.3,2023-05-07T11:04:02.539Z,2023-05-09T22:28:34Z,4257955659,141,30.0,4257955663,213,6.3,4257955653,155,,4257955661,212,64.7,4257955657,140,93.0,4257955665,1,,4257955655,56,Center,4265363379,178,,6cfr9qa1khqzv5oxsi8d3ug9h,F. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031549,3,52,1,0,13,9db4t34qy4owglhvvgwf5l22i,1,7,71.1,2023-05-07T11:04:07.154Z,2023-05-09T22:28:38Z,4261915485,377,,4265363399,178,,,,,,,,,,,,,,,,,,,,eirc5i9gcpe0ap6gntxoomcix,H. Isted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031967,4,1,1,0,28,9db4t34qy4owglhvvgwf5l22i,1,11.9,59.6,2023-05-07T11:04:22.641Z,2023-05-09T22:28:42Z,4257957953,1,,4257957951,213,6.0,4257957949,212,69.5,4257957947,141,29.5,4257957943,56,Center,4257957941,199,,4257957945,140,75.2,,,,eirc5i9gcpe0ap6gntxoomcix,H. Isted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031969,5,61,1,0,33,9db4t34qy4owglhvvgwf5l22i,1,75.2,29.5,2023-05-07T11:04:26.776Z,2023-05-09T22:28:47Z,4257957961,56,Center,4265363497,21,,4265363499,178,,,,,,,,,,,,,,,,,1r9aj50371x6f0xf7mmvldz9x,J. Norwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
