id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,assist,qualifier/17/value
2475362359,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-10-22T13:14:11.596Z,2022-10-22T13:14:12Z,3861863081,197,4206,3861863073,59,"1, 17, 26, 33, 22, 6, 7, 3, 24, 15, 20, 5, 9, 10, 13, 14, 18, 19",3861863083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861863071,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3861863079,194,62azuux8vuk6956cuyjjtped,3861863075,130,12,3861863077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861863069,30,"ezg39hlg3h14utboy2h3lijmd, 31xl77lt8tax7bta6s45p9fpx, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, diw7je3i5mkvwf0kj898yi0gl, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, cmq9t6wadet4rrj3cvkjst7ca, dovxfzsqb5e7by2q6kq0j2z1l, 7joniozhpy10veujjibxmbu2, cjroc2z4lnw58m804ihu8tm1h, 79a7csp3rppvt5e5q02zmolhx, 1mj4mnbthdlb1cjjuhvqckded, 4qris4sdzvtlkw5i3cmhhowrt, 6hkzb4vehsx4wwm9y98euwacq, 1g9uh6aokaevbg7s6v2jh8h78, 8ulmmc45jlajkkd0v8qev4w2y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475363285,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-22T13:15:05.725Z,2022-10-22T14:09:13Z,3861868259,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3861868261,59,"1, 18, 2, 4, 24, 6, 17, 21, 14, 9, 43, 3, 10, 12, 13, 19, 22, 28",3861868265,130,2,3861868269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861868257,30,"46q465awyk7ndr9faq83vmuw9, dsvr61cfalun7n0y262elcrth, 56g3fffeygobuei72gnkm9a09, egr5n9jynbg3llc2tn2g5ncnp, 2r6gxw9yjxvaplv70ftq7wout, 949hjt6noiqcg888992n2961h, ald5oocxwh4pip8fw6v3ym8h6, 6a08s0d0sgt7iw37spmo4bro5, 1uqgky0sxqjs8bqd2h75rnmjt, 74p53a79q1tlis3a3gladqor9, 4hgji0bnqpsqezk5ctxq3ggh6, 5sfchvj1d5dgpwc6j5oshhkut, effzy3ttltffcz92a3ro4woa, b6ctnwazqrxkw1639gn3vbahh, biwjsmk8ytz2k4d9f141jw15h, evb6gpvuutmnisv9d12gs0xcl, 6m0h2e4kygi2hx6nf9b24cv6d, 9z75i0zrgtuumyixz8dl9ysbt",3861868271,194,74p53a79q1tlis3a3gladqor9,3861868273,197,4825,3861868275,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406091,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-22T14:00:51.366Z,2022-10-22T14:00:51Z,3862085831,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406099,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-10-22T14:00:51.366Z,2022-10-24T23:10:57Z,3862085895,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406175,3,1,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,49.9,50,2022-10-22T14:00:51.382Z,2022-10-25T10:33:24Z,3862086249,140,23.0,3862086257,279,S,3862086247,56,Back,3862086253,212,28.6,3862086251,141,43.0,3862086255,213,3.3,3870906533,178,,,,,egr5n9jynbg3llc2tn2g5ncnp,G. Dobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406283,4,1,1,0,3,2ezfenuwk3y65p8jdbj55xqt0,1,22.9,43,2022-10-22T14:00:54.704Z,2022-10-25T04:52:38Z,3862086761,141,83.9,3862086755,157,,3862086759,140,66.6,3862086763,212,53.7,3862086765,213,0.5,3870906955,178,,3862086757,56,Left,3862086767,1,,46q465awyk7ndr9faq83vmuw9,J. Wollacott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406309,5,44,1,0,6,2ezfenuwk3y65p8jdbj55xqt0,1,67,87.4,2022-10-22T14:00:57.932Z,2022-10-25T10:50:58Z,3862086963,233,3,3862086877,56,Left,3862086881,286,,,,,,,,,,,,,,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406273,3,44,1,0,6,82kapkjwonlv9j1ui0ytv5sii,0,33,12.6,2022-10-22T14:00:57.933Z,2022-10-25T04:52:46Z,3862086693,285,,3862086691,56,Back,3862087005,233,5,,,,,,,,,,,,,,,,diw7je3i5mkvwf0kj898yi0gl,T. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406343,6,1,1,0,6,2ezfenuwk3y65p8jdbj55xqt0,0,66.6,83.9,2022-10-22T14:00:58.032Z,2022-10-25T10:50:58Z,3862087053,3,,3862087063,213,6.1,3862087055,56,Left,3862087059,141,81.2,3862087061,212,8.4,3870907127,388,,3862087057,140,74.4,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476859709,662,61,1,0,6,82kapkjwonlv9j1ui0ytv5sii,1,23.1,15.6,2022-10-22T14:00:58.064Z,2022-10-25T04:52:55Z,3870907207,15,,3870907209,388,,3869760529,56,Back,,,,,,,,,,,,,,,,diw7je3i5mkvwf0kj898yi0gl,T. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
