id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/13/value,keyPass,qualifier/12/value,qualifier/14/value
2521505911,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-03-18T14:15:30.343Z,2023-03-18T16:02:18Z,4105106099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4105106103,197,16116,4105106105,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105106101,194,cwimbfv671qph6cxdcl32elzp,4105106097,130,2,4105106093,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4105106091,30,"dirgn9z2tdz1603md8x3dni6t, 3x8j3d4oygoxsu75ipz0idt6, 5j1eftktnca9eso1vvhu2hf55, cwimbfv671qph6cxdcl32elzp, bn65q0jh5fmyit8g8y4k9wsq2, 9e0t58fp461sn2pele7we3fu1, cqgg8fu39fn7k9blog2zjpk2x, 67xd8llko9zszuwg63ffopje2, a90bv7xfjlfi8s3kvbpyjvn8q, 43knl3z17afypz27sz4qzkxnu, 5kg7eu8b1wktru5ohpid8e9qt, 41ntkkxxtjznfdz7966j64161, as885sgoqhqie6xuony3pqrfu, 4luphb29oi2p9ftkag6xb69jp, 1oxfxpbvol3526lbe42wxxze2, dgcocw72ey734nwc3omi02sid, b8lnnhs4xge277jgdcyfbmn84",4105106095,59,"24, 3, 12, 4, 22, 23, 17, 27, 48, 25, 2, 11, 20, 21, 30, 31, 34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521505939,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-03-18T14:15:31.680Z,2023-03-18T14:15:31Z,4105106253,130,17,4105106255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105106251,59,"25, 8, 17, 3, 2, 5, 4, 7, 11, 18, 10, 6, 9, 23, 24, 26, 28, 32",4105106247,30,"82h98ebusz83rox95oi9kafh1, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 5a86e1pl8b7ibmrkz3h6gs1yh, 3z9ioxbv8oeyqrbw5k8e3dec5, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, 9llmzvk9nw1kwy73o8z9f8usp, 6rzq8xkkst4hgbh2ysj52gwyx, 4mjzjj2p0pzyw0hcq4no9y0o9, alhqwxs7t2pxxxuztmvy1ibpx, wuidadmmyp6xcztp1lxdxg4p, 9w0nk2mz77jqc62v4gv1h0vkl, e713hl3clivldop8wln53rsyy, 75n089x1zca6gw23j27ohrhii, 944ptuekuetkjifbeaycqcoh5, 6q0zzgnbbzsbubnekye5dunai, ba8qp1eswz0kzcr0245r7q8kp",4105106261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105106259,197,16120,4105106257,194,5udpap0himq2ggsw4f0o5hqdx,4105106249,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557301,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-03-18T15:00:00.726Z,2023-03-18T15:00:03Z,4105368581,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557287,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-03-18T15:00:00.726Z,2023-03-20T22:13:27Z,4105368523,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557311,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,49.7,50.3,2023-03-18T15:00:00.785Z,2023-03-21T04:54:03Z,4105368635,279,S,4105368631,212,19.7,4105368633,213,2.9,4105368625,56,Back,4105368629,141,57.7,4113656781,178,,4105368627,140,31.6,,,,a90bv7xfjlfi8s3kvbpyjvn8q,C. Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557411,4,1,1,0,2,17zuelixesst1z59fwcix2dil,0,32.7,52.4,2023-03-18T15:00:03.204Z,2023-03-21T04:54:11Z,4105369037,56,Right,4105369043,212,53.4,4105369041,141,11.7,4105369039,140,76.2,4105369045,213,5.7,4105369035,157,,4113656869,178,,4105369047,1,,9e0t58fp461sn2pele7we3fu1,B. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557453,3,1,1,0,5,5g1fnexeromjl0lvnxp8hpnhi,1,18.1,85.6,2023-03-18T15:00:06.153Z,2023-03-21T04:54:19Z,4105369273,141,81.7,4113656945,388,,4105369269,56,Back,4105369275,212,12.8,4105369267,3,,4105369271,140,30.0,4105369277,213,6.1,,,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557459,4,49,1,0,6,5g1fnexeromjl0lvnxp8hpnhi,1,35.7,83.5,2023-03-18T15:00:07.217Z,2023-03-21T04:54:25Z,,,,,,,,,,,,,,,,,,,,,,,,,alhqwxs7t2pxxxuztmvy1ibpx,D. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557521,5,1,1,0,9,5g1fnexeromjl0lvnxp8hpnhi,1,33.9,86.5,2023-03-18T15:00:09.875Z,2023-03-21T04:54:29Z,4105369557,56,Back,4105369563,141,83.3,4105369561,140,10.1,4105369565,212,25.1,4113657053,178,,4105369567,213,3.2,,,,,,,alhqwxs7t2pxxxuztmvy1ibpx,D. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557553,6,1,1,0,12,5g1fnexeromjl0lvnxp8hpnhi,0,4.2,90.2,2023-03-18T15:00:13.653Z,2023-03-21T04:54:34Z,4105369689,141,100.0,4105369693,213,0.7,4105369691,212,11.8,4105369695,1,,4105369687,140,13.0,4105369683,157,,4113657123,178,,4105369685,56,Back,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
