id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/11/value,assist,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2494647379,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-01-02T14:14:55.825Z,2023-01-02T15:14:50Z,3963547247,130,18,3963547251,194,cyrr9517kjkt2l5tuqe966zth,3963555447,197,16162,3963547249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3963547241,30,"4c56c2zanbiv8q28f54i5rp3p, 997jc41apd3dtrwgx79mu67e1, 3fjobcho19bkofw9h042i2v9x, 3hq7q7p30s923cbbvw1070lp1, c211o2dh2p85auu0008zjxgix, cyrr9517kjkt2l5tuqe966zth, 6hrtxdf59nba5ietwyfe3b2t, 2gf1wld07zyiuvq7iikfrvoid, 4l7yeuoabotmlfo5n719msrmd, btey8i9vnkak8ww7diqnb8lat, 1szy525fae134zxfbt7vyw991, 8lvhd97efhjcg03fj1num1bzd, 76tis9hdvmec3jcvgnsf6cdex, 7f87a26gzayk0bfzbm42huuw9, 2nm6gmvnf6bmqpgd286p3yeqc, 24g3kj5853y2af5ncqhwlfbp, dwbbiqw9923azm3rpg2m8aqj9, mpzi06x1j85ahwkrbsa20kmi",3963547243,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3963547253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963547245,59,"25, 7, 18, 33, 34, 2, 14, 4, 11, 13, 24, 8, 15, 17, 22, 31, 32, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494648071,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-01-02T14:17:06.382Z,2023-01-02T14:17:06Z,3963550709,59,"25, 28, 7, 22, 15, 5, 10, 4, 9, 26, 17, 13, 14, 18, 37, 35",3963550715,194,6fd57izyk7hteztf9lnd1a6l1,3963550713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3963550707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",3963550719,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3963550705,30,"886i2kpcsn38tt7wqios1ip5, 58yhuku61yc06xpc55v5cdtec, 2oqi7v6d676hbe9i9agdl9ckp, 68emhvrwqi5m0q155ww2bzn1m, bkpr0uwpx5kbu2ms41uxoljah, 6fd57izyk7hteztf9lnd1a6l1, 5kyyaapya2gv5awlfgckmwpux, e3ff2af2lxs0rl8c4r5ns4wd1, aral6zvx8qxkfqkqwb7ldfk5x, b3cehdu46pljqap9xw1j7pcyx, 6zl8z33wsnss7q7p8ybh19n56, 7xt0zamdkelc77pnx0hwgmeei, 7b7ca1dklnp7reqcs5s4aauei, 4lws9jepuxzs33zbt3w1ff9ih, 9gh28gs9i4hfnqqwymzc7s36c, 4nsgb4snwjg25mqitp3e0vf2s",3963550711,130,8,3963550717,197,4631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655721,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-01-02T15:03:05.642Z,2023-01-04T04:19:12Z,3963588135,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655699,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-01-02T15:03:05.642Z,2023-01-02T15:03:05Z,3963588015,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655747,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,49.9,50,2023-01-02T15:03:05.663Z,2023-01-04T05:06:17Z,3963588251,212,21.7,3963588247,140,29.2,3963588249,141,49.6,3963588255,279,S,3965097311,178,,3963588245,56,Back,3963588253,213,3.2,,,,68emhvrwqi5m0q155ww2bzn1m,L. Simper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655781,4,1,1,0,1,dmz37633qbsvl7gncq5s51yjw,0,29.2,49.6,2023-01-02T15:03:07.609Z,2023-01-04T05:06:43Z,3963588409,56,Center,3963588415,212,38.5,3965097483,178,,3963588413,141,64.5,3963588407,157,,3963588419,1,,3963588411,140,64.6,3963588417,213,0.3,886i2kpcsn38tt7wqios1ip5,W. Mannion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655833,3,1,1,0,5,1musyruv2ufjrjnj6gvdbr8kt,1,31.1,31.2,2023-01-02T15:03:10.941Z,2023-01-04T05:07:35Z,3963588703,56,Back,3963588711,213,5.7,3963588705,140,39.9,3963588707,141,21.9,3965097727,178,,3963588701,3,,3963588709,212,11.2,,,,c211o2dh2p85auu0008zjxgix,M. McGuinness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655841,4,44,1,0,7,1musyruv2ufjrjnj6gvdbr8kt,1,43.4,20.2,2023-01-02T15:03:13.560Z,2023-01-05T05:58:39Z,3963588739,285,,3963588767,233,5,3963588737,56,Back,,,,,,,,,,,,,,,,6hrtxdf59nba5ietwyfe3b2t,G. Byers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655843,5,44,1,0,7,dmz37633qbsvl7gncq5s51yjw,0,56.6,79.8,2023-01-02T15:03:13.561Z,2023-01-04T05:07:48Z,3963588741,56,Left,3963588743,286,,3963588803,233,4,,,,,,,,,,,,,,,,6zl8z33wsnss7q7p8ybh19n56,S. Janneh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494655847,5,61,1,0,7,1musyruv2ufjrjnj6gvdbr8kt,1,38.7,21.3,2023-01-02T15:03:13.599Z,2023-01-05T05:58:39Z,3965097893,388,,3963588761,56,Back,3965097891,21,,,,,,,,,,,,,,,,,6hrtxdf59nba5ietwyfe3b2t,G. Byers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
