id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/15/value
2493905307,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-12-29T18:59:14.887Z,2022-12-29T18:59:15Z,3959642943,194,8nudzikxeestbjz4yww8r13v9,3959642947,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959642945,197,4824,3959642933,30,"3yamg9wboimwxyklpekdxgxxx, a6sikfu3j1pp7mlfcdte2inoq, dt6qnodvlkioltvbbhn08tqs5, 90ljpsmc6jf9657bs8cwkavl6, 5kdcg5tlzqdsmqdvyvxf49rrp, 8nudzikxeestbjz4yww8r13v9, b0hjaqg0on2lrpfcjxfyz7uqy, d41ua67591gafg6gb9iwg3p7u, d866x81xlp0h24rtpg9jbczbp, 5djouum2kdazpcjf79gbk2ju1, 5n4yyffs5f8b7exry819c4xxx, 8wnv741y7ghjolf8g5c7psru1, 7mcxkeo8701m9cs3hfy6towrt, enwfqkgv2m6hfwwjmbvfx9m1h, 268os78lzi8fggnve9n15h5ux, 3gecp9ekr3ge4dk1zl4gt8amt, 2u29ogddmahu2ursn73e5yw9h, 39gerw0vkyeriats1e0rgdn56",3959642941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959642935,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3959642939,130,12,3959642937,59,"1, 37, 3, 15, 8, 2, 23, 12, 14, 11, 4, 7, 10, 21, 24, 38, 45, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493905333,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-29T18:59:24.867Z,2022-12-29T18:59:24Z,3959643083,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3959643087,197,16116,3959643079,59,"1, 2, 11, 6, 5, 3, 7, 4, 25, 14, 28, 8, 9, 10, 13, 18, 22, 27",3959643075,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3959643073,30,"535ecbyyd28elesvxtvbxurpx, 5kg7eu8b1wktru5ohpid8e9qt, 91mshvbc4rk9cf0chhgukakiy, 5vi8t2fffmk5kjfukazcmyo5x, 3dy32ujo7srhl6rq7vb9e97xm, 3x8j3d4oygoxsu75ipz0idt6, c3a6jpeg16b9zn02uf1yf9cyx, cwimbfv671qph6cxdcl32elzp, 43knl3z17afypz27sz4qzkxnu, 8rjkn8s6e4s60167zdyukj9w5, 2r64ekro7ydonu8jg7s12xyei, 693vankfkq50hufuwcz7hu8r9, es83awo143gzdm1ohwqwpmjf9, ekcfj2t6pzdz36uzpw9q6c7vt, 7itkpbbwwshyu3z35922nlzis, 88ltcmthybimleezmuyyrmqga, bn65q0jh5fmyit8g8y4k9wsq2, 67xd8llko9zszuwg63ffopje2",3959643089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3959643085,194,8rjkn8s6e4s60167zdyukj9w5,3959643081,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912265,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2022-12-29T19:45:53.301Z,2022-12-29T19:45:56Z,3959683723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912261,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-29T19:45:53.301Z,2022-12-31T19:07:37Z,3959683699,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912289,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,49.9,50.1,2022-12-29T19:45:53.351Z,2023-01-02T01:50:06Z,3963116439,178,,3959683847,213,3.1,3959683833,56,Back,3959683837,140,32.4,3959683849,279,S,3959683845,212,18.4,3959683841,141,51.9,,,,c3a6jpeg16b9zn02uf1yf9cyx,B. Stevenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912331,4,1,1,0,2,17zuelixesst1z59fwcix2dil,0,35.4,46.9,2022-12-29T19:45:55.709Z,2023-01-02T01:50:17Z,3963116525,178,,3959684113,140,74.9,3959684117,212,55.7,3959684111,56,Left,3959684109,155,,3959684115,141,100.0,3959684121,1,,3959684119,213,0.7,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912377,3,44,1,0,4,8mbtyq0has0uu0565fm9t5cdo,1,23.3,14.5,2022-12-29T19:45:58.237Z,2023-01-02T06:43:46Z,3959684343,285,,3959684359,233,6,3959684341,56,Back,,,,,,,,,,,,,,,,5kdcg5tlzqdsmqdvyvxf49rrp,A. Mariappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912363,6,44,1,0,4,17zuelixesst1z59fwcix2dil,0,76.7,85.5,2022-12-29T19:45:58.238Z,2023-01-02T01:50:32Z,3959684363,233,3,3959684269,56,Left,3959684271,286,,,,,,,,,,,,,,,,,8rjkn8s6e4s60167zdyukj9w5,J. Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912389,4,1,1,0,5,8mbtyq0has0uu0565fm9t5cdo,0,22.3,15.3,2022-12-29T19:45:58.322Z,2023-01-02T06:43:46Z,3963116647,388,,3959684401,213,4.2,3959684393,56,Back,3959684397,141,0.0,3959684391,3,,3959684399,212,13.5,3959684395,140,16.0,,,,5kdcg5tlzqdsmqdvyvxf49rrp,A. Mariappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912335,5,43,1,0,7,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-29T19:46:01.005Z,2022-12-29T19:46:07Z,3959684125,347,0,3959684447,144,5,3959684123,56,Left,,,,,,,,,,,,,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
