id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/18/value,assist
2537014653,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-22T13:10:00.130Z,2023-04-22T14:09:00Z,4208238835,197,16113,4208238827,59,"19, 21, 27, 6, 4, 2, 16, 8, 22, 10, 29, 3, 11, 17, 20, 24, 25, 35",4208238823,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 7edc89hg3r6ueacgnkde7fzvu, do0vklx8voqfr05b3j04ilex, 9bpm5m1tsplxq77m3cbpfm4t1, 9eaozqsxv2347nryh9pkmg251, 6q06inb8ukzfsrxy0arxl78q1, 7iruezvsore21eboc96g7oqtx, dndv2nbwzzvgrlgf6gmeqtryt, b1yok7nf3a2fu9voe0oy7o6ad, d866x81xlp0h24rtpg9jbczbp, 64tpd90skhh1yj8yztefhahn9, cqcwoymcrgf7wdi6091zplecp, awsbedog2zaz7zpjucbcba82y, 8zcwhxcdh09wxdn29kzpox591, az767vfe6ig8vwir9uu2eu3th, 7ybjr8x5s8j4zj17p544h6rmy, dd5h02pcz142eha2peyc0j2s5",4208238831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4208238833,194,9eaozqsxv2347nryh9pkmg251,4208238837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208238825,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4208238829,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537020429,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-04-22T13:15:50.386Z,2023-04-22T14:06:39Z,4208269879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",4208269889,197,4206,4208269891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208269883,130,8,4208269887,194,62azuux8vuk6956cuyjjtped,4208269881,59,"1, 5, 26, 3, 22, 6, 18, 7, 9, 8, 14, 13, 17, 24, 27, 30",4208269877,30,"ezg39hlg3h14utboy2h3lijmd, cjroc2z4lnw58m804ihu8tm1h, bydla0otire1a58193o1buqjt, 62azuux8vuk6956cuyjjtped, 1tkhk7k78uqvkegtn5i9r132t, diw7je3i5mkvwf0kj898yi0gl, 1g9uh6aokaevbg7s6v2jh8h78, ap3mja91coq7mbr6xkqvbss7p, 79a7csp3rppvt5e5q02zmolhx, 6t0n68hbpi4fa6lzt815gyc5w, 6hkzb4vehsx4wwm9y98euwacq, 4qris4sdzvtlkw5i3cmhhowrt, 31xl77lt8tax7bta6s45p9fpx, cmq9t6wadet4rrj3cvkjst7ca, 1l9z6glh9h9yt7awb7t9rsgoa, 3mudv2ein3iuv9smhmkk9vod0",4208269885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057181,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-22T14:01:40.881Z,2023-04-24T20:01:32Z,4208455331,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057159,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-04-22T14:01:40.881Z,2023-04-22T14:01:41Z,4208455233,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057237,3,1,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,50,50,2023-04-22T14:01:41.040Z,2023-04-25T05:55:10Z,4208455601,141,46.0,4208455599,140,32.0,4208455605,213,3.3,4218820869,178,,4208455597,56,Back,4208455603,212,19.1,4208455607,279,S,,,,6t0n68hbpi4fa6lzt815gyc5w,K. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057433,4,1,1,0,2,82kapkjwonlv9j1ui0ytv5sii,0,35.3,52.8,2023-04-22T14:01:43.650Z,2023-04-25T05:55:13Z,4208456529,213,0.2,4218820907,178,,4208456515,56,Center,4208456525,212,70.6,4208456513,155,,4208456533,1,,4208456517,140,100.0,4208456521,141,76.7,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057427,3,56,1,0,8,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-22T14:01:49.516Z,2023-04-25T05:55:19Z,4208456491,56,Back,,,,,,,,,,,,,,,,,,,,,,9bpm5m1tsplxq77m3cbpfm4t1,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057469,4,5,1,0,9,69t8imcdaqlgfbds2p58596my,1,-1,25.8,2023-04-22T14:01:49.910Z,2023-04-25T05:55:22Z,4208456679,56,Back,4208456727,233,5,4208456681,346,,,,,,,,,,,,,,,,,9bpm5m1tsplxq77m3cbpfm4t1,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057443,5,5,1,0,9,82kapkjwonlv9j1ui0ytv5sii,0,101,74.2,2023-04-22T14:01:49.910Z,2023-04-25T05:55:22Z,4208456581,346,,4208456579,56,Center,4208456765,233,4,,,,,,,,,,,,,,,,79a7csp3rppvt5e5q02zmolhx,R. Bowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057813,5,1,1,0,19,69t8imcdaqlgfbds2p58596my,1,3.9,50.7,2023-04-22T14:01:59.891Z,2023-04-25T05:55:25Z,4208458319,140,14.3,4208458329,213,0.8,4208458311,124,,4208458323,141,68.4,4208458335,237,,4208458315,56,Back,4208458325,212,16.3,,,,1c4nu9s3t3p83pufjf3n3xqay,J. Trafford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
