id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/13/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId
2478674179,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-10-29T13:15:20.383Z,2022-10-29T14:11:00Z,3879418335,30,"c3nbdw1440h1uwwmixrjxwclx, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5r55bc61sgthojep749axb6y1, 1iy0goeaf5btyw09tr2ywbe8l, 4nph9aqyr2kz1gmdh7v9n3w89, 1r9aj50371x6f0xf7mmvldz9x, 32crcj18u4qnf8f07fbsopvpx, canpue729cozt0cw6a1dpi7ai, a97lovkim5o3xqd92bc80l5ux, 23gglwejp456bifnwkk9xi0a, d25ilw75uqbnk15v383e1kxrd, i1bzoqwi1u382l4yx3n864x6, 2evuc5me085gt0aeky191cduc, cruhiz25b3bbd4unocpu9bvf9, ddjh4t18kk75bz9sgga2g2f3d",3879418347,197,16169,3879418349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879418345,194,49ca952ot1c3ytut2s281ds6h,3879418337,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3879418341,130,12,3879418343,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3879418339,59,"40, 2, 7, 5, 6, 3, 8, 10, 9, 44, 48, 1, 14, 24, 26, 29, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478674377,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-10-29T13:15:30.657Z,2022-10-29T13:59:20Z,3879419517,194,5vi8t2fffmk5kjfukazcmyo5x,3879419519,197,16119,3879419513,130,18,3879419511,59,"24, 2, 11, 23, 6, 3, 27, 8, 25, 28, 21, 5, 10, 13, 14, 17, 18, 19",3879419515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3879419509,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3879419507,30,"dirgn9z2tdz1603md8x3dni6t, 5kg7eu8b1wktru5ohpid8e9qt, 91mshvbc4rk9cf0chhgukakiy, dv9gm9ueox7uah9yt3fstc8dm, 5vi8t2fffmk5kjfukazcmyo5x, 3x8j3d4oygoxsu75ipz0idt6, 67xd8llko9zszuwg63ffopje2, 693vankfkq50hufuwcz7hu8r9, 43knl3z17afypz27sz4qzkxnu, 2r64ekro7ydonu8jg7s12xyei, cjko3mlflwj59pxh7zma03bh1, 3dy32ujo7srhl6rq7vb9e97xm, ekcfj2t6pzdz36uzpw9q6c7vt, 7itkpbbwwshyu3z35922nlzis, 8rjkn8s6e4s60167zdyukj9w5, cqgg8fu39fn7k9blog2zjpk2x, 88ltcmthybimleezmuyyrmqga, 6jzp1qnjkhc65t5e4te0ec50q",3879419521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725611,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2022-10-29T14:03:07.172Z,2022-10-31T23:25:09Z,3879684933,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725579,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-10-29T14:03:07.172Z,2022-10-29T14:03:07Z,3879684781,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725733,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,49.7,50.1,2022-10-29T14:03:07.182Z,2022-11-01T04:31:01Z,3879685495,212,20.2,3879685493,141,51.2,3879685491,140,30.5,3879685489,56,Back,3879685497,213,3.1,3879685499,279,S,3887400973,178,,,,,43knl3z17afypz27sz4qzkxnu,M. Peart-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725879,4,1,1,0,2,17zuelixesst1z59fwcix2dil,1,29.3,54,2022-10-29T14:03:09.500Z,2022-11-01T04:31:21Z,3887401181,178,,3879686299,212,19.2,3879686297,141,81.2,3879686293,56,Back,3879686301,213,1.3,3879686295,140,34.1,,,,,,,dv9gm9ueox7uah9yt3fstc8dm,Christian Marques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478726013,5,1,1,0,6,17zuelixesst1z59fwcix2dil,1,36.7,94.7,2022-10-29T14:03:13.336Z,2022-11-01T04:31:44Z,3879686991,141,72.6,3887401345,178,,3879686993,212,45.4,3879686995,213,5.9,3879686987,56,Center,3879686989,140,77.5,3879686997,1,,3879686985,155,,5vi8t2fffmk5kjfukazcmyo5x,B. Cargill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478726021,6,44,1,0,8,17zuelixesst1z59fwcix2dil,1,79.6,67,2022-10-29T14:03:15.931Z,2022-11-01T09:11:14Z,3879687197,233,3,3879687027,56,Center,3879687031,286,,,,,,,,,,,,,,,,,cjko3mlflwj59pxh7zma03bh1,C. Wickham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478726039,3,44,1,0,8,9db4t34qy4owglhvvgwf5l22i,0,20.4,33,2022-10-29T14:03:15.932Z,2022-11-01T04:35:03Z,3879687099,56,Back,3879687227,233,6,3879687103,285,,,,,,,,,,,,,,,,,49ca952ot1c3ytut2s281ds6h,M. Andersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478726067,7,1,1,0,8,17zuelixesst1z59fwcix2dil,0,77.5,72.6,2022-10-29T14:03:15.952Z,2022-11-01T09:11:15Z,3879687263,3,,3879687275,213,5.2,3879687271,141,51.6,3879687273,212,16.4,3879687269,140,85.1,3879687267,56,Center,3887402561,388,,,,,cjko3mlflwj59pxh7zma03bh1,C. Wickham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478726093,4,49,1,0,11,9db4t34qy4owglhvvgwf5l22i,1,12.5,63.3,2022-10-29T14:03:18.466Z,2022-11-01T04:35:42Z,,,,,,,,,,,,,,,,,,,,,,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
