id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/23/id,qualifier/23/qualifierId
2525513609,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-03-28T18:00:04.599Z,2023-03-28T20:05:29Z,4144000007,130,13,4144000013,197,16180,4144000015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4144000009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4144000001,30,"3swij7ntrn9x9voc9clilgmvp, 56zd7s72x7izgeiybmmgc8acq, dj5ho4am5u4ew23hchm4g549h, eg2xijdgtcaa44x57pjezy3ft, 35f2se8cf2zmpxl45zulorpat, 4qg1mpymeaajx8gu7jycw5wph, ec2bbo1w8byyuk15u9xrbzmqd, enfxh6b65c9hx1rs0scszi2y2, 34ur42uwxdk48v051z05no9gp, 3j78tgfptah530cydckvfsauh, adfgsbp3tv9wgatujcr9mfuju, c1hj1hth3xj2f0ax3x6fdwj8q, ev42016zwnwiow3lbefukrbvt, 81d38h08s97e8kl7kxew6si5l, awx668jrec0gnqk5gyg7o0oyy, 5w3e46d2oh5wzrizfi9rdgwoa, rqdgj7y5b0qjaxpz1i7k3a50, f4p7kokn0a6epac4icy01l9lh",4144000011,194,35f2se8cf2zmpxl45zulorpat,4144000005,59,"18, 12, 7, 5, 14, 26, 29, 16, 23, 8, 9, 3, 6, 10, 11, 21, 22, 27",4144000003,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525513725,1,34,16,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-03-28T18:02:37.649Z,2023-03-28T18:43:48Z,4144000791,59,"1, 2, 7, 5, 6, 12, 30, 8, 9, 44, 48, 10, 16, 24, 26, 31, 40, 47",4144000799,197,16932,4144000787,30,"eirc5i9gcpe0ap6gntxoomcix, 4nm1tx8buxym4bf9f2pti2fhl, 3k9tjd5wgpufcbq4od8jpo89h, dwrnys3htjlb3asfou6425g16, 49ca952ot1c3ytut2s281ds6h, 5raent8a0bdt01n7769n3dw16, cruhiz25b3bbd4unocpu9bvf9, 1iy0goeaf5btyw09tr2ywbe8l, 1r9aj50371x6f0xf7mmvldz9x, 32crcj18u4qnf8f07fbsopvpx, canpue729cozt0cw6a1dpi7ai, 4nph9aqyr2kz1gmdh7v9n3w89, 7fwprbpdcdb7qcgaoe2humwo9, d25ilw75uqbnk15v383e1kxrd, i1bzoqwi1u382l4yx3n864x6, ddjh4t18kk75bz9sgga2g2f3d, c3nbdw1440h1uwwmixrjxwclx, acvgu9prqaeucmvi9fx070i22",4144000789,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4144000797,194,49ca952ot1c3ytut2s281ds6h,4144000793,130,12,4144000795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4144000801,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518835,2,32,1,0,0,9db4t34qy4owglhvvgwf5l22i,1,0,0,2023-03-28T18:46:34.907Z,2023-03-28T18:46:37Z,4144030953,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518827,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-03-28T18:46:34.907Z,2023-03-31T04:49:22Z,4144030925,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518867,3,1,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,49.9,50.1,2023-03-28T18:46:34.987Z,2023-03-31T06:47:55Z,4149657615,178,,4144031109,212,17.3,4144031113,279,S,4144031107,141,43.4,4144031103,56,Back,4144031105,140,34.0,4144031111,213,3.4,,,,3j78tgfptah530cydckvfsauh,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518877,4,1,1,0,3,dv9l02o316cd9hbkxaho2u12f,0,34.6,44.5,2023-03-28T18:46:38.007Z,2023-03-31T06:47:57Z,4144031179,157,,4144031185,141,12.8,4144031183,140,60.8,4144031187,212,34.9,4149657619,178,,4144031191,1,,4144031189,213,5.6,4144031181,56,Right,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518889,3,1,1,0,6,9db4t34qy4owglhvvgwf5l22i,0,29.1,83.5,2023-03-28T18:46:41.231Z,2023-03-31T06:48:03Z,4144031235,3,,4144031241,141,80.5,4149657655,178,,4144031239,140,40.4,4144031245,213,6.1,4144031243,212,12.0,4144031237,56,Back,,,,dwrnys3htjlb3asfou6425g16,L. Kitching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518893,4,61,1,0,6,9db4t34qy4owglhvvgwf5l22i,1,40.4,80.5,2023-03-28T18:46:41.741Z,2023-03-31T06:48:12Z,4149657715,178,,4144031253,56,Back,,,,,,,,,,,,,,,,,,,1iy0goeaf5btyw09tr2ywbe8l,H. Kane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518901,5,1,1,0,8,9db4t34qy4owglhvvgwf5l22i,0,43.4,84.1,2023-03-28T18:46:42.927Z,2023-03-31T06:48:17Z,4144031293,3,,4144031301,212,10.8,4144031295,56,Center,4144031299,141,78.1,4149657775,388,,4144031297,140,52.9,4144031303,213,5.9,,,,32crcj18u4qnf8f07fbsopvpx,D. Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525518963,5,1,1,0,10,dv9l02o316cd9hbkxaho2u12f,1,51.1,23.3,2023-03-28T18:46:45.088Z,2023-03-31T06:48:22Z,4144031557,212,21.8,4144031559,213,6.0,4144031551,56,Right,4144031555,141,13.4,4149657807,178,,4144031553,140,70.8,4144031549,155,,,,,35f2se8cf2zmpxl45zulorpat,W. Aimson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
