id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2499132053,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-21T14:15:15.551Z,2023-01-21T14:23:29Z,3987195669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987195655,30,"3oyhjrd1ohnwf1x3d65997xzp, cz30ywnq6p6dig7x3hu6h7cnp, 7cznyew8xg3fxfqeexid7pxt6, 987r1vdgx95x30elzrisjrzs9, bsrhtxhpnlxho2o4zvli5qmeh, 50c2v0l2cmkh82vso5tnjv3yt, 8olbkp9lqy3em5s9h7a4aod4a, 3jzhwh7lq7xzcz7clm28h0mvp, dq21r0ge09ug4d2crb9j6q6dx, 1lu7wsceoivdbsvqanykrr07p, 50flg4aoq4l0glnh61yzngc7p, 7ysjsg2vz5dgbm9pzvbx9u904, cqfbp8me2n00cve66v797omvp, 5lngv6xyqc7xanqv8ytifc3px, 33ci88veciqvd4w5y145dyooa, uluqgj69z6yunsl8m505lyi, 3cy13tw0tdconbwzlwteg6xas, 8nw86mly9ttlkci3p12qffvv8",3987195663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987195659,59,"13, 33, 3, 16, 5, 2, 14, 8, 7, 30, 18, 28, 4, 9, 22, 27, 39, 31",3987195665,194,bsrhtxhpnlxho2o4zvli5qmeh,3987195661,130,12,3987195667,197,18076,3987195657,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499135715,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-01-21T14:20:13.178Z,2023-01-21T14:20:13Z,3987215015,197,4779,3987215013,194,dgzuswl2pnk7t03ts7nguholx,3987215007,59,"1, 7, 3, 15, 6, 44, 5, 8, 27, 11, 10, 9, 19, 23, 25, 31, 33, 34",3987215005,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3987215009,130,13,3987215003,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, 1244ja0ma2r0071i7d45t6yfp, 91f9qkusefgcrv2ri2h1nci96, 6bejhzrjgg7dz6cp6s45rah91, dgzuswl2pnk7t03ts7nguholx, 7hduohz6mo32mbtdepyv5u7yt, 1uyg5c61jzqickqaegb07yk15, ab2bx5qzhdzlduh46iacngbf9, 28izur14k14lcgegg8qede7yt, 1feu2co3n49llnckcxffuo79x, 6b7fxcw7upr57pku6gf6dteqd, 3fwxh0c612fj1flqrbozvja39, 6o9v88iiwvbulajrwpd7uvkr9, coupcn8k43jf15nqge220qo5x, 7fpcipp26a9fqes841ad7lh3p, b7yfyzrvj7yjo48pu8faqnvft",3987215017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987215011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170087,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-21T15:02:51.229Z,2023-01-23T23:07:45Z,3987385211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170115,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-01-21T15:02:51.229Z,2023-01-21T15:02:52Z,3987385367,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170203,3,1,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,50.3,49.9,2023-01-21T15:02:51.309Z,2023-01-24T01:56:05Z,3987385863,212,19.4,3987385865,213,3.0,3987385859,140,32.1,3987385861,141,54.8,3987385867,279,S,3992608469,178,,3987385857,56,Back,,,,8olbkp9lqy3em5s9h7a4aod4a,L. Bate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170345,4,1,1,0,3,ahm0t06rup1bkd9z0mxl2lmph,0,32.1,54.8,2023-01-21T15:02:54.421Z,2023-01-24T01:56:18Z,3987386567,141,8.6,3987386561,157,,3987386571,213,5.6,3992608641,178,,3987386563,56,Right,3987386569,212,51.4,3987386565,140,70.8,3987386573,1,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170301,3,44,1,0,6,8b523ujgl21tbc01me65q0aoh,1,24.2,92.3,2023-01-21T15:02:57.374Z,2023-01-24T05:36:06Z,3987386359,285,,3987386357,56,Back,3987386793,233,5,,,,,,,,,,,,,,,,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170351,5,44,1,0,6,ahm0t06rup1bkd9z0mxl2lmph,0,75.8,7.7,2023-01-21T15:02:57.375Z,2023-01-24T01:56:30Z,3987386607,286,,3987386605,56,Right,3987386805,233,3,,,,,,,,,,,,,,,,50c2v0l2cmkh82vso5tnjv3yt,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170325,4,1,1,0,6,8b523ujgl21tbc01me65q0aoh,0,19.2,93.2,2023-01-21T15:02:57.397Z,2023-01-24T05:36:07Z,3987386457,140,38.2,3987386467,213,5.7,3987386461,141,73.2,3987386465,212,24.1,3987386453,3,,3992608941,388,,3987386455,56,Back,,,,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499170413,6,1,1,0,9,ahm0t06rup1bkd9z0mxl2lmph,1,62.9,14.4,2023-01-21T15:03:00.410Z,2023-01-24T11:02:37Z,3987386929,213,4.5,3987386923,140,61.9,3992928451,3,,3987386925,141,7.1,3987386927,212,5.1,3987386921,56,Right,3992928565,178,,,,,8olbkp9lqy3em5s9h7a4aod4a,L. Bate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
