id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2511934111,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-25T14:15:23.131Z,2023-02-25T14:15:23Z,4054461985,59,"1, 7, 23, 3, 5, 16, 28, 10, 9, 12, 18, 19, 22, 26, 27, 29, 38, 31",4054461995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054461981,30,"1sw0ywyl0cgn97mu65tnzv0t1, bbrx2s4fcp7uplly4hpbt3xed, 1kw6qz2pi7wlam068oeirztud, 5bkjye9thnohmdgzwsrsy1n9, dbvkpe7bc9clualadtx9rf1uc, datykfu6jdjc3jlmi3flv7dud, 7pia2vfewavgyc8d7pvgr7owl, 93kxb8ch3auv9li22mh1aidey, am0ggkrw8rzw5shdvaceyr3kl, 4oogur7f8tfx3z011ap58ao5x, 99uiqjteov3qby19bs8kozill, dbev6jhnro87n6ghueorfz27d, 40wbrqny2ekenyy37ver8dyol, 7fvj3ev8ov0cnalck9x48z3kl, dez3rm7q89xk157fwnc3tgqcq, cxfq8o3k68x1acwci3wx812w9, 5knn6bkjba6eh0torsnwrkl0q, ein4ztrsuiclfbe9p066lmyok",4054461983,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4054461987,130,17,4054461993,197,16168,4054461991,194,5bkjye9thnohmdgzwsrsy1n9,4054461989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511934197,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-02-25T14:15:27Z,2023-02-25T14:15:27Z,4054462425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054462431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054462421,59,"1, 6, 26, 33, 22, 5, 3, 8, 20, 9, 24, 7, 13, 14, 15, 17, 18, 30",4054462423,130,18,4054462419,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4054462427,194,62azuux8vuk6956cuyjjtped,4054462417,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, 62azuux8vuk6956cuyjjtped, 6t0n68hbpi4fa6lzt815gyc5w, 7joniozhpy10veujjibxmbu2, 79a7csp3rppvt5e5q02zmolhx, cmq9t6wadet4rrj3cvkjst7ca, ap3mja91coq7mbr6xkqvbss7p, 4qris4sdzvtlkw5i3cmhhowrt, 6hkzb4vehsx4wwm9y98euwacq, dovxfzsqb5e7by2q6kq0j2z1l, 31xl77lt8tax7bta6s45p9fpx, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0",4054462429,197,4206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981019,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-25T15:02:40.676Z,2023-02-25T15:02:40Z,4054691535,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981049,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-02-25T15:02:40.676Z,2023-02-27T20:49:49Z,4054691667,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981205,3,1,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,49.9,49.9,2023-02-25T15:02:40.686Z,2023-02-28T06:00:00Z,4062825863,178,,4054692365,212,28.4,4054692367,213,2.7,4054692369,279,S,4054692359,56,Back,4054692361,140,25.7,4054692363,141,68.5,,,,93kxb8ch3auv9li22mh1aidey,L. Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981341,4,1,1,0,2,jv3jh5m5t7qy5t37vwwmnj16,1,27.8,66.3,2023-02-25T15:02:43.646Z,2023-02-28T04:03:21Z,4054692955,155,,4062826037,178,,4054692965,213,5.6,4054692967,1,,4054692961,141,12.8,4054692959,140,67.4,4054692957,56,Right,4054692963,212,55.2,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981361,5,1,1,0,5,jv3jh5m5t7qy5t37vwwmnj16,0,67,10.1,2023-02-25T15:02:46.526Z,2023-02-28T04:03:30Z,4062826105,178,,4054693075,141,22.1,4054693071,56,Center,4054693073,140,67.4,4054693077,212,8.2,4054693069,3,,4054693079,213,1.5,,,,bbrx2s4fcp7uplly4hpbt3xed,D. Wheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981449,3,1,1,0,7,82kapkjwonlv9j1ui0ytv5sii,1,27.9,64.5,2023-02-25T15:02:48.530Z,2023-02-28T04:03:41Z,4054693577,141,67.9,4054693591,213,2.8,4062826195,388,,4054693571,140,20.8,4054693559,3,,4054693585,212,7.8,4054693565,56,Back,,,,6t0n68hbpi4fa6lzt815gyc5w,K. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981525,4,1,1,0,9,82kapkjwonlv9j1ui0ytv5sii,0,20.8,67.9,2023-02-25T15:02:50.168Z,2023-02-28T04:03:47Z,4062826235,178,,4054693945,140,59.6,4054693951,213,6.2,4054693943,56,Center,4054693953,1,,4054693941,157,,4054693949,212,40.8,4054693947,141,63.7,dbe9gwg6ggyqh9fvdruelz8wl,T. Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981611,6,1,1,0,11,jv3jh5m5t7qy5t37vwwmnj16,1,35.8,43.3,2023-02-25T15:02:52.516Z,2023-02-28T04:04:02Z,4054694415,140,55.5,4062826355,178,,4054694411,3,,4054694413,56,Center,4054694421,213,6.0,4054694417,141,33.3,4054694419,212,21.8,,,,dbvkpe7bc9clualadtx9rf1uc,C. Forino-Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
