id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,qualifier/16/value
2493561879,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-12-27T14:15:04.062Z,2022-12-27T14:15:04Z,3957809423,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, 85vh43wsin67z2dj0iod12fop, 8y3obwxpwckjfl7hkrrg97sgl, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, e2sj7bhk2s9du1bs1vza1b4k5, bwu80wn3lca4x2txuelku0a21, a64e8yqggr7fmtdlyr9v80yxh, 1la1hsnuheliwojwmcbxroy96, ddc712ebtmrrpvj4shekecus5, h4x8lz5ou8esdao80mvls9yi, e01znd47zh4hk0g8jx67wzl9m, 6kxph7ulzz58v8tm3aaomy1ka, edro98mz0sqrfjed1o4bvl7md, 67j73dckmb73ntxo81hc840r9, bf7ph89zhr5y6rtct5k9bvqc4, 6kz7c7i4wzph7qlzi9nzt266t",3957809435,197,13091,3957809437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3957809429,130,6,3957809431,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3957809433,194,bwu80wn3lca4x2txuelku0a21,3957809425,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3957809427,59,"1, 12, 17, 4, 3, 6, 11, 8, 9, 38, 7, 15, 16, 18, 19, 21, 23, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493561999,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2022-12-27T14:15:35.370Z,2022-12-27T14:15:35Z,3957809997,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3957809999,59,"19, 21, 14, 6, 15, 18, 16, 8, 20, 10, 17, 4, 7, 9, 11, 22, 24, 30",3957810003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3957810001,130,18,3957809995,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, dxk79tuyij7y3gg7j1ad651t6, do0vklx8voqfr05b3j04ilex, 35f2se8cf2zmpxl45zulorpat, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, 7iruezvsore21eboc96g7oqtx, 8zcwhxcdh09wxdn29kzpox591, b1yok7nf3a2fu9voe0oy7o6ad, 16rur8pbshrs9xypsq7mnxzhl, 9bpm5m1tsplxq77m3cbpfm4t1, 4qafo1hp52b8lqsqkxym0d8lx, 7h6eazahfe5epf6zgx1b1urpx, 4luphb29oi2p9ftkag6xb69jp, dndv2nbwzzvgrlgf6gmeqtryt, az767vfe6ig8vwir9uu2eu3th, dlek4e9wgzy10smm0ph933nu2",3957810009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3957810007,197,16113,3957810005,194,8zcwhxcdh09wxdn29kzpox591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565837,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-12-27T15:00:24.792Z,2022-12-27T15:00:27Z,3957831155,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565835,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2022-12-27T15:00:24.792Z,2022-12-29T18:55:03Z,3957831153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565847,3,1,1,0,0,69t8imcdaqlgfbds2p58596my,1,50.1,49.9,2022-12-27T15:00:24.800Z,2022-12-29T22:44:57Z,3957831167,279,S,3957831157,56,Back,3960247243,178,,3957831165,213,3.0,3957831159,140,27.1,3957831163,212,24.3,3957831161,141,53.6,,,,8zcwhxcdh09wxdn29kzpox591,K. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565861,4,1,1,0,4,69t8imcdaqlgfbds2p58596my,0,27.5,55.1,2022-12-27T15:00:28.918Z,2022-12-29T22:45:01Z,3957831189,1,,3957831183,141,0.0,3957831181,140,79.3,3957831179,56,Right,3957831185,212,66.7,3957831187,213,5.7,3960247259,178,,3957831177,155,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565867,3,5,1,0,8,3ptd7zlc5isrongig0wij2id4,1,22.6,101.8,2022-12-27T15:00:33.709Z,2022-12-29T22:45:06Z,3957831213,347,,3957831211,56,Back,3957831215,233,5,,,,,,,,,,,,,,,,85vh43wsin67z2dj0iod12fop,L. Sibley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565863,5,5,1,0,8,69t8imcdaqlgfbds2p58596my,0,77.4,-1.8,2022-12-27T15:00:33.709Z,2022-12-29T22:45:06Z,3957831193,347,,3957831191,56,Right,3957831219,233,3,,,,,,,,,,,,,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565869,4,1,1,0,24,3ptd7zlc5isrongig0wij2id4,1,27.2,100,2022-12-27T15:00:48.969Z,2022-12-29T22:45:09Z,3957831229,141,91.7,3957831223,107,,3957831225,56,Back,3957831227,140,24.3,3957831233,213,4.3,3957831231,212,7.6,,,,,,,85vh43wsin67z2dj0iod12fop,L. Sibley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493565871,5,1,1,0,25,3ptd7zlc5isrongig0wij2id4,0,24.3,91.7,2022-12-27T15:00:50.778Z,2022-12-29T22:45:16Z,3960247361,178,,3957831245,140,53.6,3957831247,141,86.9,3957831241,157,,3957831243,56,Left,3957831253,1,,3957831251,213,6.2,3957831249,212,30.9,8y3obwxpwckjfl7hkrrg97sgl,C. Hourihane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
