id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2509081883,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-02-18T14:15:05.481Z,2023-02-18T15:09:21Z,4039405221,59,"13, 23, 3, 16, 5, 2, 14, 8, 22, 19, 10, 4, 11, 17, 18, 20, 21, 30",4039405219,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4039405223,130,18,4039405229,197,17269,4039405225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039405217,30,"3oyhjrd1ohnwf1x3d65997xzp, 4z5onwcaou5pjcz3kxncn8wl, 7cznyew8xg3fxfqeexid7pxt6, 987r1vdgx95x30elzrisjrzs9, bsrhtxhpnlxho2o4zvli5qmeh, 50c2v0l2cmkh82vso5tnjv3yt, 8olbkp9lqy3em5s9h7a4aod4a, 3jzhwh7lq7xzcz7clm28h0mvp, 33ci88veciqvd4w5y145dyooa, d5yupvahq6bf4nde1nmgro6lm, 5qek4jlkgmuv5vcda1hkiagnp, cqfbp8me2n00cve66v797omvp, 8g19rw3eni5p8jt5v1j9skwdl, 6fphke4c1tsj6xvvp7aki65sl, 50flg4aoq4l0glnh61yzngc7p, 2nqvzywi67fy7tx5p7d4kgo6i, exrh01dw52b651aet2am7v015, 1lu7wsceoivdbsvqanykrr07p",4039405231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039405227,194,bsrhtxhpnlxho2o4zvli5qmeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509081915,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-18T14:15:08.069Z,2023-02-18T14:15:08Z,4039405395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039405385,59,"1, 28, 7, 6, 21, 23, 24, 4, 14, 10, 9, 2, 3, 8, 15, 25, 27, 44",4039405391,194,e3ff2af2lxs0rl8c4r5ns4wd1,4039405381,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 2oqi7v6d676hbe9i9agdl9ckp, 9c3iyi7y3hdraso115kxmd87p, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, b6ctnwazqrxkw1639gn3vbahh, e3ff2af2lxs0rl8c4r5ns4wd1, 7b7ca1dklnp7reqcs5s4aauei, 5kyyaapya2gv5awlfgckmwpux, aral6zvx8qxkfqkqwb7ldfk5x, 61aryp2zoj2ymcd318t9i70lx, 2tu177su3bplnt4ru7bn3vsh5, 9mshr96m8q37ng7w30rvhkl3p, bkpr0uwpx5kbu2ms41uxoljah, 886i2kpcsn38tt7wqios1ip5, 2u4m2ja4yhgtqjgwns2om5y7e, dl5erap54x98spwt6vqc95uxh",4039405389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039405393,197,4631,4039405383,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4039405387,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509123789,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-02-18T15:01:51.681Z,2023-02-18T15:01:54Z,4039624187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509123759,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-18T15:01:51.681Z,2023-02-20T19:33:03Z,4039624063,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509123837,3,1,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,50.1,50.1,2023-02-18T15:01:51.781Z,2023-02-21T05:28:08Z,4039624433,140,42.2,4039624439,213,3.1,4039624431,56,Back,4047164155,178,,4039624435,141,51.1,4039624437,212,8.3,4039624441,279,S,,,,5qek4jlkgmuv5vcda1hkiagnp,S. Baldock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509123999,4,1,1,0,4,ahm0t06rup1bkd9z0mxl2lmph,0,43.5,52.8,2023-02-18T15:01:55.959Z,2023-02-21T05:28:11Z,4039625241,212,35.5,4039625237,140,74.6,4039625243,213,0.4,4047164199,178,,4039625245,1,,4039625239,141,73.3,4039625233,155,,4039625235,56,Center,8olbkp9lqy3em5s9h7a4aod4a,L. Bate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509124085,3,1,1,0,6,dmz37633qbsvl7gncq5s51yjw,1,24.1,23.5,2023-02-18T15:01:58.163Z,2023-02-21T05:28:14Z,4039625629,141,26.0,4039625623,3,,4039625625,56,Back,4039625627,140,40.0,4039625631,212,16.8,4039625635,213,0.1,4047164235,178,,,,,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509124155,4,1,1,0,7,dmz37633qbsvl7gncq5s51yjw,1,40.6,22.2,2023-02-18T15:01:59.305Z,2023-02-21T05:28:17Z,4039625961,141,28.3,4039625963,212,23.4,4039625955,155,,4039625959,140,62.5,4039625965,213,0.2,4047164289,178,,4039625957,56,Center,,,,b6ctnwazqrxkw1639gn3vbahh,C. McGrandles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509124169,5,49,1,0,8,dmz37633qbsvl7gncq5s51yjw,1,62.5,28.3,2023-02-18T15:02:00.352Z,2023-02-21T05:28:21Z,,,,,,,,,,,,,,,,,,,,,,,,,5kyyaapya2gv5awlfgckmwpux,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509124227,6,50,1,0,10,dmz37633qbsvl7gncq5s51yjw,1,50.1,16.1,2023-02-18T15:02:02.403Z,2023-02-21T05:28:28Z,4039626419,233,5,4039626329,56,Right,4039626331,286,,,,,,,,,,,,,,,,,5kyyaapya2gv5awlfgckmwpux,S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
