id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/15/value,qualifier/18/value
2492066543,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-12-17T14:14:27.642Z,2022-12-17T14:14:27Z,3949869937,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949869923,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, 85vh43wsin67z2dj0iod12fop, 8y3obwxpwckjfl7hkrrg97sgl, ebsspe8jslej9a253w4xpf55h, 69lg8jmug501h6biol5itk02y, e2sj7bhk2s9du1bs1vza1b4k5, bwu80wn3lca4x2txuelku0a21, a64e8yqggr7fmtdlyr9v80yxh, f2d0i9t2qeyppfqrdv6xzc3px, ddc712ebtmrrpvj4shekecus5, h4x8lz5ou8esdao80mvls9yi, e01znd47zh4hk0g8jx67wzl9m, 6kxph7ulzz58v8tm3aaomy1ka, 67j73dckmb73ntxo81hc840r9, bf7ph89zhr5y6rtct5k9bvqc4, 6kz7c7i4wzph7qlzi9nzt266t, 1la1hsnuheliwojwmcbxroy96",3949869935,197,4925,3949869931,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949869927,59,"1, 12, 17, 4, 3, 6, 11, 8, 9, 10, 7, 15, 16, 18, 21, 23, 33, 38",3949869933,194,bwu80wn3lca4x2txuelku0a21,3949869925,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3949869929,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492066611,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-17T14:14:44.422Z,2022-12-17T14:35:48Z,3949870391,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949870393,194,5vi8t2fffmk5kjfukazcmyo5x,3949870383,30,"535ecbyyd28elesvxtvbxurpx, 5kg7eu8b1wktru5ohpid8e9qt, 91mshvbc4rk9cf0chhgukakiy, 5vi8t2fffmk5kjfukazcmyo5x, 3dy32ujo7srhl6rq7vb9e97xm, 3x8j3d4oygoxsu75ipz0idt6, c3a6jpeg16b9zn02uf1yf9cyx, 693vankfkq50hufuwcz7hu8r9, cqgg8fu39fn7k9blog2zjpk2x, 88ltcmthybimleezmuyyrmqga, 2r64ekro7ydonu8jg7s12xyei, es83awo143gzdm1ohwqwpmjf9, ekcfj2t6pzdz36uzpw9q6c7vt, 8rjkn8s6e4s60167zdyukj9w5, bn65q0jh5fmyit8g8y4k9wsq2, dirgn9z2tdz1603md8x3dni6t, 7bhftcfa4g979xhfl0scobqvp, 67xd8llko9zszuwg63ffopje2",3949870387,59,"1, 2, 11, 6, 5, 3, 7, 8, 17, 18, 28, 9, 10, 14, 22, 24, 26, 27",3949870397,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949870389,130,18,3949870395,197,16116,3949870385,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074387,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2022-12-17T15:00:12.405Z,2022-12-17T15:00:12Z,3949913907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074391,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2022-12-17T15:00:12.405Z,2022-12-18T19:43:04Z,3949913923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074411,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,49.9,50,2022-12-17T15:00:12.422Z,2022-12-19T04:14:43Z,3951582159,178,,3949914013,56,Back,3949914017,141,53.6,3949914023,279,S,3949914019,212,20.0,3949914021,213,3.0,3949914015,140,31.0,,,,cqgg8fu39fn7k9blog2zjpk2x,K. McAllister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074437,4,1,1,0,2,17zuelixesst1z59fwcix2dil,1,31.1,51,2022-12-17T15:00:15.113Z,2022-12-19T04:14:46Z,3949914135,1,,3949914123,155,,3949914129,141,94.7,3949914133,213,0.6,3949914125,56,Left,3949914131,212,51.5,3949914127,140,71.2,3951582175,178,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074445,5,1,1,0,5,17zuelixesst1z59fwcix2dil,0,71.2,94.7,2022-12-17T15:00:18.193Z,2022-12-19T04:14:51Z,3949914185,213,0.3,3949914179,140,84.7,3949914175,3,,3949914183,212,14.8,3949914181,141,100.0,3949914177,56,Left,3951582183,388,,,,,2r64ekro7ydonu8jg7s12xyei,J. March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074521,3,5,1,0,8,3ptd7zlc5isrongig0wij2id4,1,15.6,-1.5,2022-12-17T15:00:20.586Z,2022-12-19T04:14:55Z,3949914547,347,,3949914545,56,Back,3949914549,233,6,,,,,,,,,,,,,,,,ebsspe8jslej9a253w4xpf55h,C. Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074447,6,5,1,0,8,17zuelixesst1z59fwcix2dil,0,84.4,101.5,2022-12-17T15:00:20.586Z,2022-12-19T04:14:55Z,3949914567,233,3,3949914189,347,,3949914187,56,Left,,,,,,,,,,,,,,,,91mshvbc4rk9cf0chhgukakiy,H. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492074527,4,1,1,0,22,3ptd7zlc5isrongig0wij2id4,1,21.5,0,2022-12-17T15:00:35.304Z,2022-12-19T04:14:59Z,3949914575,140,27.1,3949914579,212,10.3,3949914581,213,1.0,3949914577,141,10.4,3949914573,56,Back,3949914571,107,,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
