id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2537055713,6,49,1,0,12,8rfydplrc9ki0sirqi0drcybk,1,48.5,20.3,2023-04-22T14:00:29.540Z,2023-04-25T11:15:19Z,,,,,,,,,,,,,,,,,,,,,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055725,7,1,1,0,13,8rfydplrc9ki0sirqi0drcybk,1,48.5,20.3,2023-04-22T14:00:30.461Z,2023-04-25T11:15:23Z,4208448697,141,25.5,4219209521,178,,4208448701,213,0.2,4208448699,212,15.2,4208448695,140,62.6,4208448693,56,Center,,,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055753,8,1,1,0,14,8rfydplrc9ki0sirqi0drcybk,1,62.6,25.5,2023-04-22T14:00:31.304Z,2023-04-25T11:15:26Z,4219209557,178,,4208448801,213,5.2,4208448797,141,18.6,4208448799,212,5.4,4208448795,140,65.2,4208448793,56,Right,,,,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539072675,918,83,1,0,16,8w89tsles26jm12aoelwvlttt,1,34.2,81.5,2023-04-22T14:00:33.826Z,2023-04-25T11:39:03Z,4219239183,399,469841,,,,,,,,,,,,,,,,,,,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055769,9,1,1,0,16,8rfydplrc9ki0sirqi0drcybk,0,64.4,16.7,2023-04-22T14:00:33.836Z,2023-04-25T11:15:29Z,4208448897,212,3.9,4208448899,213,4.3,4208448893,140,63.0,4208448895,141,11.4,4219209597,178,,4208448891,56,Right,,,,,,,8bhf6lrrabp5tw5m8krirsm7e,P. Omochere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055771,6,61,1,0,16,8w89tsles26jm12aoelwvlttt,1,32.5,93,2023-04-22T14:00:33.883Z,2023-04-25T11:15:32Z,4208448905,56,Back,4219209639,178,,,,,,,,,,,,,,,,,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055823,10,1,1,0,17,8rfydplrc9ki0sirqi0drcybk,1,61.6,8.8,2023-04-22T14:00:34.689Z,2023-04-25T11:15:34Z,4219209669,178,,4208449151,212,9.3,4208449145,56,Right,4208449147,140,70.3,4208449149,141,11.3,4217803993,189,,4208449153,213,0.2,,,,5q6s3r5ychv1d3r1tch4sot05,S. Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055835,11,1,1,0,20,8rfydplrc9ki0sirqi0drcybk,0,89.9,2.7,2023-04-22T14:00:37.597Z,2023-04-25T11:15:36Z,4217804131,20,,4208449857,2,,4208449181,213,1.5,4219209723,178,,4208449177,141,11.2,4217804129,224,,4208449179,212,5.8,4208449173,56,Right,74p53a79q1tlis3a3gladqor9,J. Stockley,4208449175,140,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055813,7,61,1,0,20,8w89tsles26jm12aoelwvlttt,1,12.2,87.7,2023-04-22T14:00:37.715Z,2023-04-25T11:15:41Z,4219209813,178,,4208449103,56,Back,,,,,,,,,,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537055831,8,6,1,0,22,8w89tsles26jm12aoelwvlttt,0,5.8,86.4,2023-04-22T14:00:39.092Z,2023-04-25T11:15:45Z,4208449169,56,Back,4208449171,73,,4208449511,233,12,,,,,,,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
