id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/13/value,qualifier/11/value,qualifier/17/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2533583779,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-04-15T13:15:46.062Z,2023-04-15T13:20:15Z,4190043697,130,4,4190043699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4190043701,194,dqgptypyedqzff38kn24en3s9,4190043687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4190043705,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190043683,30,"af0te77bq4mgr7rkkqateiswl, dqgptypyedqzff38kn24en3s9, bydqclpl0ph9brgu0esubx0ph, 8f5io2957l6ye5u7bsan0ecfe, 3nxrsmys3v8ci6xeqsx8yaac5, cqbxzfg7eb97z1rx01kms6ay1, 1225w9qp3uzp1fkblmyidsfhm, dhty303ilcb4cocqv68324xk9, 3ft5brlvxvw8otiyjppxkk6ad, b9apqidquztaojf6e3my6v7bp, 2ykne43vtv8c00rvviyr3rre2, ncyqchqipvfl6nhgecnw3giy, 6s5n6ri7p16dbqb35b2dpl0wl, 5pf4sma6x95qcuhx6wmqqzu1h, b6p7xeo6oeep33e6fgt3h3gt1, b1or5u4dfuf4pvg7cgqnp3nxl, 1vni33hvf1nchb5gou5n5b2i2",4190043703,197,4867,4190043691,59,"1, 2, 23, 15, 5, 16, 22, 4, 9, 8, 17, 7, 12, 14, 18, 21, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533584685,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-15T13:16:38.097Z,2023-04-15T13:21:12Z,4190048737,197,16167,4190048735,194,5bkjye9thnohmdgzwsrsy1n9,4190048733,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4190048739,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190048727,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4190048731,130,8,4190048725,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, f5zei3x0mg1i5q3soziuy579, dbvkpe7bc9clualadtx9rf1uc, bbrx2s4fcp7uplly4hpbt3xed, 93kxb8ch3auv9li22mh1aidey, 99uiqjteov3qby19bs8kozill, cxfq8o3k68x1acwci3wx812w9, dez3rm7q89xk157fwnc3tgqcq, 4uywqjm0i2ik5cwhulbmzxi39, 5j5rrfad842t1nebfc4lwmket, am0ggkrw8rzw5shdvaceyr3kl, 4oogur7f8tfx3z011ap58ao5x, datykfu6jdjc3jlmi3flv7dud, 40wbrqny2ekenyy37ver8dyol, 5knn6bkjba6eh0torsnwrkl0q",4190048729,59,"1, 26, 3, 28, 2, 5, 7, 10, 18, 29, 27, 6, 8, 9, 12, 16, 22, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627041,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-04-15T14:00:25.542Z,2023-04-18T00:10:24Z,4190263961,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627057,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-15T14:00:25.542Z,2023-04-15T14:00:28Z,4190264025,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627111,3,1,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,50,50.1,2023-04-15T14:00:25.602Z,2023-04-18T00:15:46Z,4190264255,212,12.3,4190264259,279,S,4190264253,141,38.6,4199282301,178,,4190264257,213,3.8,4190264251,140,40.9,4190264249,56,Back,,,,b9apqidquztaojf6e3my6v7bp,D. Crowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627169,4,1,1,0,1,8xeuwzxnm7hdlbjjuezgfkz3w,1,38,44.3,2023-04-15T14:00:27.472Z,2023-04-18T00:15:58Z,4190264501,140,69.7,4190264497,56,Left,4190264511,213,0.7,4190264495,155,,4190264505,141,82.8,4190264515,1,,4190264509,212,42.3,4199282393,178,,1225w9qp3uzp1fkblmyidsfhm,J. Austerfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627181,5,44,1,0,4,8xeuwzxnm7hdlbjjuezgfkz3w,1,77.4,86.2,2023-04-15T14:00:30.053Z,2023-04-18T08:45:49Z,4190264567,233,3,4190264565,286,,4190264563,56,Left,,,,,,,,,,,,,,,,2ykne43vtv8c00rvviyr3rre2,C. Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627165,3,44,1,0,4,jv3jh5m5t7qy5t37vwwmnj16,0,22.6,13.8,2023-04-15T14:00:30.054Z,2023-04-18T00:16:06Z,4190264485,285,,4190264587,233,5,4190264483,56,Back,,,,,,,,,,,,,,,,f5zei3x0mg1i5q3soziuy579,J. Grimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627199,6,1,1,0,4,8xeuwzxnm7hdlbjjuezgfkz3w,0,67.8,85.5,2023-04-15T14:00:30.123Z,2023-04-18T08:45:49Z,4190264703,213,5.7,4199282547,388,,4190264695,56,Center,4190264699,141,72.1,4190264701,212,16.5,4190264693,3,,4190264697,140,80.9,,,,2ykne43vtv8c00rvviyr3rre2,C. Watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627193,4,1,1,0,6,jv3jh5m5t7qy5t37vwwmnj16,0,19.1,30.3,2023-04-15T14:00:31.683Z,2023-04-18T00:16:29Z,4190264659,140,31.6,4190264655,3,,4190264661,141,10.6,4190264657,56,Back,4199282661,388,,4190264665,213,5.5,4190264663,212,18.8,,,,dbvkpe7bc9clualadtx9rf1uc,C. Forino-Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627237,7,1,1,0,8,8xeuwzxnm7hdlbjjuezgfkz3w,1,68.4,90.1,2023-04-15T14:00:33.564Z,2023-04-18T00:16:37Z,4190264857,141,67.8,4190264853,56,Center,4190264855,140,81.2,4199282767,388,,4190264863,212,20.3,4190264867,213,5.4,4190264851,3,,,,,bydqclpl0ph9brgu0esubx0ph,P. Souaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533627277,8,50,1,0,9,8xeuwzxnm7hdlbjjuezgfkz3w,1,77.6,60.3,2023-04-15T14:00:35.223Z,2023-04-18T00:17:16Z,4190265039,56,Center,4190265043,286,,4190265175,233,5,,,,,,,,,,,,,,,,3ft5brlvxvw8otiyjppxkk6ad,C. Stockton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
