id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/9/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value
2509081807,1,34,16,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-02-18T14:15:02.325Z,2023-02-18T14:15:02Z,4039404813,59,"1, 21, 4, 20, 5, 16, 14, 15, 9, 8, 25, 2, 6, 7, 11, 12, 22, 29",4039404805,30,"af0te77bq4mgr7rkkqateiswl, b1or5u4dfuf4pvg7cgqnp3nxl, dhty303ilcb4cocqv68324xk9, a06js9xdgcoqq2mjjp9bbozu2, 3nxrsmys3v8ci6xeqsx8yaac5, cqbxzfg7eb97z1rx01kms6ay1, 5pf4sma6x95qcuhx6wmqqzu1h, 8f5io2957l6ye5u7bsan0ecfe, 3ft5brlvxvw8otiyjppxkk6ad, b9apqidquztaojf6e3my6v7bp, apgbqplqtvuc1dmdxi5gqhd04, dqgptypyedqzff38kn24en3s9, a69q0jj7tjwzxpo6b4i1ed3h1, ncyqchqipvfl6nhgecnw3giy, epb1j3o8uv7qo4yu31eoquicq, 6s5n6ri7p16dbqb35b2dpl0wl, 1225w9qp3uzp1fkblmyidsfhm, 1vni33hvf1nchb5gou5n5b2i2",4039404817,130,8,4039404829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039404825,194,af0te77bq4mgr7rkkqateiswl,4039404809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4039404821,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039404827,197,4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509081825,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-02-18T14:15:02.923Z,2023-02-18T14:15:03Z,4039404909,194,dxndu5lwom3srja7xhiadmdw5,4039404903,59,"1, 23, 15, 8, 5, 4, 11, 22, 9, 16, 10, 3, 6, 7, 24, 26, 28, 39",4039404905,130,8,4039404901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4039404907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4039404899,30,"4s848k6xkf7jqp11jkoit2a51, kxfjnow9ky2mxefjujv392ol, 9ofz3mgz4077lbkuba1l3kru1, 4y9ghbncgfgpv4qd604g8jw15, azp9bk80ozwjy2xx7tvqot5gp, em0i6q0h6q80melaxwx2nvz3e, 37ea7qzvbzt3zr4y2q4o5boq, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, czsjz7u9u01z5a4pyue7tu5wq, 6ictgtdi9ogl7n8dqh4dm1fxl, 2k02tiy3x2a7o11h0kxw33fmd, 6cfr9qa1khqzv5oxsi8d3ug9h, 9iwkidg6lykej8vrhfz6z4ct1, 1zpxu396rz1b3gymuheg69h3p, 1ur2h01o6jgewwzydb2caggoa, 45i2fz3wya2x8gsa1hn8yd65m, dzboc2cmovo7k3g70y5socpn9",4039404911,197,16178,4039404913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121477,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-02-18T15:00:36.252Z,2023-02-18T15:00:36Z,4039613323,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121493,2,32,1,0,0,8xeuwzxnm7hdlbjjuezgfkz3w,1,0,0,2023-02-18T15:00:36.252Z,2023-02-20T18:58:00Z,4039613407,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121527,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,50.4,50,2023-02-18T15:00:36.342Z,2023-02-21T06:06:45Z,4047179717,178,,4039613551,141,54.3,4039613557,279,S,4039613553,212,17.1,4039613555,213,3.0,4039613547,56,Back,4039613549,140,34.4,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121733,4,1,1,0,2,5jjqm8h6qm1w4s5f93uubhdrj,0,37,60,2023-02-18T15:00:39.045Z,2023-02-21T06:06:48Z,4039614453,213,5.5,4039614455,1,,4039614451,212,61.8,4039614447,140,80.3,4039614443,157,,4039614445,56,Right,4039614449,141,0.0,4047179735,178,,9ofz3mgz4077lbkuba1l3kru1,N. Ogbeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121889,3,5,1,0,9,8xeuwzxnm7hdlbjjuezgfkz3w,1,19.3,101.5,2023-02-18T15:00:45.898Z,2023-02-21T06:06:50Z,4039615167,56,Back,4039615197,233,5,4039615169,347,,,,,,,,,,,,,,,,,dhty303ilcb4cocqv68324xk9,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121791,5,5,1,0,9,5jjqm8h6qm1w4s5f93uubhdrj,0,80.7,-1.5,2023-02-18T15:00:45.898Z,2023-02-21T06:06:50Z,4039614769,56,Right,4039615233,233,3,4039614771,347,,,,,,,,,,,,,,,,,dxndu5lwom3srja7xhiadmdw5,J. Clarke-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121985,4,1,1,0,18,8xeuwzxnm7hdlbjjuezgfkz3w,1,14.9,100,2023-02-18T15:00:54.986Z,2023-02-21T06:06:54Z,4039615619,213,6.1,4039615611,56,Back,4039615617,212,18.8,4039615613,140,32.5,4039615615,141,96.0,4039615607,107,,,,,,,,dhty303ilcb4cocqv68324xk9,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509122003,5,1,1,0,20,8xeuwzxnm7hdlbjjuezgfkz3w,0,32.5,96,2023-02-18T15:00:56.442Z,2023-02-21T06:06:57Z,4047179793,388,,4039615731,141,92.0,4039615733,212,8.0,4039615735,213,5.9,4039615725,168,,4039615723,3,,4039615727,56,Back,4039615729,140,39.7,apgbqplqtvuc1dmdxi5gqhd04,A. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
