id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,qualifier/19/value
2516962337,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-03-07T19:00:29.052Z,2023-03-07T19:00:29Z,4081075151,30,"4s848k6xkf7jqp11jkoit2a51, 93hm64q02lz37wj7xzbkv1m1h, 9ofz3mgz4077lbkuba1l3kru1, 4y9ghbncgfgpv4qd604g8jw15, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, kxfjnow9ky2mxefjujv392ol, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, czsjz7u9u01z5a4pyue7tu5wq, 6ictgtdi9ogl7n8dqh4dm1fxl, 2k02tiy3x2a7o11h0kxw33fmd, 3e79d5436l57bfj3ywbjvfr6y, boc9kr63xs5j2lx89tl1vjxsl, 1zpxu396rz1b3gymuheg69h3p, 1ur2h01o6jgewwzydb2caggoa, 45i2fz3wya2x8gsa1hn8yd65m, dzboc2cmovo7k3g70y5socpn9",4081075157,130,8,4081075161,194,dxndu5lwom3srja7xhiadmdw5,4081075159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4081075155,59,"1, 12, 15, 8, 6, 4, 23, 22, 9, 16, 10, 3, 17, 18, 24, 26, 28, 39",4081075153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4081075163,197,16178,4081075165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516962341,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-03-07T19:00:30.031Z,2023-03-07T19:49:19Z,4081075187,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4081075181,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4081075191,197,4889,4081075179,30,"ezg39hlg3h14utboy2h3lijmd, dovxfzsqb5e7by2q6kq0j2z1l, diw7je3i5mkvwf0kj898yi0gl, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, cmq9t6wadet4rrj3cvkjst7ca, 1g9uh6aokaevbg7s6v2jh8h78, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, 6hkzb4vehsx4wwm9y98euwacq, 31xl77lt8tax7bta6s45p9fpx, bydla0otire1a58193o1buqjt, 1l9z6glh9h9yt7awb7t9rsgoa, 3mudv2ein3iuv9smhmkk9vod0",4081075189,194,62azuux8vuk6956cuyjjtped,4081075183,59,"1, 15, 6, 33, 22, 5, 7, 3, 20, 24, 18, 9, 13, 14, 17, 26, 27, 30",4081075185,130,18,4081075193,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970873,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-03-07T19:46:14.236Z,2023-03-09T19:29:15Z,4081120867,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970877,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-03-07T19:46:14.236Z,2023-03-07T19:46:17Z,4081120889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970905,3,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,49.7,50,2023-03-07T19:46:14.249Z,2023-03-09T20:38:32Z,4084537785,178,,4081121017,140,27.2,4081121025,212,24.3,4081121029,213,2.9,4081121033,279,S,4081121013,56,Back,4081121021,141,58.4,,,,4y9ghbncgfgpv4qd604g8jw15,J. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970923,4,1,1,0,2,5jjqm8h6qm1w4s5f93uubhdrj,0,29.1,59.4,2023-03-07T19:46:16.672Z,2023-03-09T20:38:34Z,4081121107,212,43.8,4081121111,1,,4081121101,56,Center,4081121099,157,,4081121109,213,5.8,4084537891,178,,4081121103,140,65.1,4081121105,141,26.8,9ofz3mgz4077lbkuba1l3kru1,N. Ogbeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970963,3,1,1,0,4,82kapkjwonlv9j1ui0ytv5sii,1,29.2,67.9,2023-03-07T19:46:19.141Z,2023-03-09T20:38:39Z,4081121353,1,,4081121349,212,37.2,4084538133,178,,4081121347,141,58.8,4081121341,3,,4081121351,213,6.1,4081121343,56,Center,4081121345,140,64.1,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970965,4,49,1,0,6,82kapkjwonlv9j1ui0ytv5sii,1,65.9,59.1,2023-03-07T19:46:20.907Z,2023-03-09T20:38:43Z,,,,,,,,,,,,,,,,,,,,,,,,,cmq9t6wadet4rrj3cvkjst7ca,C. Saydee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970983,5,1,1,0,7,82kapkjwonlv9j1ui0ytv5sii,0,68,59.3,2023-03-07T19:46:21.545Z,2023-03-09T20:38:49Z,4081121425,141,64.2,4081121423,140,67.6,4081121429,213,1.7,4081121421,56,Center,4084538417,178,,4081121427,212,3.4,,,,,,,cmq9t6wadet4rrj3cvkjst7ca,C. Saydee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517761543,1842,43,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2023-03-07T19:46:22.516Z,2023-03-10T12:05:08Z,4085301819,233,1058,4085302459,144,67,,,,,,,,,,,,,,,,,,,ewtroels9b5fc9hv9c2laj90q,H. Kyprianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517761537,1058,43,1,0,8,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-03-07T19:46:22.517Z,2023-03-10T12:05:08Z,4085301841,233,1842,4085302455,144,67,,,,,,,,,,,,,,,,,,,1g9uh6aokaevbg7s6v2jh8h78,T. Bloxham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517761709,1843,67,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,1,34.1,35.5,2023-03-07T19:46:22.623Z,2023-03-10T12:25:28Z,4085302643,233,1059,,,,,,,,,,,,,,,,,,,,,,ewtroels9b5fc9hv9c2laj90q,H. Kyprianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517761707,1059,67,1,0,8,82kapkjwonlv9j1ui0ytv5sii,0,65.9,64.5,2023-03-07T19:46:22.624Z,2023-03-10T12:05:16Z,4085302649,233,1843,,,,,,,,,,,,,,,,,,,,,,1g9uh6aokaevbg7s6v2jh8h78,T. Bloxham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516970979,5,1,1,0,8,5jjqm8h6qm1w4s5f93uubhdrj,0,40.6,39.5,2023-03-07T19:46:22.629Z,2023-03-10T12:25:28Z,4081121453,233,6,4081121413,140,38.7,4084538607,178,,4081121451,236,,4081121411,56,Back,4081121415,141,34.9,4081121457,286,,4081121417,212,3.7,ewtroels9b5fc9hv9c2laj90q,H. Kyprianou,4081121419,213,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
