id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/18/value
2540644555,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-04-29T13:02:49.739Z,2023-04-29T14:28:07Z,4234549475,59,"13, 26, 28, 8, 22, 4, 20, 16, 14, 9, 23, 7, 15, 18, 21, 47, 50, 54",4234549487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234549483,194,f1rmwe24zg4697bqpc3z0y40l,4234549469,30,"4e1c6yk50fl8hnwv6u1132j85, 5q6s3r5ychv1d3r1tch4sot05, 937mkgz0gstvxyjiwfe9xiuzu, f1rmwe24zg4697bqpc3z0y40l, b5j2ib54sum2pmzthjmfmr55h, 6tqiy5a5cfpfm90j8r5udl8bu, 8bhf6lrrabp5tw5m8krirsm7e, 71or1ne6d9zuo038qdt6vcvoq, e8whj7tdfmuk66shr30htmhud, 74p53a79q1tlis3a3gladqor9, 3tlocewlh3mb53wd0hk8nucbt, 3je74tc5emuou6ckwdbscsbu, f4m43umaxgf5apvbrm1nbrh1w, emuuuhvah1jtq2fqs9ybfovvu, e4xeswr8cpdkmlhijuf7oonsa, 2gqq7q2f23bpdhnbradftoqok, b1cn7i49cjjiifnfw6xu18xsk, 7n8smc6fu5kcnmkm3bicgo36c",4234549473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4234549477,130,8,4234549485,197,4616,4234549481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540656645,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-29T13:15:07.937Z,2023-04-29T14:05:25Z,4234612849,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 7edc89hg3r6ueacgnkde7fzvu, do0vklx8voqfr05b3j04ilex, 74vpeqcguo2sb2qgpt3b6zq3t, 9eaozqsxv2347nryh9pkmg251, dndv2nbwzzvgrlgf6gmeqtryt, 9bpm5m1tsplxq77m3cbpfm4t1, 8zcwhxcdh09wxdn29kzpox591, az767vfe6ig8vwir9uu2eu3th, b1yok7nf3a2fu9voe0oy7o6ad, 64tpd90skhh1yj8yztefhahn9, 7iruezvsore21eboc96g7oqtx, cqcwoymcrgf7wdi6091zplecp, 6q06inb8ukzfsrxy0arxl78q1, 7ybjr8x5s8j4zj17p544h6rmy, d866x81xlp0h24rtpg9jbczbp, dd5h02pcz142eha2peyc0j2s5",4234612851,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4234612857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234612853,59,"19, 21, 27, 6, 18, 2, 22, 4, 20, 24, 10, 3, 8, 11, 16, 25, 29, 35",4234612855,130,18,4234612859,194,9eaozqsxv2347nryh9pkmg251,4234612863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234612861,197,16113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698407,2,43,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-29T14:01:24.328Z,2023-04-29T14:01:38Z,4234820485,127,Left to Right,4234822145,144,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698485,3,43,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-04-29T14:01:24.428Z,2023-04-29T14:01:28Z,4234821035,144,1,4234820813,279,S,4234820805,140,50.1,4234820809,212,0,4234820807,141,50.3,4234820803,56,Center,4234820811,213,3.1,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698419,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-04-29T14:01:42.702Z,2023-04-29T14:01:43Z,4234820543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698815,3,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-04-29T14:01:42.702Z,2023-05-01T18:22:39Z,4234822369,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698945,4,1,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,50.1,50.1,2023-04-29T14:01:42.713Z,2023-05-01T18:27:24Z,4234823065,212,16.6,4234823069,279,S,4234823061,140,34.4,4234823059,56,Back,4234823067,213,3.2,4234823063,141,47.9,4243894229,178,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699005,5,1,1,0,3,8rfydplrc9ki0sirqi0drcybk,1,34.1,49,2023-04-29T14:01:46.148Z,2023-05-01T18:27:26Z,4243894319,178,,4234823317,213,5.9,4234823313,141,25.2,4234823309,56,Center,4234823319,1,,4234823315,212,42.0,4234823311,140,71.0,4234823307,155,,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540699031,6,44,1,0,6,8rfydplrc9ki0sirqi0drcybk,1,73.5,25.6,2023-04-29T14:01:48.932Z,2023-05-02T09:09:07Z,4234823425,233,4,4234823373,286,,4234823371,56,Center,,,,,,,,,,,,,,,,8bhf6lrrabp5tw5m8krirsm7e,P. Omochere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698989,4,44,1,0,6,69t8imcdaqlgfbds2p58596my,0,26.5,74.4,2023-04-29T14:01:48.933Z,2023-05-01T18:27:30Z,4234823243,285,,4234823475,233,6,4234823241,56,Back,,,,,,,,,,,,,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
