id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2540656485,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-29T13:15:00.373Z,2023-04-29T14:04:27Z,4234611963,59,"38, 26, 3, 28, 5, 6, 18, 4, 9, 12, 27, 1, 7, 10, 16, 22, 29, 35",4234611959,30,"5knn6bkjba6eh0torsnwrkl0q, 7fvj3ev8ov0cnalck9x48z3kl, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, dbvkpe7bc9clualadtx9rf1uc, 4uywqjm0i2ik5cwhulbmzxi39, 99uiqjteov3qby19bs8kozill, d22nvvj315b99fncrui6ezzkl, am0ggkrw8rzw5shdvaceyr3kl, 4oogur7f8tfx3z011ap58ao5x, dez3rm7q89xk157fwnc3tgqcq, 1sw0ywyl0cgn97mu65tnzv0t1, bbrx2s4fcp7uplly4hpbt3xed, 93kxb8ch3auv9li22mh1aidey, datykfu6jdjc3jlmi3flv7dud, 40wbrqny2ekenyy37ver8dyol, cxfq8o3k68x1acwci3wx812w9, ei0u7w8capvepbm7g08bh6dck",4234611969,194,5bkjye9thnohmdgzwsrsy1n9,4234611967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234611973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234611961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4234611965,130,8,4234611971,197,16167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540656515,1,34,16,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-04-29T13:15:01.769Z,2023-04-29T13:57:20Z,4234612155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234612151,194,75c432elegprf4f6hn72icset,4234612143,59,"1, 22, 15, 6, 14, 2, 8, 23, 32, 10, 27, 3, 4, 7, 9, 20, 34, 37",4234612147,130,18,4234612137,30,"dtl2jirk97xct4idsoj2vxbs9, 9em8141j1bdvykowhmoyeob85, 4i81y9jhkouk3zmd03gjp1gx5, ab7t8dk9884hrwa88o41wq8dl, 552cgdv8qya776at130r2d0mi, 75c432elegprf4f6hn72icset, 61allnul4qlvl9s6wf0nehped, btlomqnhw2ft72iwg7xbaoh2i, cjwflve6ukph4h2az1irm099l, 7617zihboc2wywyoyou6nhuqd, 4hcjk936uj5hm4bmnnin5nsh5, eslpks0nl5y4vnn6xi13iuqqx, 6n2iaeukutepfiee2nvfpvofe, ea28jq8w3nc9koizvgffy5a7d, dgnkrsmri0xznduprfjwfro8a, 9fdbjgbp780ql3ugygbuhie3t, 4kg1zi1c92yxf23t15hvpl2hh, 9axxrbxkk15aa3wdyj66gyr6c",4234612139,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4234612149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234612153,197,4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698221,2,32,1,0,0,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-04-29T14:01:17.079Z,2023-04-29T14:01:20Z,4234819683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698207,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-29T14:01:17.079Z,2023-05-02T12:49:20Z,4234819643,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698321,3,1,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,49.7,50.4,2023-04-29T14:01:17.104Z,2023-05-02T09:53:38Z,4234820143,279,S,4234820133,56,Back,4244412721,178,,4234820139,212,24.9,4234820137,141,64.8,4234820141,213,2.7,4234820135,140,27.9,,,,4oogur7f8tfx3z011ap58ao5x,G. McCleary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542201821,800,1,1,0,1,jv3jh5m5t7qy5t37vwwmnj16,1,35.7,63.1,2023-04-29T14:01:18.440Z,2023-05-02T09:53:44Z,4242820817,213,3.7,4242820813,141,60.5,4244412881,178,,4242820809,56,Back,4242820811,140,32.9,4242820815,212,3.4,,,,,,,7pia2vfewavgyc8d7pvgr7owl,J. Scowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698395,4,1,1,0,3,jv3jh5m5t7qy5t37vwwmnj16,1,32.3,61.4,2023-04-29T14:01:20.173Z,2023-05-02T09:53:49Z,4234820423,212,20.8,4234820425,213,1.4,4234820421,141,91.2,4244412995,178,,4234820419,140,36.6,4234820417,56,Back,,,,,,,4uywqjm0i2ik5cwhulbmzxi39,R. Tafazolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540698509,5,1,1,0,6,jv3jh5m5t7qy5t37vwwmnj16,1,41.1,89.3,2023-04-29T14:01:23.566Z,2023-05-02T09:53:52Z,4234820923,56,Center,4234820931,213,5.5,4234820929,212,41.0,4244413051,178,,4234820927,141,47.9,4234820925,140,69.5,4234820933,1,,4234820921,155,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542517493,1006,67,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,1,69.7,47.1,2023-04-29T14:01:25.349Z,2023-05-02T14:10:16Z,4244542267,233,926,,,,,,,,,,,,,,,,,,,,,,am0ggkrw8rzw5shdvaceyr3kl,S. Vokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542517481,926,67,1,0,8,fvr504m6gaxsfmtx4fwm7iq1,0,30.3,52.9,2023-04-29T14:01:25.350Z,2023-05-02T11:24:50Z,4244542283,233,1006,,,,,,,,,,,,,,,,,,,,,,ab7t8dk9884hrwa88o41wq8dl,L. Freestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
