id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/14/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value
2543087167,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-05-03T17:57:37.492Z,2023-05-03T18:35:49Z,4247569527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247569521,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4247569523,194,8nudzikxeestbjz4yww8r13v9,4247569519,130,8,4247569525,197,4823,4247569513,30,"bbmhqdyxk4tx05jrnv9m64rje, 2cchpb5ta326qtjrb9zpeerro, dkzos23k1n5ufrdg886p2dxt6, 5n4yyffs5f8b7exry819c4xxx, 8nudzikxeestbjz4yww8r13v9, 2di9tk08yuqcb4wn9dvmwh97t, 5djouum2kdazpcjf79gbk2ju1, 8wnv741y7ghjolf8g5c7psru1, 4eg87cdkpgishec2gc9stm8oa, h4g0ji8lk43f7zcpl79henai, 1uqgky0sxqjs8bqd2h75rnmjt, df3lhrpu9m9mqhk1h7hov4ic5, 8fx84vh2k1x9c0dn66tivtzop, enwfqkgv2m6hfwwjmbvfx9m1h, a6w8k42asmtixpi0orgxh7aj8, biwjsmk8ytz2k4d9f141jw15h, 39gerw0vkyeriats1e0rgdn56, 47z5u2des1we7tu4x4cefj4t0",4247569517,59,"24, 36, 44, 4, 2, 5, 11, 7, 8, 17, 10, 9, 14, 21, 25, 34, 39, 30",4247569515,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543087191,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-05-03T17:57:42.343Z,2023-05-03T18:35:50Z,4247569657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4247569653,59,"1, 28, 11, 4, 21, 23, 7, 24, 10, 14, 26, 3, 8, 9, 15, 20, 25, 44",4247569651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4247569655,130,8,4247569661,197,17032,4247569663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4247569659,194,e3ff2af2lxs0rl8c4r5ns4wd1,4247569649,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 8x2yublirj5430deybqft0xxx, e3ff2af2lxs0rl8c4r5ns4wd1, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, 2oqi7v6d676hbe9i9agdl9ckp, b6ctnwazqrxkw1639gn3vbahh, 5kyyaapya2gv5awlfgckmwpux, 7b7ca1dklnp7reqcs5s4aauei, b3cehdu46pljqap9xw1j7pcyx, 2tu177su3bplnt4ru7bn3vsh5, 9mshr96m8q37ng7w30rvhkl3p, aral6zvx8qxkfqkqwb7ldfk5x, bkpr0uwpx5kbu2ms41uxoljah, 4jdmkdjk3nyontplaz0evug9h, 886i2kpcsn38tt7wqios1ip5, dl5erap54x98spwt6vqc95uxh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119597,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-05-03T18:45:01.135Z,2023-05-03T18:45:01Z,4247750283,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119603,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-05-03T18:45:01.135Z,2023-05-06T00:12:45Z,4247750299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119645,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,49.8,49.9,2023-05-03T18:45:01.319Z,2023-05-06T04:33:46Z,4247750577,140,27.6,4247750593,279,S,4247750575,56,Back,4247750587,213,3.2,4247750581,141,49.3,4247750585,212,23.3,4253197989,178,,,,,7b7ca1dklnp7reqcs5s4aauei,J. Lankester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119657,4,1,1,0,3,dmz37633qbsvl7gncq5s51yjw,0,28.3,48.7,2023-05-03T18:45:04.856Z,2023-05-06T04:33:49Z,4253198009,178,,4247750647,157,,4247750653,141,67.9,4247750651,140,97.1,4247750657,213,0.2,4247750655,212,73.4,4247750659,1,,4247750649,56,Center,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119757,3,52,1,0,10,8mbtyq0has0uu0565fm9t5cdo,1,2.3,35.7,2023-05-03T18:45:11.249Z,2023-05-06T04:33:56Z,4253198047,178,,4251777137,377,,,,,,,,,,,,,,,,,,,,bbmhqdyxk4tx05jrnv9m64rje,J. Amissah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119981,4,1,1,0,22,8mbtyq0has0uu0565fm9t5cdo,1,12.4,37.6,2023-05-03T18:45:23.493Z,2023-05-06T04:34:00Z,4247752365,212,59.1,4247752367,213,6.2,4247752363,141,29.5,4247752359,56,Center,4247752361,140,68.4,4247752357,199,,4247752369,1,,,,,bbmhqdyxk4tx05jrnv9m64rje,J. Amissah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119987,5,44,1,0,25,8mbtyq0has0uu0565fm9t5cdo,1,69.8,37.2,2023-05-03T18:45:26.768Z,2023-05-06T07:30:04Z,4247752383,56,Center,4247752385,286,,4247752421,233,5,,,,,,,,,,,,,,,,5n4yyffs5f8b7exry819c4xxx,A. Oshilaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543119983,5,44,1,0,25,dmz37633qbsvl7gncq5s51yjw,0,30.2,62.8,2023-05-03T18:45:26.769Z,2023-05-06T04:34:04Z,4247752375,56,Back,4247752427,233,5,4247752377,285,,,,,,,,,,,,,,,,,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
