id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/8/value,assist,qualifier/14/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2503725623,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-04T14:15:25.055Z,2023-02-04T14:15:25Z,4011238699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011238685,130,18,4011238675,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 2oqi7v6d676hbe9i9agdl9ckp, 9c3iyi7y3hdraso115kxmd87p, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, e3ff2af2lxs0rl8c4r5ns4wd1, b6ctnwazqrxkw1639gn3vbahh, b3cehdu46pljqap9xw1j7pcyx, 5kyyaapya2gv5awlfgckmwpux, aral6zvx8qxkfqkqwb7ldfk5x, 61aryp2zoj2ymcd318t9i70lx, 2tu177su3bplnt4ru7bn3vsh5, 7b7ca1dklnp7reqcs5s4aauei, bkpr0uwpx5kbu2ms41uxoljah, 4lws9jepuxzs33zbt3w1ff9ih, 886i2kpcsn38tt7wqios1ip5, 2u4m2ja4yhgtqjgwns2om5y7e",4011238681,59,"1, 28, 7, 6, 21, 23, 4, 24, 26, 10, 9, 2, 3, 14, 15, 18, 25, 27",4011238679,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4011238689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4011238693,194,e3ff2af2lxs0rl8c4r5ns4wd1,4011238697,197,4631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503725689,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-04T14:15:27.979Z,2023-02-04T14:53:52Z,4011239093,197,4778,4011239095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011239089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4011239091,194,dgzuswl2pnk7t03ts7nguholx,4011239087,130,17,4011239081,30,"4905drgcc9husos98ppdup4gl, 6v9kb953ugi8odu4tdly7v3yt, a9352zsh3xr7rcxs0jmho7o8a, c4p70bri4hf1ktz4xfv5j87vt, dp69i4w71wdxciwbgus5cmbpx, b7yfyzrvj7yjo48pu8faqnvft, 7hduohz6mo32mbtdepyv5u7yt, dgzuswl2pnk7t03ts7nguholx, 1feu2co3n49llnckcxffuo79x, 7fpcipp26a9fqes841ad7lh3p, 28izur14k14lcgegg8qede7yt, ab2bx5qzhdzlduh46iacngbf9, 6b7fxcw7upr57pku6gf6dteqd, 1uyg5c61jzqickqaegb07yk15, b7lmlxy1s3atzgtud5ofsc92h, d3si5voqkdc8did5gkp67tg5w, coupcn8k43jf15nqge220qo5x, 6bejhzrjgg7dz6cp6s45rah91",4011239085,59,"1, 7, 3, 4, 2, 34, 8, 5, 9, 33, 10, 11, 19, 27, 29, 30, 31, 44",4011239083,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503779005,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-02-04T15:01:42.830Z,2023-02-07T00:18:02Z,4011501769,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503778977,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2023-02-04T15:01:42.830Z,2023-02-04T15:01:42Z,4011501637,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503779279,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,50.1,49.4,2023-02-04T15:01:42.919Z,2023-02-07T04:46:28Z,4011502959,56,Back,4011502961,140,32.6,4011502965,212,18.9,4011502963,141,43.1,4011502967,213,3.4,4018305345,178,,4011502969,279,S,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503779289,4,1,1,0,2,8b523ujgl21tbc01me65q0aoh,1,32.6,43.1,2023-02-04T15:01:45.774Z,2023-02-07T04:46:31Z,4011502987,140,77.9,4011502985,56,Left,4018305369,178,,4017328779,155,,4011502989,141,80.0,4011502991,212,53.8,4011502993,213,0.5,4011502995,1,,dp69i4w71wdxciwbgus5cmbpx,R. Keogh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503779303,5,44,1,0,5,8b523ujgl21tbc01me65q0aoh,1,78.2,77.2,2023-02-04T15:01:48.734Z,2023-02-07T10:03:01Z,4011503069,56,Center,4011503071,286,,4011503165,233,3,,,,,,,,,,,,,,,,1feu2co3n49llnckcxffuo79x,F. Ladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503779299,3,44,1,0,5,dmz37633qbsvl7gncq5s51yjw,0,21.8,22.8,2023-02-04T15:01:48.735Z,2023-02-07T04:46:36Z,4011503205,233,5,4011503039,285,,4011503037,56,Back,,,,,,,,,,,,,,,,asy3qn4557iy3r55yl4v9xj9x,M. Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503779309,6,61,1,0,5,8b523ujgl21tbc01me65q0aoh,1,77.9,80,2023-02-04T15:01:48.823Z,2023-02-07T10:03:01Z,4018305505,388,,4018305503,15,,4011503101,56,Left,,,,,,,,,,,,,,,,1feu2co3n49llnckcxffuo79x,F. Ladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503779313,4,49,1,0,7,dmz37633qbsvl7gncq5s51yjw,1,8.4,31.8,2023-02-04T15:01:50.529Z,2023-02-07T04:46:52Z,,,,,,,,,,,,,,,,,,,,,,,,,6s4sb4st1ploeraxawlckr4r9,R. Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
