id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId
2539178343,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-04-25T18:00:24.094Z,2023-04-25T18:55:59Z,4219815485,130,4,4219815481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4219815489,194,bdquc37ytagmw19zgrehnryz9,4219815479,30,"byo7r7emgxz5oiauh2z75vpp1, ejmi6qqszz1509excckyj3n1m, f0sa0skucdf742t06hsmi8ne2, 9jj7t00bb5zflz78nlz3bvllg, c4hif6j7tldh0w7oeq8v9pcve, 6hq92cx2829wfuzxmfhg1xpm1, 4n37rih2qtphgtjxzo2id5f55, 3pxdg41xbkbajeuxovusa2v9x, 5pafzbbuucga9ut20l6ckj7u2, dz04k2zt87y78ku9g14sxm21h, bdquc37ytagmw19zgrehnryz9, 6wax1hh875vpvfi1fbetwmtey, 6q5iqhaxdzqhj3jt0eptjvbv9, 9s6ec1a12gozqwjlsyo7y8gr9, bgly2zwf7qro0phmd6hkry6ll, f4qyrav5wfp55jyprdoq1upcl, c651trgr0pihuppxxd31z6go9, 401czina66h20pz9fg2d8l6y2",4219815483,59,"1, 30, 3, 22, 5, 17, 21, 8, 40, 9, 10, 2, 6, 7, 18, 19, 28, 31",4219815487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4219815493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219815491,197,4819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539178359,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-25T18:00:30.599Z,2023-04-25T18:00:30Z,4219815587,59,"25, 8, 17, 3, 6, 5, 20, 7, 11, 26, 10, 4, 9, 16, 18, 21, 28, 32",4219815599,197,16120,4219815591,130,17,4219815595,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4219815601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4219815581,30,"82h98ebusz83rox95oi9kafh1, 5udpap0himq2ggsw4f0o5hqdx, 4lz9m2nwif7tql9hqsv2u7vft, 5a86e1pl8b7ibmrkz3h6gs1yh, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, ab9z3kubalp5l33vbi4a8n0iy, 9llmzvk9nw1kwy73o8z9f8usp, 6rzq8xkkst4hgbh2ysj52gwyx, 944ptuekuetkjifbeaycqcoh5, alhqwxs7t2pxxxuztmvy1ibpx, 2q6bsyszm27v5uvs30j5ty311, 9w0nk2mz77jqc62v4gv1h0vkl, 4xxoasz03erxlyonu2t8y5fqh, 4mjzjj2p0pzyw0hcq4no9y0o9, 4cyf8fcefkz6433g76okyd65m, 6q0zzgnbbzsbubnekye5dunai, ba8qp1eswz0kzcr0245r7q8kp",4219815583,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4219815597,194,5udpap0himq2ggsw4f0o5hqdx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187005,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-25T18:44:37.451Z,2023-04-27T13:36:52Z,4219864865,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187009,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-04-25T18:44:37.451Z,2023-04-25T18:44:40Z,4219864879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187039,3,1,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,50,50,2023-04-25T18:44:37.541Z,2023-04-28T00:41:51Z,4219865067,279,S,4230679647,178,,4219865059,140,35.1,4219865061,141,50.6,4219865065,213,3.1,4219865057,56,Back,4219865063,212,15.7,,,,944ptuekuetkjifbeaycqcoh5,C. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187055,4,1,1,0,1,5g1fnexeromjl0lvnxp8hpnhi,0,35.1,50.6,2023-04-25T18:44:38.972Z,2023-04-28T00:41:55Z,4219865141,141,100.0,4219865145,213,0.8,4219865135,155,,4219865139,140,69.8,4219865143,212,50.2,4230679723,178,,4219865147,1,,4219865137,56,Left,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187143,3,5,1,0,5,5pfqedkme2kabtqhkln35pf3l,1,29.6,-1.6,2023-04-25T18:44:42.806Z,2023-04-28T00:41:56Z,4219865609,347,,4219865607,56,Back,4219865623,233,5,,,,,,,,,,,,,,,,ejmi6qqszz1509excckyj3n1m,L. Hoole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187057,5,5,1,0,5,5g1fnexeromjl0lvnxp8hpnhi,0,70.4,101.6,2023-04-25T18:44:42.806Z,2023-04-28T00:41:57Z,4219865629,233,3,4219865151,347,,4219865149,56,Left,,,,,,,,,,,,,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187161,4,1,1,0,19,5pfqedkme2kabtqhkln35pf3l,1,31.2,0,2023-04-25T18:44:56.483Z,2023-04-28T00:42:01Z,4219865731,212,18.4,4219865723,107,,4219865729,141,3.5,4219865725,56,Back,4219865733,213,0.2,4219865727,140,48.4,,,,,,,ejmi6qqszz1509excckyj3n1m,L. Hoole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187165,5,61,1,0,20,5pfqedkme2kabtqhkln35pf3l,0,48.4,3.5,2023-04-25T18:44:58.268Z,2023-04-28T00:42:14Z,4230679945,178,,4219865741,56,Back,,,,,,,,,,,,,,,,,,,5pafzbbuucga9ut20l6ckj7u2,J. Coburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539378433,980,49,1,0,21,5g1fnexeromjl0lvnxp8hpnhi,1,55,87.3,2023-04-25T18:44:59.389Z,2023-04-28T00:42:20Z,,,,,,,,,,,,,,,,,,,,,,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187187,6,1,1,0,21,5g1fnexeromjl0lvnxp8hpnhi,0,47.2,79.6,2023-04-25T18:44:59.396Z,2023-04-28T00:42:23Z,4230680181,178,,4219865857,1,,4219865845,157,,4219865849,140,83.8,4219865853,212,41.1,4219865847,56,Left,4219865855,213,0.4,4219865851,141,100.0,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187277,6,5,1,0,26,5pfqedkme2kabtqhkln35pf3l,1,19.6,-1.7,2023-04-25T18:45:03.953Z,2023-04-28T00:42:27Z,4219866291,347,,4219866305,233,7,4219866289,56,Back,,,,,,,,,,,,,,,,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187195,7,5,1,0,26,5g1fnexeromjl0lvnxp8hpnhi,0,80.4,101.7,2023-04-25T18:45:03.953Z,2023-04-28T00:42:27Z,4219866335,233,6,4219865897,56,Left,4219865899,347,,,,,,,,,,,,,,,,,ab9z3kubalp5l33vbi4a8n0iy,A. Randell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187299,7,1,1,0,39,5pfqedkme2kabtqhkln35pf3l,1,23.3,0,2023-04-25T18:45:17.396Z,2023-04-28T00:42:30Z,4219866411,212,16.3,4219866407,140,38.1,4219866413,213,0.3,4219866409,141,5.5,4219866405,56,Back,4219866403,107,,,,,,,,ejmi6qqszz1509excckyj3n1m,L. Hoole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187305,8,61,1,0,41,5pfqedkme2kabtqhkln35pf3l,0,38.1,5.5,2023-04-25T18:45:19.343Z,2023-04-28T00:42:38Z,4219866439,56,Back,4230680463,178,,,,,,,,,,,,,,,,,,,,5pafzbbuucga9ut20l6ckj7u2,J. Coburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187323,8,1,1,0,42,5g1fnexeromjl0lvnxp8hpnhi,1,59.2,76.7,2023-04-25T18:45:19.976Z,2023-04-28T00:42:44Z,4230680581,178,,4219866549,140,58.8,4219866555,213,1.7,4219866547,56,Left,4219866551,141,82.0,4219866553,212,3.6,,,,,,,alhqwxs7t2pxxxuztmvy1ibpx,D. Mayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187327,9,49,1,0,43,5g1fnexeromjl0lvnxp8hpnhi,1,58.8,82,2023-04-25T18:45:20.972Z,2023-04-28T00:42:50Z,,,,,,,,,,,,,,,,,,,,,,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187335,10,1,1,0,45,5g1fnexeromjl0lvnxp8hpnhi,1,58.8,82,2023-04-25T18:45:22.877Z,2023-04-28T00:42:54Z,4219866609,212,6.4,4230680709,178,,4219866605,140,54.9,4219866603,56,Center,4219866611,213,4.0,4219866607,141,74.8,,,,,,,4lz9m2nwif7tql9hqsv2u7vft,B. Mumba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539187359,11,1,1,0,45,5g1fnexeromjl0lvnxp8hpnhi,0,54.9,74.8,2023-04-25T18:45:23.437Z,2023-04-28T00:42:58Z,4230680765,178,,4219866693,56,Left,4219866705,213,0.4,4219866701,212,21.6,4219866695,140,73.5,4219866697,141,88.4,,,,,,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
