id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2526444805,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-04-01T13:15:38.210Z,2023-04-01T13:15:38Z,4152071015,194,62azuux8vuk6956cuyjjtped,4152071005,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 6t0n68hbpi4fa6lzt815gyc5w, cmq9t6wadet4rrj3cvkjst7ca, 6hkzb4vehsx4wwm9y98euwacq, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, 31xl77lt8tax7bta6s45p9fpx, 1g9uh6aokaevbg7s6v2jh8h78, 1l9z6glh9h9yt7awb7t9rsgoa, 3mudv2ein3iuv9smhmkk9vod0",4152071009,59,"1, 6, 26, 33, 22, 5, 7, 3, 8, 24, 14, 9, 13, 17, 18, 27, 30",4152071019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152071013,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4152071007,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4152071017,197,4206,4152071011,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526444867,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-04-01T13:15:41.414Z,2023-04-01T13:15:41Z,4152071391,194,egr5n9jynbg3llc2tn2g5ncnp,4152071381,59,"31, 28, 3, 4, 24, 6, 10, 21, 33, 17, 43, 1, 2, 8, 19, 32, 35, 48",4152071377,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, 5sfchvj1d5dgpwc6j5oshhkut, egr5n9jynbg3llc2tn2g5ncnp, 2r6gxw9yjxvaplv70ftq7wout, 8xxeuttt1yy26qf8w73bqua51, effzy3ttltffcz92a3ro4woa, 6a08s0d0sgt7iw37spmo4bro5, ebsl5dh99nsoun0lksywr31n8, ald5oocxwh4pip8fw6v3ym8h6, 4hgji0bnqpsqezk5ctxq3ggh6, 46q465awyk7ndr9faq83vmuw9, 56g3fffeygobuei72gnkm9a09, cvxq0jdcg97tafit6s7s447v9, evb6gpvuutmnisv9d12gs0xcl, 91alifyhplzo2de1tooerpgfe, 2vw0m5bib6bnr5n1hsxkxe904, 68jyn13uu405w4npr317v5las",4152071385,130,4,4152071399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152071395,197,4825,4152071379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4152071389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490205,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2023-04-01T14:03:25.183Z,2023-04-03T22:43:09Z,4152299349,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490231,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-04-01T14:03:25.183Z,2023-04-01T14:03:29Z,4152299459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490319,3,1,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,50,50.5,2023-04-01T14:03:25.242Z,2023-04-04T04:06:17Z,4152299871,212,12.5,4152299867,140,38.3,4162160601,178,,4152299873,213,3.0,4152299869,141,53.8,4152299865,56,Back,4152299875,279,S,,,,ap3mja91coq7mbr6xkqvbss7p,C. Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490439,4,1,1,0,1,82kapkjwonlv9j1ui0ytv5sii,0,34.2,60,2023-04-01T14:03:26.832Z,2023-04-04T04:06:23Z,4152300545,1,,4162160701,178,,4152300529,56,Center,4152300543,213,6.2,4152300525,155,,4152300537,141,53.0,4152300541,212,41.1,4152300531,140,73.1,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490537,3,1,1,0,5,2ezfenuwk3y65p8jdbj55xqt0,1,34.7,28.5,2023-04-01T14:03:30.545Z,2023-04-04T04:06:31Z,4152301027,56,Back,4152301031,141,46.3,4152301029,140,31.7,4152301035,213,1.8,4162160883,388,,4152301025,3,,4152301033,212,12.5,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490549,4,49,1,0,7,2ezfenuwk3y65p8jdbj55xqt0,1,32.4,49.9,2023-04-01T14:03:32.388Z,2023-04-04T04:06:42Z,,,,,,,,,,,,,,,,,,,,,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490693,5,1,1,0,7,2ezfenuwk3y65p8jdbj55xqt0,1,32.3,56.7,2023-04-01T14:03:32.635Z,2023-04-04T04:06:45Z,4152301801,141,67.6,4152301811,213,2.5,4152301799,140,22.7,4152301795,56,Back,4152301805,212,12.5,4162161115,178,,4161073181,155,,,,,6a08s0d0sgt7iw37spmo4bro5,S. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526490785,6,1,1,0,9,2ezfenuwk3y65p8jdbj55xqt0,1,22.7,68.8,2023-04-01T14:03:34.686Z,2023-04-04T04:06:51Z,4152302305,1,,4152302303,213,0.0,4162161233,178,,4152302299,212,33.9,4152302293,140,55.0,4152878611,155,,4152302297,141,70.8,4152302291,56,Center,5sfchvj1d5dgpwc6j5oshhkut,T. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
