id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,keyPass,qualifier/12/value,qualifier/8/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2507747553,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-14T19:00:02.354Z,2023-02-14T19:54:20Z,4032349147,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, f5zei3x0mg1i5q3soziuy579, datykfu6jdjc3jlmi3flv7dud, dez3rm7q89xk157fwnc3tgqcq, 93kxb8ch3auv9li22mh1aidey, am0ggkrw8rzw5shdvaceyr3kl, bbrx2s4fcp7uplly4hpbt3xed, 99uiqjteov3qby19bs8kozill, dbvkpe7bc9clualadtx9rf1uc, 4oogur7f8tfx3z011ap58ao5x, dbev6jhnro87n6ghueorfz27d, 40wbrqny2ekenyy37ver8dyol, 1kw6qz2pi7wlam068oeirztud, cxfq8o3k68x1acwci3wx812w9, 5knn6bkjba6eh0torsnwrkl0q",4032349159,197,16167,4032349161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032349157,194,5bkjye9thnohmdgzwsrsy1n9,4032349149,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4032349153,130,8,4032349155,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4032349151,59,"1, 26, 3, 28, 2, 16, 27, 10, 9, 7, 18, 5, 12, 19, 22, 23, 29, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507747563,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-14T19:00:05.573Z,2023-02-14T19:00:05Z,4032349219,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4032349221,59,"1, 14, 11, 15, 43, 50, 6, 22, 25, 7, 20, 2, 8, 12, 18, 28, 30, 39",4032349227,194,dzitwscdk6ogkf6bstbrik53p,4032349225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4032349229,197,16212,4032349231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032349217,30,"3wew9tjsjrsoyioiuzd7ve356, 8w9kh0cuund2pw8wzs0rjrbah, dzitwscdk6ogkf6bstbrik53p, 4eyngv286u5zbtppuih1g67s9, 2vwxulro5pc73zviman08je38, ag8f1ksvfel1a0y49d0iypuui, 6ipjgy0ewyx7mnmolu0pp0mw9, a5cmnj0nhdbux68291ipqcei2, 20z2xkmqc3em5dol00ko4sp62, 7uhajc3suc68vemamuc3dyvp, f4ef7in4fxoylsy29anhgqep5, 2asjeedy6igcuixqktdmk5k2x, 8i4qnoil4877e0wpwx3fj5b10, djjkjjtiuwnbaau5lv6iqkwr9, 4m5w23fmydm3or1ff42hgeqne, ex0gkrnzj98vrwpk9tpcfw91x, 2hdl7ccy1jxh95aa00x1nlnu, dv1g5fozbyj5r55grfp8x7uac",4032349223,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751553,2,43,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-14T19:45:59.148Z,2023-02-14T19:46:15Z,4032371707,144,32,4032370685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751829,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-14T19:46:18.225Z,2023-02-16T06:38:43Z,4032372025,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751839,3,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-02-14T19:46:18.225Z,2023-02-14T19:46:21Z,4032372057,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751877,3,1,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,49.4,49.6,2023-02-14T19:46:18.393Z,2023-02-17T05:50:51Z,4032372253,140,31.3,4036620695,178,,4032372251,56,Back,4032372255,141,72.0,4032372261,279,S,4032372259,213,2.5,4032372257,212,24.4,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751911,4,1,1,0,3,5qwskbjpa17fvmtuu5qijy7cz,1,30.4,71.7,2023-02-14T19:46:21.258Z,2023-02-17T05:50:53Z,4032372415,213,4.6,4032372411,141,44.0,4032372413,212,18.9,4036620761,178,,4032372409,140,29.2,4032372407,56,Back,,,,,,,4eyngv286u5zbtppuih1g67s9,M. Sangare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751949,5,1,1,0,5,5qwskbjpa17fvmtuu5qijy7cz,0,28.6,45.5,2023-02-14T19:46:23.458Z,2023-02-17T05:50:56Z,4032372595,213,6.3,4032372587,56,Center,4032372591,141,45.4,4036620833,178,,4032372593,212,29.1,4032372589,140,56.3,4032372585,155,,,,,2vwxulro5pc73zviman08je38,A. Pickles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751955,4,44,1,0,7,jv3jh5m5t7qy5t37vwwmnj16,1,42.2,52,2023-02-14T19:46:26.180Z,2023-02-17T07:26:15Z,4032372703,233,6,4032372631,285,,4032372625,56,Back,,,,,,,,,,,,,,,,7pia2vfewavgyc8d7pvgr7owl,J. Scowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507751959,6,44,1,0,7,5qwskbjpa17fvmtuu5qijy7cz,0,57.8,48,2023-02-14T19:46:26.181Z,2023-02-17T05:50:59Z,4032372663,286,,4032372661,56,Center,4032372753,233,4,,,,,,,,,,,,,,,,f4ef7in4fxoylsy29anhgqep5,A. Pressley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
