id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2511934405,1,34,16,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-02-25T14:15:38.450Z,2023-02-25T15:22:51Z,4054463533,130,17,4054463523,30,"biwjsmk8ytz2k4d9f141jw15h, 8nudzikxeestbjz4yww8r13v9, a6sikfu3j1pp7mlfcdte2inoq, 18loyx03olyhtkt6scybwr8q1, 2di9tk08yuqcb4wn9dvmwh97t, 2kecmwyt730pi8z3pnsqs1l1x, 8wnv741y7ghjolf8g5c7psru1, 5n4yyffs5f8b7exry819c4xxx, byem8e04h7nlgk9ythcswoley, 4eg87cdkpgishec2gc9stm8oa, 39gerw0vkyeriats1e0rgdn56, 3yamg9wboimwxyklpekdxgxxx, 1uqgky0sxqjs8bqd2h75rnmjt, 5djouum2kdazpcjf79gbk2ju1, 8fx84vh2k1x9c0dn66tivtzop, 102xw59l2wg2jsd03w6vkgine, h4g0ji8lk43f7zcpl79henai, enwfqkgv2m6hfwwjmbvfx9m1h",4054463531,59,"34, 2, 37, 12, 5, 6, 7, 4, 18, 8, 39, 1, 10, 11, 14, 16, 17, 21",4054463543,197,4823,4054463527,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4054463537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054463545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054463539,194,8nudzikxeestbjz4yww8r13v9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511934463,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-25T14:15:42.785Z,2023-02-25T15:22:50Z,4054463883,197,16213,4054463877,130,18,4054463885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054463881,194,ex0gkrnzj98vrwpk9tpcfw91x,4054463873,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4054463875,59,"1, 2, 14, 15, 16, 50, 25, 28, 11, 7, 20, 9, 18, 21, 22, 23, 30, 39",4054463871,30,"3wew9tjsjrsoyioiuzd7ve356, 2asjeedy6igcuixqktdmk5k2x, 8w9kh0cuund2pw8wzs0rjrbah, 4eyngv286u5zbtppuih1g67s9, a2g77lv071rnz76ujh30364tl, ag8f1ksvfel1a0y49d0iypuui, 20z2xkmqc3em5dol00ko4sp62, ex0gkrnzj98vrwpk9tpcfw91x, dzitwscdk6ogkf6bstbrik53p, 7uhajc3suc68vemamuc3dyvp, f4ef7in4fxoylsy29anhgqep5, a634junjbgfa84200m3khvw0l, 4m5w23fmydm3or1ff42hgeqne, 8vwzh7t772qg1r3uxo83eiqui, a5cmnj0nhdbux68291ipqcei2, a2hmi1q39n8xmxhy2u1q533oq, 2hdl7ccy1jxh95aa00x1nlnu, dv1g5fozbyj5r55grfp8x7uac",4054463879,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981173,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-02-25T15:02:43.081Z,2023-02-25T15:02:46Z,4054692225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981149,2,32,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,0,0,2023-02-25T15:02:43.081Z,2023-02-27T20:26:02Z,4054692119,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981295,3,1,1,0,0,8mbtyq0has0uu0565fm9t5cdo,1,50.1,50.1,2023-02-25T15:02:43.123Z,2023-02-28T07:49:22Z,4062818997,178,,4054692741,213,3.4,4054692727,140,29.2,4054692735,212,22.7,4054692721,56,Back,4054692731,141,41.6,4054692747,279,S,,,,8wnv741y7ghjolf8g5c7psru1,J. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981423,4,1,1,0,2,8mbtyq0has0uu0565fm9t5cdo,1,28.6,43.3,2023-02-25T15:02:45.467Z,2023-02-28T03:53:42Z,4054693391,212,25.0,4054693393,213,1.6,4054693389,141,80.0,4062819257,178,,4054693385,56,Back,4054693387,140,27.5,,,,,,,2di9tk08yuqcb4wn9dvmwh97t,S. Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981485,5,1,1,0,5,8mbtyq0has0uu0565fm9t5cdo,0,30.1,82.4,2023-02-25T15:02:48.809Z,2023-02-28T03:53:32Z,4054693747,213,6.2,4054693741,140,72.8,4062819437,178,,4054693745,212,45.1,4054693737,155,,4054693743,141,75.6,4054693749,1,,4054693739,56,Center,18loyx03olyhtkt6scybwr8q1,J. Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981491,3,44,1,0,7,5qwskbjpa17fvmtuu5qijy7cz,1,25.2,29.7,2023-02-25T15:02:50.717Z,2023-02-28T08:56:06Z,4054693887,233,6,4054693777,285,,4054693775,56,Back,,,,,,,,,,,,,,,,ag8f1ksvfel1a0y49d0iypuui,Baba Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981501,6,44,1,0,7,8mbtyq0has0uu0565fm9t5cdo,0,74.8,70.3,2023-02-25T15:02:50.718Z,2023-02-28T03:53:55Z,4054694143,233,3,4054693813,56,Center,4054693815,286,,,,,,,,,,,,,,,,,byem8e04h7nlgk9ythcswoley,G. Yahyai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981531,4,1,1,0,7,5qwskbjpa17fvmtuu5qijy7cz,1,30.6,21,2023-02-25T15:02:50.789Z,2023-02-28T08:56:07Z,4054693993,56,Back,4054693995,140,34.7,4054693991,3,,4054693997,141,39.8,4054694001,213,1.2,4062819879,388,,4054693999,212,13.5,,,,ag8f1ksvfel1a0y49d0iypuui,Baba Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
