id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2535563977,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-18T18:00:01.756Z,2023-04-18T18:52:02Z,4200537559,197,16168,4200537553,130,7,4200537555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4200537549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4200537551,59,"1, 2, 3, 28, 5, 6, 7, 10, 9, 22, 12, 8, 16, 18, 26, 27, 29, 38",4200537561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4200537557,194,5bkjye9thnohmdgzwsrsy1n9,4200537547,30,"1sw0ywyl0cgn97mu65tnzv0t1, f5zei3x0mg1i5q3soziuy579, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, dbvkpe7bc9clualadtx9rf1uc, 4uywqjm0i2ik5cwhulbmzxi39, bbrx2s4fcp7uplly4hpbt3xed, 93kxb8ch3auv9li22mh1aidey, am0ggkrw8rzw5shdvaceyr3kl, 40wbrqny2ekenyy37ver8dyol, 4oogur7f8tfx3z011ap58ao5x, 5j5rrfad842t1nebfc4lwmket, datykfu6jdjc3jlmi3flv7dud, 99uiqjteov3qby19bs8kozill, 7fvj3ev8ov0cnalck9x48z3kl, dez3rm7q89xk157fwnc3tgqcq, cxfq8o3k68x1acwci3wx812w9, 5knn6bkjba6eh0torsnwrkl0q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535563993,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-04-18T18:00:03.298Z,2023-04-18T18:00:03Z,4200537669,197,4631,4200537663,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4200537665,194,e3ff2af2lxs0rl8c4r5ns4wd1,4200537661,130,8,4200537657,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4200537655,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 8x2yublirj5430deybqft0xxx, e3ff2af2lxs0rl8c4r5ns4wd1, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, 2oqi7v6d676hbe9i9agdl9ckp, b6ctnwazqrxkw1639gn3vbahh, 5kyyaapya2gv5awlfgckmwpux, 7b7ca1dklnp7reqcs5s4aauei, b3cehdu46pljqap9xw1j7pcyx, aral6zvx8qxkfqkqwb7ldfk5x, bkpr0uwpx5kbu2ms41uxoljah, 4lws9jepuxzs33zbt3w1ff9ih, 4jdmkdjk3nyontplaz0evug9h, 886i2kpcsn38tt7wqios1ip5, c48yjuxzle51y3k7kr1fcyk4q, dl5erap54x98spwt6vqc95uxh",4200537659,59,"1, 28, 11, 4, 21, 23, 7, 24, 10, 14, 26, 9, 15, 18, 20, 25, 42, 44",4200537671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577009,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-04-18T18:46:28.016Z,2023-04-20T20:03:45Z,4200607053,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577027,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-18T18:46:28.016Z,2023-04-18T18:46:31Z,4200607139,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577065,3,1,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,50.4,49.9,2023-04-18T18:46:28.026Z,2023-04-21T00:17:31Z,4200607359,141,56.1,4200607355,56,Back,4200607367,279,S,4200607361,212,18.5,4200607357,140,33.2,4205056709,178,,4200607363,213,2.9,,,,93kxb8ch3auv9li22mh1aidey,L. Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577143,4,1,1,0,3,jv3jh5m5t7qy5t37vwwmnj16,0,33.3,62.9,2023-04-18T18:46:31.443Z,2023-04-21T00:17:40Z,4200607777,140,68.1,4205056777,178,,4200607781,212,54.8,4200607775,56,Right,4200607785,1,,4200607783,213,5.4,4200607773,155,,4200607779,141,2.9,4uywqjm0i2ik5cwhulbmzxi39,R. Tafazolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577157,3,1,1,0,6,dmz37633qbsvl7gncq5s51yjw,0,25.9,93.6,2023-04-18T18:46:34.584Z,2023-04-21T00:17:46Z,4200607859,56,Back,4200607867,213,0.6,4200607865,212,7.9,4200607857,3,,4205056983,388,,4200607861,140,32.0,4200607863,141,100.0,,,,8x2yublirj5430deybqft0xxx,H. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577165,4,5,1,0,8,dmz37633qbsvl7gncq5s51yjw,0,32.8,101.2,2023-04-18T18:46:36.530Z,2023-04-21T00:17:56Z,4200607887,347,,4200608615,233,5,4200607885,56,Back,,,,,,,,,,,,,,,,8x2yublirj5430deybqft0xxx,H. Dunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577305,5,5,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,1,67.2,-1.2,2023-04-18T18:46:36.530Z,2023-04-21T00:17:55Z,4200608595,56,Right,4200608597,347,,4200608611,233,4,,,,,,,,,,,,,,,,4uywqjm0i2ik5cwhulbmzxi39,R. Tafazolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535577361,6,1,1,0,18,jv3jh5m5t7qy5t37vwwmnj16,1,69.1,0,2023-04-18T18:46:46.148Z,2023-04-21T00:18:02Z,4200608823,56,Right,4200608829,212,12.8,4200608821,107,,4200608825,140,80.6,4200608831,213,0.3,4200608827,141,4.3,,,,,,,f5zei3x0mg1i5q3soziuy579,J. Grimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
