id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2545004087,1,34,16,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-05-07T10:15:01.126Z,2023-05-07T11:01:07Z,4257807309,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4257807313,130,13,4257807317,194,5mx96hmn7ophhuvmybmf1esid,4257807311,59,"1, 21, 3, 15, 5, 2, 26, 12, 18, 28, 11, 6, 9, 22, 24, 31, 32, 37",4257807315,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4257807319,197,4637,4257807321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257807307,30,"9tlowuu89l3fnv5iowela1ca2, 6g8w8yuvkuayxcegsvzcjmmzt, 91mshvbc4rk9cf0chhgukakiy, dwp8bqc4rdleti92n0s6q9rdh, e9zi7fb2t4akk1pzjpuhe4bf9, 5mx96hmn7ophhuvmybmf1esid, 5dsht0mnmpm2asallpju46ms5, cz9jf3ozld7o0hns2xmn54b56, 43dtg3eg858i3agncnpq3p1wp, uc2ekz3foqyl9djmicme4t4a, 33eqc4ye34v5r0ix9cqg9fo4p, 76j19abwcie5w5hptkewlh0bt, 4db9vewyt9kiqtqd5e0rloodm, 94pt7ikxi5cdjhbqf7vi9xg4p, 1y7e8a23pc4xlc6ori1o1b8tm, e7wnuabfcue5japm1i85fs02y, 322ut6dhdlh98w6dh7a2wcmqc, 9l63vr1jzhipe0hqerepcevbo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545004099,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-05-07T10:15:03.197Z,2023-05-07T10:19:32Z,4257807395,194,62azuux8vuk6956cuyjjtped,4257807391,130,18,4257807385,30,"ezg39hlg3h14utboy2h3lijmd, 31xl77lt8tax7bta6s45p9fpx, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, diw7je3i5mkvwf0kj898yi0gl, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 6t0n68hbpi4fa6lzt815gyc5w, 79a7csp3rppvt5e5q02zmolhx, 6hkzb4vehsx4wwm9y98euwacq, 4qris4sdzvtlkw5i3cmhhowrt, dovxfzsqb5e7by2q6kq0j2z1l, 1g9uh6aokaevbg7s6v2jh8h78, cmq9t6wadet4rrj3cvkjst7ca, 1l9z6glh9h9yt7awb7t9rsgoa, 3mudv2ein3iuv9smhmkk9vod0",4257807389,59,"1, 17, 26, 33, 22, 6, 7, 3, 8, 9, 14, 13, 15, 18, 24, 27, 30",4257807397,197,4206,4257807399,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4257807387,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4257807393,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028263,2,32,1,0,0,b3vbyitzi3nrw9ehj1eoko219,1,0,0,2023-05-07T11:00:07.395Z,2023-05-09T13:46:38Z,4257938443,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028279,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-05-07T11:00:07.395Z,2023-05-07T11:00:11Z,4257938527,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028295,3,1,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,50,50.3,2023-05-07T11:00:07.402Z,2023-05-10T05:46:20Z,4257938599,141,48.5,4257938603,213,3.2,4265703679,178,,4257938595,56,Back,4257938601,212,13.2,4257938605,279,S,4257938597,140,37.5,,,,ap3mja91coq7mbr6xkqvbss7p,C. Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028309,4,1,1,0,3,82kapkjwonlv9j1ui0ytv5sii,0,30.2,48.7,2023-05-07T11:00:10.503Z,2023-05-10T05:46:24Z,4257938673,56,Back,4257938685,213,5.9,4265703725,178,,4257938679,141,45.1,4257938669,155,,4257938683,212,7.1,4257938675,140,36.5,,,,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028315,3,61,1,0,3,b3vbyitzi3nrw9ehj1eoko219,1,62,66.9,2023-05-07T11:00:10.596Z,2023-05-10T05:46:29Z,4265703771,178,,4257938713,56,Center,,,,,,,,,,,,,,,,,,,43dtg3eg858i3agncnpq3p1wp,B. House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028339,4,49,1,0,6,b3vbyitzi3nrw9ehj1eoko219,1,23.2,94.4,2023-05-07T11:00:13.888Z,2023-05-10T05:46:36Z,,,,,,,,,,,,,,,,,,,,,,,,,91mshvbc4rk9cf0chhgukakiy,H. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028349,5,61,1,0,7,b3vbyitzi3nrw9ehj1eoko219,0,24.3,92.9,2023-05-07T11:00:14.820Z,2023-05-10T05:46:40Z,4265703887,178,,4257938891,56,Back,,,,,,,,,,,,,,,,,,,91mshvbc4rk9cf0chhgukakiy,H. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545028355,5,49,1,0,8,82kapkjwonlv9j1ui0ytv5sii,1,55.5,16.1,2023-05-07T11:00:15.869Z,2023-05-10T05:46:44Z,,,,,,,,,,,,,,,,,,,,,,,,,ap3mja91coq7mbr6xkqvbss7p,C. Winchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
