id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2477256571,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-25T18:00:09.943Z,2022-10-25T18:00:10Z,3871950461,59,"1, 18, 28, 4, 24, 6, 17, 21, 14, 9, 43, 2, 3, 10, 12, 13, 19, 22",3871950469,197,4825,3871950471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3871950459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3871950463,130,2,3871950457,30,"46q465awyk7ndr9faq83vmuw9, dsvr61cfalun7n0y262elcrth, 9z75i0zrgtuumyixz8dl9ysbt, egr5n9jynbg3llc2tn2g5ncnp, 2r6gxw9yjxvaplv70ftq7wout, 949hjt6noiqcg888992n2961h, ald5oocxwh4pip8fw6v3ym8h6, 6a08s0d0sgt7iw37spmo4bro5, 1uqgky0sxqjs8bqd2h75rnmjt, 74p53a79q1tlis3a3gladqor9, 4hgji0bnqpsqezk5ctxq3ggh6, 56g3fffeygobuei72gnkm9a09, 5sfchvj1d5dgpwc6j5oshhkut, effzy3ttltffcz92a3ro4woa, b6ctnwazqrxkw1639gn3vbahh, biwjsmk8ytz2k4d9f141jw15h, evb6gpvuutmnisv9d12gs0xcl, 6m0h2e4kygi2hx6nf9b24cv6d",3871950467,194,74p53a79q1tlis3a3gladqor9,3871950465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477256589,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-10-25T18:00:14.161Z,2022-10-25T18:46:01Z,3871950585,130,13,3871950583,59,"1, 22, 21, 33, 3, 5, 6, 14, 9, 11, 19, 4, 7, 10, 20, 23, 28, 30",3871950579,30,"32sqctjujedqsab4xwy1pwlbd, 8bx76kurepj0yqe9iixa0zyp6, 9j8icoctjp1icwle91r62q76x, 9r28zj6fz3z8dzojktwambsut, 5obqs1ezswoc3ns0c9k4qai8l, 2hhatd33vvokrbemn4echivhl, 8uch2zjj8vxmfi2l544j5ipxx, 9qeg65oa5skmypxvt73vckfrp, 6evqqxq5e0y1uvigg6bss4frp, 299g43uwcj4dblia1bihagmol, 9y8gvjzrsvgxkcfvq99mivdyi, 1vfuzp09s9oj95ruav4ln9ch6, 3jitoqthsisleiprkhni7gycp, 2uids8ea8jv4r62psqj37x3e2, 7wgynxj11urhizi5r3girip2i, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui, 87t5bq8gb92jo9vdj3wfc6jxm",3871950591,194,5obqs1ezswoc3ns0c9k4qai8l,3871950587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3871950581,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3871950597,197,2084,3871950601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265433,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2022-10-25T18:45:40.892Z,2022-10-25T18:45:43Z,3871998339,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265427,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-10-25T18:45:40.892Z,2022-10-27T06:48:31Z,3871998311,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265437,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,50,50.5,2022-10-25T18:45:41.022Z,2022-10-27T09:44:04Z,3871998353,213,3.1,3871998347,140,36.3,3874931733,178,,3871998355,279,S,3871998345,56,Back,3871998351,212,14.4,3871998349,141,51.3,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265505,4,1,1,0,2,8w89tsles26jm12aoelwvlttt,0,32.3,46.7,2022-10-25T18:45:43.641Z,2022-10-27T09:44:13Z,3871998601,140,65.3,3871998609,1,,3874932033,178,,3871998597,155,,3871998605,212,47.3,3871998599,56,Left,3871998603,141,94.1,3871998607,213,0.7,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265529,3,44,1,0,5,2ezfenuwk3y65p8jdbj55xqt0,1,28,7.6,2022-10-25T18:45:46.365Z,2022-10-28T10:23:03Z,3871998715,285,,3871998721,233,5,3871998713,56,Back,,,,,,,,,,,,,,,,dsvr61cfalun7n0y262elcrth,M. Egbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265507,5,44,1,0,5,8w89tsles26jm12aoelwvlttt,0,72,92.4,2022-10-25T18:45:46.366Z,2022-10-27T09:44:19Z,3871998621,56,Left,3871998737,233,3,3871998623,286,,,,,,,,,,,,,,,,,9j8icoctjp1icwle91r62q76x,D. Harvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265537,4,1,1,0,5,2ezfenuwk3y65p8jdbj55xqt0,0,39.6,8,2022-10-25T18:45:46.459Z,2022-10-28T10:23:03Z,3874932389,388,,3871998753,212,2.8,3871998747,56,Back,3871998745,3,,3871998755,213,0.1,3871998751,141,8.3,3871998749,140,42.3,,,,dsvr61cfalun7n0y262elcrth,M. Egbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477265579,6,1,1,0,7,8w89tsles26jm12aoelwvlttt,1,53.8,93.2,2022-10-25T18:45:48.152Z,2022-10-27T09:44:31Z,3874932661,178,,3871998959,213,0.1,3871998949,56,Left,3871998951,140,65.3,3871998947,155,,3871998953,141,94.5,3871998955,212,12.1,,,,9r28zj6fz3z8dzojktwambsut,Z. Jules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
