id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2497182229,1,34,16,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-01-14T14:15:38.227Z,2023-01-15T18:09:47Z,3976869579,59,"13, 28, 3, 4, 22, 32, 20, 16, 9, 8, 21, 23, 7, 11, 14, 18, 19, 50",3976869575,30,"4e1c6yk50fl8hnwv6u1132j85, 937mkgz0gstvxyjiwfe9xiuzu, czwcateaukr5r9yibdem642qd, 6tqiy5a5cfpfm90j8r5udl8bu, b5j2ib54sum2pmzthjmfmr55h, 2eu3cz65piv0j91gi396p9ega, 8bhf6lrrabp5tw5m8krirsm7e, 71or1ne6d9zuo038qdt6vcvoq, bboslspmgrlysvtol90dpfzzd, f1rmwe24zg4697bqpc3z0y40l, e4xeswr8cpdkmlhijuf7oonsa, 3tlocewlh3mb53wd0hk8nucbt, 3je74tc5emuou6ckwdbscsbu, a70y8ayeh05hzo5yc8gotsbh0, 555ikrgh0veemzf7reasmqok5, emuuuhvah1jtq2fqs9ybfovvu, 8d6o15wvepi7do7e0ubjeoga2, b1cn7i49cjjiifnfw6xu18xsk",3976869577,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3976869589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976869581,130,8,3976869585,194,f1rmwe24zg4697bqpc3z0y40l,3976869587,197,4826,3976869583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497182249,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-14T14:15:39.921Z,2023-01-14T14:58:37Z,3976869705,194,bsrhtxhpnlxho2o4zvli5qmeh,3976869709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976869701,130,4,3976869703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976869707,197,17269,3976869697,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3976869699,59,"13, 33, 16, 18, 5, 2, 14, 8, 39, 23, 30, 3, 4, 7, 9, 21, 22, 27",3976869695,30,"3oyhjrd1ohnwf1x3d65997xzp, cz30ywnq6p6dig7x3hu6h7cnp, 987r1vdgx95x30elzrisjrzs9, 50flg4aoq4l0glnh61yzngc7p, bsrhtxhpnlxho2o4zvli5qmeh, 50c2v0l2cmkh82vso5tnjv3yt, 8olbkp9lqy3em5s9h7a4aod4a, 3jzhwh7lq7xzcz7clm28h0mvp, 3cy13tw0tdconbwzlwteg6xas, 4z5onwcaou5pjcz3kxncn8wl, 1lu7wsceoivdbsvqanykrr07p, 7cznyew8xg3fxfqeexid7pxt6, cqfbp8me2n00cve66v797omvp, dq21r0ge09ug4d2crb9j6q6dx, 5lngv6xyqc7xanqv8ytifc3px, exrh01dw52b651aet2am7v015, 33ci88veciqvd4w5y145dyooa, uluqgj69z6yunsl8m505lyi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211753,2,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2023-01-14T15:00:15.224Z,2023-01-14T15:00:23Z,3977030191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211705,2,32,1,0,0,8rfydplrc9ki0sirqi0drcybk,1,0,0,2023-01-14T15:00:15.224Z,2023-01-16T09:27:40Z,3977029973,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211781,3,1,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,50.1,50.1,2023-01-14T15:00:15.258Z,2023-01-16T09:57:26Z,3977030303,213,2.6,3977030305,279,S,3977030301,212,1.6,3977030297,140,48.8,3981126881,178,,3977030299,141,51.2,3977030295,56,Back,,,,3cy13tw0tdconbwzlwteg6xas,G. O'Donkor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211793,4,1,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,48.8,51.2,2023-01-14T15:00:15.908Z,2023-01-16T09:57:33Z,3981127079,178,,3977030363,140,38.5,3977030367,212,12.9,3977030365,141,40.9,3977030369,213,3.7,3977030361,56,Back,,,,,,,3jzhwh7lq7xzcz7clm28h0mvp,C. Brannagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211801,5,1,1,0,2,ahm0t06rup1bkd9z0mxl2lmph,1,38,41.9,2023-01-14T15:00:17.770Z,2023-01-16T09:57:40Z,3977030399,56,Back,3977030405,212,16.1,3981127115,178,,3977030401,140,36.5,3977030403,141,18.4,3977030407,213,4.6,,,,,,,8olbkp9lqy3em5s9h7a4aod4a,L. Bate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211827,6,3,1,0,4,ahm0t06rup1bkd9z0mxl2lmph,0,36.4,9.7,2023-01-14T15:00:20.013Z,2023-01-16T10:28:27Z,3981129101,178,,3977030517,286,,3980650327,233,3,3977030515,56,Back,3980463825,464,,,,,,,,,,,cz30ywnq6p6dig7x3hu6h7cnp,D. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211835,3,7,1,0,4,8rfydplrc9ki0sirqi0drcybk,1,63.6,90.3,2023-01-14T15:00:20.121Z,2023-01-16T10:28:30Z,3977030565,233,6,3977030543,56,Left,3977030545,285,,3981129237,178,,3980464009,383,,,,,,,,,,,e4xeswr8cpdkmlhijuf7oonsa,C. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211877,6,49,1,0,6,8rfydplrc9ki0sirqi0drcybk,1,54.6,81.1,2023-01-14T15:00:21.777Z,2023-01-16T10:01:44Z,,,,,,,,,,,,,,,,,,,,,,,,,e4xeswr8cpdkmlhijuf7oonsa,C. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
