id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,keyPass,qualifier/14/value,qualifier/18/value,assist,qualifier/16/value,qualifier/20/id,qualifier/20/qualifierId
2524414581,1,34,16,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-25T14:15:00.728Z,2023-03-25T15:22:35Z,4122736107,59,"1, 7, 11, 5, 6, 27, 14, 10, 22, 20, 23, 9, 13, 19, 24, 25, 26, 33",4122736113,194,a1muz32ocg2650ll5kjc02u39,4122736109,130,12,4122736115,197,4680,4122736105,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4122736103,30,"41lv87i23sxmdyrs4xxh96m3u, 6ln898p7stih8l7ikzloet0b9, 5ozfcga88glwzazkg65ahwa8l, 89agv6797txmlw6m4nyhhsa2, 6xjftfuwhkbs39xfc3phdbyl1, 8nzkkwhmox9lgbmwomq1rruju, agvyoqarq5zhflge7bm1hn36d, a1muz32ocg2650ll5kjc02u39, bojsqjfaoi810xuyz0qeqs0r9, 5lngv6xyqc7xanqv8ytifc3px, 4y3hm9ljv62c5jswanl0gk5, b0l7hknmc27qttjxv094mi5zp, 71pv32h5sxhopm6aetxjm50ph, 1yzyn48jb8yd8bc0xywrhg0r9, 8tjvmh45ea9wy42siytdtkmzu, 1etperk4v88ohoddjdb5dj2l1, 4m9vn1q30f1c8ksiyxtei63ft, 1788amerrk9fg3f9qddyxz8x5",4122736111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4122736117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524414635,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-25T14:15:09.133Z,2023-03-25T15:22:34Z,4122736463,194,cn988bjn09tb806b05wgp7ys5,4122736465,197,16220,4122736459,130,8,4122736457,59,"1, 17, 6, 8, 20, 34, 29, 23, 9, 15, 18, 3, 4, 21, 24, 26, 28, 42",4122736467,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122736461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4122736453,30,"21hyrpedxxu2ilkspxq4uril1, 9ovnysf6fd2ophwdyfznztsk5, 541yhibvfn0fv2izdfudm7651, f4l762ob8j0izfocnmofytcyd, cn988bjn09tb806b05wgp7ys5, 9kacd96xriqrc23e0a8vzov3e, a70y8ayeh05hzo5yc8gotsbh0, 3zmb22ct3lkf04kbpuxr22hud, 6d9maq3oecwobp2t2220vf4r9, eswokn90i34kdbfvax0y7365l, 2iy84h1v8wt8l6prv701uohk9, 89wk8a6aqw64nub8dgdj7zjl5, f1g68yocf85lxkf17pt2j7v85, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l, 610qf6vm0fsq97hvdcpj4ka95, 5ykgwunfc9pg5iq8h5cihg3xl, 2urrfks920xumm008tnebqyvo",4122736455,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425155,2,32,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-25T15:00:18.477Z,2023-03-25T15:00:21Z,4122790315,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425153,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-25T15:00:18.477Z,2023-03-27T11:46:21Z,4122790313,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425165,3,1,1,0,0,ejm092fnt9zoxbpuklzd52ji8,1,50.3,49.7,2023-03-25T15:00:18.518Z,2023-03-27T12:26:57Z,4122790337,141,50.7,4122790339,212,15.1,4122790343,279,S,4131701239,178,,4122790335,140,35.9,4122790333,56,Back,4122790341,213,3.1,,,,a1muz32ocg2650ll5kjc02u39,T. Conlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425205,4,1,1,0,2,ejm092fnt9zoxbpuklzd52ji8,0,36.1,42.7,2023-03-25T15:00:20.912Z,2023-03-27T12:27:02Z,4122790449,56,Center,4122790459,1,,4122790457,213,0.6,4122790451,140,72.0,4122790447,155,,4131702761,178,,4122790453,141,76.9,4122790455,212,44.3,8nzkkwhmox9lgbmwomq1rruju,S. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425209,3,44,1,0,5,80jtkz2echk6yyyb9e2595cxr,1,26,22.5,2023-03-25T15:00:23.608Z,2023-03-27T23:48:33Z,4122790683,233,5,4122790469,285,,4122790467,56,Back,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425207,5,44,1,0,5,ejm092fnt9zoxbpuklzd52ji8,0,74,77.5,2023-03-25T15:00:23.609Z,2023-03-27T12:27:06Z,4122790463,56,Center,4122790465,286,,4122790689,233,3,,,,,,,,,,,,,,,,bojsqjfaoi810xuyz0qeqs0r9,E. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425215,4,1,1,0,5,80jtkz2echk6yyyb9e2595cxr,0,24.1,21.9,2023-03-25T15:00:23.771Z,2023-03-27T23:48:34Z,4122790491,141,8.9,4122790487,56,Back,4122790489,140,37.6,4122790495,213,5.7,4131705343,388,,4122790493,212,16.7,4122790485,3,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425213,6,43,1,0,6,ejm092fnt9zoxbpuklzd52ji8,1,0,0,2023-03-25T15:00:25.138Z,2023-03-25T15:00:32Z,4122790475,56,Center,4122790473,3,0,4122790481,212,2.6,4122790477,140,74.4,4122790479,141,76.0,4122790611,144,1,4122790483,213,6.0,,,,bojsqjfaoi810xuyz0qeqs0r9,E. Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
