id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/10/value,keyPass,qualifier/13/value,qualifier/16/value,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/18/value
2490037921,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2022-12-10T11:45:01.480Z,2022-12-10T11:51:30Z,3939091979,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3939091977,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, dxk79tuyij7y3gg7j1ad651t6, do0vklx8voqfr05b3j04ilex, 74vpeqcguo2sb2qgpt3b6zq3t, 9eaozqsxv2347nryh9pkmg251, 9bpm5m1tsplxq77m3cbpfm4t1, 7iruezvsore21eboc96g7oqtx, 8zcwhxcdh09wxdn29kzpox591, b1yok7nf3a2fu9voe0oy7o6ad, 16rur8pbshrs9xypsq7mnxzhl, 7h6eazahfe5epf6zgx1b1urpx, 4luphb29oi2p9ftkag6xb69jp, 8c0rbwtrr5p2em8lyb2uzt785, 35f2se8cf2zmpxl45zulorpat, az767vfe6ig8vwir9uu2eu3th, 10ak89g8v3k5vx9vyo0m6rofe, bvckffucqcw1jzmkzuqrj7l78",3939091985,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939091991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939091981,59,"19, 21, 14, 6, 18, 2, 4, 8, 20, 10, 17, 9, 11, 12, 15, 24, 38, 33",3939091987,194,9eaozqsxv2347nryh9pkmg251,3939091989,197,16113,3939091983,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490037923,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-12-10T11:45:01.524Z,2022-12-10T11:45:01Z,3939091999,130,18,3939092001,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3939092005,197,4206,3939092003,194,62azuux8vuk6956cuyjjtped,3939091997,59,"1, 6, 26, 33, 22, 5, 7, 3, 20, 14, 24, 9, 13, 15, 18, 30, 35, 36",3939091995,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3939092007,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3939091993,30,"ezg39hlg3h14utboy2h3lijmd, diw7je3i5mkvwf0kj898yi0gl, bydla0otire1a58193o1buqjt, dbe9gwg6ggyqh9fvdruelz8wl, 1tkhk7k78uqvkegtn5i9r132t, cjroc2z4lnw58m804ihu8tm1h, ap3mja91coq7mbr6xkqvbss7p, 62azuux8vuk6956cuyjjtped, 7joniozhpy10veujjibxmbu2, 6hkzb4vehsx4wwm9y98euwacq, cmq9t6wadet4rrj3cvkjst7ca, 79a7csp3rppvt5e5q02zmolhx, 4qris4sdzvtlkw5i3cmhhowrt, dovxfzsqb5e7by2q6kq0j2z1l, 1g9uh6aokaevbg7s6v2jh8h78, 3mudv2ein3iuv9smhmkk9vod0, 3fu2g2b7g9e5dvtj7a5qxq238, ev5cd97tl1gpgy4e7lrljenmc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059003,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2022-12-10T12:31:40.650Z,2022-12-10T12:31:43Z,3939204931,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059001,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2022-12-10T12:31:40.650Z,2022-12-13T04:14:16Z,3939204915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059047,3,1,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,49.9,50.1,2022-12-10T12:31:40.659Z,2022-12-13T04:19:44Z,3939205163,56,Back,3939205171,213,3.3,3939205167,141,44.0,3939205169,212,20.2,3939205165,140,31.1,3943335813,178,,3939205173,279,S,,,,7joniozhpy10veujjibxmbu2,T. Bayliss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059069,4,1,1,0,3,82kapkjwonlv9j1ui0ytv5sii,0,33.4,45.5,2022-12-10T12:31:43.800Z,2022-12-13T04:19:49Z,3939205267,140,75.7,3939205275,213,5.9,3939205271,141,21.6,3939205261,155,,3939205277,1,,3943335861,178,,3939205265,56,Center,3939205273,212,47.3,62azuux8vuk6956cuyjjtped,L. Leahy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059059,3,44,1,0,5,69t8imcdaqlgfbds2p58596my,1,25.9,77.2,2022-12-10T12:31:46.128Z,2022-12-13T05:35:43Z,3939205207,285,,3939205339,233,5,3939205205,56,Back,,,,,,,,,,,,,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059075,5,44,1,0,5,82kapkjwonlv9j1ui0ytv5sii,0,74.1,22.8,2022-12-10T12:31:46.129Z,2022-12-13T04:20:10Z,3939205307,286,,3939205305,56,Center,3939205381,233,3,,,,,,,,,,,,,,,,6hkzb4vehsx4wwm9y98euwacq,R. Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059083,4,1,1,0,5,69t8imcdaqlgfbds2p58596my,1,27.5,76,2022-12-10T12:31:46.168Z,2022-12-13T05:35:44Z,3939205359,140,33.9,3939205361,141,88.1,3943335977,388,,3939205355,3,,3939205357,56,Back,3939205365,213,0.9,3939205363,212,10.6,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490059089,5,49,1,0,7,69t8imcdaqlgfbds2p58596my,1,33.9,88.1,2022-12-10T12:31:47.846Z,2022-12-13T04:20:20Z,,,,,,,,,,,,,,,,,,,,,,,,,16rur8pbshrs9xypsq7mnxzhl,O. Afolayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
