id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/12/value,assist,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2526444627,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-01T13:15:28.184Z,2023-04-01T14:05:29Z,4152070025,59,"1, 2, 3, 28, 5, 6, 27, 10, 18, 29, 7, 15, 16, 22, 26, 31, 35, 38",4152070023,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4152070031,194,5bkjye9thnohmdgzwsrsy1n9,4152070021,30,"1sw0ywyl0cgn97mu65tnzv0t1, f5zei3x0mg1i5q3soziuy579, 5bkjye9thnohmdgzwsrsy1n9, 7pia2vfewavgyc8d7pvgr7owl, dbvkpe7bc9clualadtx9rf1uc, 4uywqjm0i2ik5cwhulbmzxi39, dez3rm7q89xk157fwnc3tgqcq, 93kxb8ch3auv9li22mh1aidey, 99uiqjteov3qby19bs8kozill, cxfq8o3k68x1acwci3wx812w9, bbrx2s4fcp7uplly4hpbt3xed, 8fg00qug3asta7227xti3tskp, datykfu6jdjc3jlmi3flv7dud, 40wbrqny2ekenyy37ver8dyol, 7fvj3ev8ov0cnalck9x48z3kl, ein4ztrsuiclfbe9p066lmyok, ei0u7w8capvepbm7g08bh6dck, 5knn6bkjba6eh0torsnwrkl0q",4152070027,130,8,4152070033,197,16167,4152070035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152070029,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526444657,1,34,16,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-04-01T13:15:30.024Z,2023-04-01T14:38:48Z,4152070181,194,5obqs1ezswoc3ns0c9k4qai8l,4152070171,30,"32sqctjujedqsab4xwy1pwlbd, 4k2uxd5rl1u8ctyxh3d765fqh, 9j8icoctjp1icwle91r62q76x, 5obqs1ezswoc3ns0c9k4qai8l, 1vfuzp09s9oj95ruav4ln9ch6, 53y4n4h9zi3d1l1f9jb9ytxhx, 3nwvlft28lt3fiirchylvwtm1, 8uch2zjj8vxmfi2l544j5ipxx, 2uids8ea8jv4r62psqj37x3e2, am8ws7w5mpzvbnb8bvvztbpwp, 9mgcugydtvdr5wk7qii9wpd2i, 6evqqxq5e0y1uvigg6bss4frp, 299g43uwcj4dblia1bihagmol, 9qeg65oa5skmypxvt73vckfrp, 8bx76kurepj0yqe9iixa0zyp6, enjlm4kjscxmu04a1tz7vo3fu, bhtwzoyaqug2p0ezr7c6wxuui, 9r28zj6fz3z8dzojktwambsut",4152070177,130,13,4152070179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4152070183,197,2084,4152070185,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152070175,59,"1, 2, 21, 3, 4, 19, 42, 6, 10, 12, 16, 9, 11, 14, 22, 23, 28, 33",4152070173,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486831,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2023-04-01T14:01:49.468Z,2023-04-03T23:00:51Z,4152282909,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486849,2,32,1,0,0,8w89tsles26jm12aoelwvlttt,1,0,0,2023-04-01T14:01:49.468Z,2023-04-01T14:01:52Z,4152282979,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526486881,3,1,1,0,0,8w89tsles26jm12aoelwvlttt,1,50,50.1,2023-04-01T14:01:49.506Z,2023-04-04T05:34:53Z,4162296485,178,,4152283103,213,3.3,4152283105,279,S,4152283093,56,Back,4152283099,141,48.9,4152283097,140,44.9,4152283101,212,5.4,,,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487031,4,1,1,0,1,8w89tsles26jm12aoelwvlttt,1,46.1,53.6,2023-04-01T14:01:51.392Z,2023-04-04T05:34:58Z,4152283879,212,25.1,4152283877,141,78.8,4162296671,178,,4152283873,140,28.6,4152283883,213,2.4,4152283869,56,Back,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487141,5,1,1,0,6,8w89tsles26jm12aoelwvlttt,1,39.5,87.5,2023-04-01T14:01:56.120Z,2023-04-04T05:35:07Z,4152284453,155,,4152284455,56,Center,4152284465,213,5.7,4152284469,1,,4162296789,178,,4152284457,140,67.3,4152284459,141,61.2,4152284461,212,34.2,5obqs1ezswoc3ns0c9k4qai8l,D. Lewington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487251,6,2,1,0,8,8w89tsles26jm12aoelwvlttt,1,67.3,61.2,2023-04-01T14:01:58.431Z,2023-04-04T05:35:16Z,4152284941,141,70.8,4152284935,7,2uids8ea8jv4r62psqj37x3e2,4152284939,140,87.9,4162297119,178,,4152284937,56,Center,,,,,,,,,,am8ws7w5mpzvbnb8bvvztbpwp,J. Leko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487243,3,55,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,1,19.9,42.7,2023-04-01T14:01:58.432Z,2023-04-04T05:35:16Z,,,,,,,,,,,,,,,,,,,,,,,,,5bkjye9thnohmdgzwsrsy1n9,J. Jacobson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526488247,4,1,1,0,37,jv3jh5m5t7qy5t37vwwmnj16,0,19,32.2,2023-04-01T14:02:26.594Z,2023-04-04T05:35:22Z,4152289821,1,,4162297209,178,,4152289813,140,63.4,4152289815,141,79.0,4152289805,5,,4152289817,212,56.4,4152289807,155,,4152289811,56,Left,1sw0ywyl0cgn97mu65tnzv0t1,M. Stryjek,4152289809,241,4152289819,213,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
