id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/15/value,qualifier/17/value,assist,qualifier/19/id,qualifier/19/qualifierId
2535564063,1,34,16,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-04-18T18:00:14.335Z,2023-04-19T15:53:03Z,4200538185,197,4206,4200538183,194,62azuux8vuk6956cuyjjtped,4200538177,59,"1, 17, 27, 3, 6, 22, 18, 7, 14, 8, 26, 13, 34, 36, 43",4200538181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0",4200538187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4200538179,130,8,4200538173,30,"ezg39hlg3h14utboy2h3lijmd, 31xl77lt8tax7bta6s45p9fpx, 1l9z6glh9h9yt7awb7t9rsgoa, 62azuux8vuk6956cuyjjtped, diw7je3i5mkvwf0kj898yi0gl, 1tkhk7k78uqvkegtn5i9r132t, 1g9uh6aokaevbg7s6v2jh8h78, ap3mja91coq7mbr6xkqvbss7p, 6hkzb4vehsx4wwm9y98euwacq, 6t0n68hbpi4fa6lzt815gyc5w, bydla0otire1a58193o1buqjt, 4qris4sdzvtlkw5i3cmhhowrt, a45h8jzwe5033cy49jtc1gphw, ev5cd97tl1gpgy4e7lrljenmc, bm3k1knugkwa8z319dscr2yhg",4200538175,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535564089,1,34,16,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-18T18:00:16.660Z,2023-04-18T18:48:19Z,4200538331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4200538325,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4200538329,130,18,4200538323,30,"82h98ebusz83rox95oi9kafh1, 5udpap0himq2ggsw4f0o5hqdx, 48pxorkarv5aq03l6179bes45, 5a86e1pl8b7ibmrkz3h6gs1yh, wuidadmmyp6xcztp1lxdxg4p, oe0lbxtc4qftnd886dzfm385, 2q6bsyszm27v5uvs30j5ty311, 9llmzvk9nw1kwy73o8z9f8usp, 4mjzjj2p0pzyw0hcq4no9y0o9, 4xxoasz03erxlyonu2t8y5fqh, 6rzq8xkkst4hgbh2ysj52gwyx, 9w0nk2mz77jqc62v4gv1h0vkl, alhqwxs7t2pxxxuztmvy1ibpx, ab9z3kubalp5l33vbi4a8n0iy, 75n089x1zca6gw23j27ohrhii, 944ptuekuetkjifbeaycqcoh5, 6q0zzgnbbzsbubnekye5dunai, ba8qp1eswz0kzcr0245r7q8kp",4200538335,197,16466,4200538333,194,5udpap0himq2ggsw4f0o5hqdx,4200538327,59,"25, 8, 22, 3, 6, 5, 4, 7, 18, 16, 11, 9, 10, 20, 24, 26, 28, 32",4200538337,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576163,2,32,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-04-18T18:45:19.146Z,2023-04-18T18:45:19Z,4200603103,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576173,2,32,1,0,0,82kapkjwonlv9j1ui0ytv5sii,1,0,0,2023-04-18T18:45:19.146Z,2023-04-20T18:50:16Z,4200603121,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576199,3,1,1,0,0,5g1fnexeromjl0lvnxp8hpnhi,1,50,50,2023-04-18T18:45:19.161Z,2023-04-20T22:13:32Z,4200603197,213,3.1,4200603199,279,S,4200603193,141,50.1,4200603195,212,11.9,4204952645,178,,4200603189,56,Back,4200603191,140,38.7,,,,4mjzjj2p0pzyw0hcq4no9y0o9,F. Azaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576213,4,1,1,0,1,5g1fnexeromjl0lvnxp8hpnhi,0,38.7,50.1,2023-04-18T18:45:20.477Z,2023-04-20T22:13:35Z,4200603245,212,44.2,4200603243,141,87.8,4200603249,1,,4200603247,213,0.6,4200603239,56,Left,4200603241,140,73.0,4200603237,155,,4204952697,178,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576233,3,1,1,0,4,82kapkjwonlv9j1ui0ytv5sii,0,32,13.5,2023-04-18T18:45:23.370Z,2023-04-20T22:13:39Z,4200603297,3,,4200603301,140,45.9,4200603299,56,Back,4204952761,388,,4200603307,213,6.1,4200603303,141,10.0,4200603305,212,14.8,,,,1tkhk7k78uqvkegtn5i9r132t,C. Dunkley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576245,4,61,1,0,6,82kapkjwonlv9j1ui0ytv5sii,0,44.2,5.5,2023-04-18T18:45:25.517Z,2023-04-20T22:13:51Z,4204952935,15,,4200603361,56,Back,4204952937,178,,,,,,,,,,,,,,,,,6hkzb4vehsx4wwm9y98euwacq,R. Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576317,5,5,1,0,7,5g1fnexeromjl0lvnxp8hpnhi,1,56.4,102,2023-04-18T18:45:26.807Z,2023-04-20T22:13:55Z,4200603709,56,Left,4200603713,347,,4200603777,233,5,,,,,,,,,,,,,,,,5a86e1pl8b7ibmrkz3h6gs1yh,M. Gillesphey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535576251,5,5,1,0,7,82kapkjwonlv9j1ui0ytv5sii,0,43.6,-2,2023-04-18T18:45:26.807Z,2023-04-20T22:13:56Z,4200603397,347,,4200603395,56,Back,4200603781,233,5,,,,,,,,,,,,,,,,6hkzb4vehsx4wwm9y98euwacq,R. Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
