id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId
2492066741,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-12-17T14:15:07.620Z,2022-12-17T15:04:44Z,3949871149,194,fjnzx6b57qsj6o7hdm6r0mhh,3949871145,130,18,3949871153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949871151,197,4819,3949871147,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949871139,30,"byo7r7emgxz5oiauh2z75vpp1, 9s6ec1a12gozqwjlsyo7y8gr9, f0sa0skucdf742t06hsmi8ne2, 6hq92cx2829wfuzxmfhg1xpm1, 6wax1hh875vpvfi1fbetwmtey, 5raent8a0bdt01n7769n3dw16, ct9ifm9mk702lkhhmlf12nlxx, fjnzx6b57qsj6o7hdm6r0mhh, 4n37rih2qtphgtjxzo2id5f55, bdquc37ytagmw19zgrehnryz9, 5pafzbbuucga9ut20l6ckj7u2, 5l042n1ublyhfemhtc2636six, dz04k2zt87y78ku9g14sxm21h, ax2mraa85fs9ihyhk7qnmm489, 44mf0jzuwreljhmqth0w60iqd, c651trgr0pihuppxxd31z6go9, ejmi6qqszz1509excckyj3n1m, ah31ge07jvte4y161aut0uthx",3949871143,59,"1, 7, 3, 17, 2, 37, 23, 15, 21, 10, 40, 5, 9, 22, 25, 28, 30, 32",3949871141,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492066749,1,34,16,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-12-17T14:15:08.669Z,2022-12-17T15:03:34Z,3949871175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949871171,59,"31, 28, 2, 4, 5, 24, 19, 21, 9, 23, 17, 10, 14, 22, 30, 33, 36, 48",3949871173,130,4,3949871169,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3949871177,194,74p53a79q1tlis3a3gladqor9,3949871179,197,4825,3949871167,30,"4s0yf91l8xqodeuv473hmp5ka, 9z75i0zrgtuumyixz8dl9ysbt, 56g3fffeygobuei72gnkm9a09, egr5n9jynbg3llc2tn2g5ncnp, 2kecmwyt730pi8z3pnsqs1l1x, 2r6gxw9yjxvaplv70ftq7wout, evb6gpvuutmnisv9d12gs0xcl, 6a08s0d0sgt7iw37spmo4bro5, 74p53a79q1tlis3a3gladqor9, 4qrvri86m93wpyugq0zq4aaqx, ald5oocxwh4pip8fw6v3ym8h6, effzy3ttltffcz92a3ro4woa, 1uqgky0sxqjs8bqd2h75rnmjt, 6m0h2e4kygi2hx6nf9b24cv6d, 2g6lf0qaig1tg1ed59e4722y2, ebsl5dh99nsoun0lksywr31n8, ainucu0mp655cdgjw7j6qrazu, 68jyn13uu405w4npr317v5las",3949871181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075491,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2022-12-17T15:02:12.153Z,2022-12-17T15:02:12Z,3949919227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075503,2,32,1,0,0,2ezfenuwk3y65p8jdbj55xqt0,1,0,0,2022-12-17T15:02:12.153Z,2022-12-18T23:33:43Z,3949919281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075541,3,1,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,50,50,2022-12-17T15:02:12.182Z,2022-12-19T04:17:52Z,3949919503,56,Back,3951582681,178,,3949919505,140,30.0,3949919507,141,52.7,3949919513,279,S,3949919511,213,3.1,3949919509,212,21.1,,,,4n37rih2qtphgtjxzo2id5f55,A. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075585,4,1,1,0,3,5pfqedkme2kabtqhkln35pf3l,0,31.1,52.8,2022-12-17T15:02:15.179Z,2022-12-19T04:18:04Z,3949919723,157,,3949919737,213,0.7,3949919735,212,54.5,3951582711,178,,3949919739,1,,3949919725,56,Left,3949919733,141,100.0,3949919729,140,72.4,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075821,3,5,1,0,5,2ezfenuwk3y65p8jdbj55xqt0,1,29.6,-1.4,2022-12-17T15:02:17.278Z,2022-12-19T04:18:11Z,3949920957,347,,3949920955,56,Back,3949920983,233,5,,,,,,,,,,,,,,,,2kecmwyt730pi8z3pnsqs1l1x,S. Lavelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075593,5,5,1,0,5,5pfqedkme2kabtqhkln35pf3l,0,70.4,101.4,2022-12-17T15:02:17.278Z,2022-12-19T04:18:12Z,3949921015,233,3,3949919773,56,Left,3949919775,347,,,,,,,,,,,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075871,4,1,1,0,21,2ezfenuwk3y65p8jdbj55xqt0,1,30.8,0,2022-12-17T15:02:34.069Z,2022-12-19T04:18:16Z,3949921249,140,53.4,3949921247,56,Right,3949921245,107,,3949921253,212,24.4,3949921251,141,6.2,3949921257,1,,3949921255,213,0.2,,,,9z75i0zrgtuumyixz8dl9ysbt,S. Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075897,5,1,1,0,23,2ezfenuwk3y65p8jdbj55xqt0,1,53.4,6.2,2022-12-17T15:02:36.075Z,2022-12-19T04:18:27Z,3949921399,3,,3949921401,56,Right,3949921403,140,57.2,3949921409,213,0.3,3951582805,388,,3949921405,141,8.3,3949921407,212,4.2,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
