id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/15/value
2499131813,1,34,16,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-21T14:14:53.497Z,2023-01-21T14:14:53Z,3987194201,59,"1, 12, 15, 8, 33, 3, 11, 4, 10, 38, 7, 22, 9, 16, 18, 19, 21, 34",3987194203,130,8,3987194205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987194207,194,6kz7c7i4wzph7qlzi9nzt266t,3987194211,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987194209,197,4925,3987194199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3987194197,30,"2xd9g0s3888o99iq0eb5j6ead, 8thtb5uqqv63f880cwhpc5zv9, h4x8lz5ou8esdao80mvls9yi, bwu80wn3lca4x2txuelku0a21, 6kz7c7i4wzph7qlzi9nzt266t, ebsspe8jslej9a253w4xpf55h, e2sj7bhk2s9du1bs1vza1b4k5, 8y3obwxpwckjfl7hkrrg97sgl, f2d0i9t2qeyppfqrdv6xzc3px, 1la1hsnuheliwojwmcbxroy96, ddc712ebtmrrpvj4shekecus5, 13squddw07mvcu7mo6xk5mjqi, a64e8yqggr7fmtdlyr9v80yxh, e01znd47zh4hk0g8jx67wzl9m, 6kxph7ulzz58v8tm3aaomy1ka, edro98mz0sqrfjed1o4bvl7md, 67j73dckmb73ntxo81hc840r9, akatb6qaa078a72zvl8gapoiy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499131909,1,34,16,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-21T14:15:02.910Z,2023-01-21T14:15:03Z,3987194739,194,8zcwhxcdh09wxdn29kzpox591,3987194729,30,"1c4nu9s3t3p83pufjf3n3xqay, 5tbz2hexz7vind39ot6govqzu, 7edc89hg3r6ueacgnkde7fzvu, do0vklx8voqfr05b3j04ilex, 35f2se8cf2zmpxl45zulorpat, 74vpeqcguo2sb2qgpt3b6zq3t, 6q06inb8ukzfsrxy0arxl78q1, dndv2nbwzzvgrlgf6gmeqtryt, 8zcwhxcdh09wxdn29kzpox591, b1yok7nf3a2fu9voe0oy7o6ad, cqcwoymcrgf7wdi6091zplecp, 9eaozqsxv2347nryh9pkmg251, 9bpm5m1tsplxq77m3cbpfm4t1, aqu903olqgqkljzwr658cogd1, 4qafo1hp52b8lqsqkxym0d8lx, az767vfe6ig8vwir9uu2eu3th, 7iruezvsore21eboc96g7oqtx, awsbedog2zaz7zpjucbcba82y",3987194737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3987194743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987194731,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3987194741,197,16114,3987194735,130,18,3987194733,59,"19, 21, 27, 6, 15, 18, 16, 22, 20, 10, 11, 2, 4, 5, 7, 24, 8, 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499166983,2,32,1,0,0,69t8imcdaqlgfbds2p58596my,1,0,0,2023-01-21T15:00:29.986Z,2023-01-21T15:00:32Z,3987370207,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499166973,2,32,1,0,0,3ptd7zlc5isrongig0wij2id4,1,0,0,2023-01-21T15:00:29.986Z,2023-01-23T21:07:20Z,3987370153,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167013,3,1,1,0,0,3ptd7zlc5isrongig0wij2id4,1,50,50,2023-01-21T15:00:30.017Z,2023-01-23T23:09:34Z,3987370373,213,3.6,3987370369,212,12.9,3987370375,279,S,3987370359,56,Back,3992529327,178,,3987370365,141,40.9,3987370363,140,39.2,,,,bwu80wn3lca4x2txuelku0a21,M. Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167089,4,1,1,0,1,3ptd7zlc5isrongig0wij2id4,1,40,39.5,2023-01-21T15:00:31.689Z,2023-01-23T23:09:42Z,3987370699,141,6.5,3987370697,140,53.4,3987370695,56,Right,3992529413,178,,3987370703,213,5.3,3987370701,212,26.5,,,,,,,8thtb5uqqv63f880cwhpc5zv9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167103,5,1,1,0,8,3ptd7zlc5isrongig0wij2id4,0,81.3,1.9,2023-01-21T15:00:38.498Z,2023-01-23T23:10:09Z,3991884045,224,,3987370817,233,3,3987370821,286,,3992529571,178,,3987370763,213,0.9,3987370755,56,Right,3987370761,212,6.1,3987370751,2,,e2sj7bhk2s9du1bs1vza1b4k5,N. Mendez-Laing,3987370753,155,3987370757,140,84.7,3987370759,141,9.2,3987370815,236,3991884047,20,,,,,,,,,,,,,,,,,,,,,,,
2499167095,3,12,1,0,8,69t8imcdaqlgfbds2p58596my,1,17.9,92,2023-01-21T15:00:38.848Z,2023-01-23T23:10:16Z,3987370725,185,,3987370825,233,5,3992529617,178,,3987370727,56,Back,,,,,,,,,,,,,7edc89hg3r6ueacgnkde7fzvu,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167107,4,61,1,0,8,69t8imcdaqlgfbds2p58596my,1,17.9,92,2023-01-21T15:00:38.928Z,2023-01-23T23:10:49Z,3987370771,56,Back,3992529949,178,,,,,,,,,,,,,,,,,,,,7edc89hg3r6ueacgnkde7fzvu,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167129,5,5,1,0,9,69t8imcdaqlgfbds2p58596my,0,17,101.7,2023-01-21T15:00:39.427Z,2023-01-23T23:10:57Z,3987370903,347,,3987371561,233,6,3987370901,56,Back,,,,,,,,,,,,,,,,7edc89hg3r6ueacgnkde7fzvu,R. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499167273,6,5,1,0,9,3ptd7zlc5isrongig0wij2id4,1,83,-1.7,2023-01-21T15:00:39.427Z,2023-01-23T23:10:57Z,3987371555,233,5,3987371535,56,Right,3987371537,347,,,,,,,,,,,,,,,,,e2sj7bhk2s9du1bs1vza1b4k5,N. Mendez-Laing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
